calibration_index,source_index,premise,hypothesis,gold_label,original_nli_predicted_label,original_nli_gold_probability,original_entailment_probability,original_neutral_probability,original_contradiction_probability,original_matches_gold,verifier_model_revision
0,21,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A blond man getting a drink of water from a fountain in the park.,1,neutral,0.9951857924461365,0.004551888443529606,0.9951857924461365,0.0002622702741064131,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
1,90,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",Nobody has food.,2,contradiction,0.9988769888877869,0.00023550327750854194,0.0008875180501490831,0.9988769888877869,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
2,707,a motorcyclist does a nose wheelie.,A motorcyclist doing a wheelie,0,entailment,0.993026852607727,0.993026852607727,0.005777290556579828,0.001195860793814063,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
3,760,A soccer game played by a blue team and a red team on a perfectly manicured field at dusk.,People are playing soccer for a competition.,1,neutral,0.5028151869773865,0.4942902624607086,0.5028151869773865,0.002894597128033638,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
4,941,A woman talks to two other women and a man with notepads in an office building with large windows.,a man talks to ducks in a pond,2,contradiction,0.9978331923484802,3.72241556760855e-05,0.0021296455524861813,0.9978331923484802,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
5,2169,A woman is holding a bird while sitting in a flowering tree.,a woman puts her bird ina a tree,1,entailment,0.043892089277505875,0.9468750953674316,0.043892089277505875,0.009232874028384686,False,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
6,2194,Two people are planting small bushes near a grassy area.,Two people are planting bushes for charity.,1,neutral,0.9989271759986877,0.0005733670550398529,0.9989271759986877,0.0004994466435164213,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
7,3208,A boat captain steering a large green wheel.,A guy is at the green helm of a boat.,0,entailment,0.9686083197593689,0.9686083197593689,0.0289930310100317,0.0023986902087926865,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
8,3931,Band playing in front of a small crowd outside.,There are thousands of people watching them perform.,2,contradiction,0.9816632270812988,0.0004157533112447709,0.017921045422554016,0.9816632270812988,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
9,4111,Tattooed man getting a tattoo.,A tattooed man is getting a tattoo of a Chinese character.,1,neutral,0.9993659853935242,0.000382932455977425,0.9993659853935242,0.00025114783784374595,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
10,4403,A man in a unique costume is playing the bagpipes while some people stare at him.,A man in a unique costume is playing the bagpipes  for monetary gain.,1,neutral,0.9945354461669922,0.0009897699346765876,0.9945354461669922,0.004474892746657133,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
11,4548,"Four musicians playing reed instruments with one playing a clarinet and three playing saxophones, being watched by a young child on a bicycle.",some musicians sleep,2,neutral,0.01081023272126913,0.003105170326307416,0.986084520816803,0.01081023272126913,False,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
12,5321,"Two young adults at a rodeo, one is helping the other to fix an injury to his arm after a brief ride.",Two young adults are at a rodeo.,0,entailment,0.9977225661277771,0.9977225661277771,0.0017620029393583536,0.0005154552054591477,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
13,5450,A heavyset man is standing next to a building.,The man works in the building.,1,neutral,0.9031684994697571,0.0007855634903535247,0.9031684994697571,0.09604597091674805,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
14,5560,A group of young students are hanging out together in a university.,Students sit together by the Student Union building.,1,neutral,0.9966065883636475,0.002562662586569786,0.9966065883636475,0.0008307644748128951,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
15,5704,A blond singer is performing as people dance behind her.,Gwen Stefani sings while fans dance.,1,neutral,0.9921020865440369,0.00725846691057086,0.9921020865440369,0.0006395249511115253,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
16,6279,"A man in sunglasses, a red striped sweater, and a leather jacket smiles and points his finger.",A black man in sunglasses and a leather jacket is smiling while pointing a finger,1,neutral,0.995549201965332,0.003865598700940609,0.995549201965332,0.0005851908936165273,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
17,7321,A person picking garbanzo beans with her bear hands.,A person picks garbanzo beans with bear paws for hands.,1,entailment,0.1327843815088272,0.8205242156982422,0.1327843815088272,0.046691395342350006,False,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
18,8269,A dog running fast with ears flying.,The dog is running fast.,0,entailment,0.9953662157058716,0.9953662157058716,0.004053138662129641,0.0005806832923553884,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
19,8435,A young boy sit alone in a wagon and holds on tightly to two cattle as they follow his mother's wagon down a dusty dirt road.,A boy and his mother are moving.,1,entailment,0.014348148368299007,0.9557139277458191,0.014348148368299007,0.029937999323010445,False,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
20,9707,A woman in a white jacket is standing next to an older woman while reviewing a subway map.,Two two women are going to take the subway into town.,1,neutral,0.9943884015083313,0.0036980481818318367,0.9943884015083313,0.0019135347101837397,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
21,10680,Two girls looking in microscopes.,the two girls are listening to music while in science class instead of doing their homework,2,contradiction,0.9993793964385986,9.070375381270424e-05,0.0005298848263919353,0.9993793964385986,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
22,11003,Two men in suits laugh together.,The two guys in suits are talking and smiling.,1,neutral,0.7599707841873169,0.17309468984603882,0.7599707841873169,0.0669345036149025,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
23,12969,"Two men walk in the park, one with a shaggy dog on a leash and a device for cleaning up canine droppings.",The dog isn't shaggy,2,contradiction,0.9983012080192566,0.0003382095310371369,0.0013605759013444185,0.9983012080192566,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
24,13229,A woman wearing a black stands in front of a counter while she holds a piece of meat.,The woman is naked while holding a salad.,2,contradiction,0.999629020690918,6.49751746095717e-05,0.00030594391864724457,0.999629020690918,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
25,13559,"Two teams, one wearing blue and white, the other in red and white, are playing football.",There are people playing a game.,0,entailment,0.9929476976394653,0.9929476976394653,0.005339500494301319,0.0017128518084064126,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
26,13833,"A balding man in a dark suit and maroon tie, with a mustache and beard, plays bagpipes, as a young blond woman standing next to him in a light blue crop top and skirt listens and sticks her tongue out.",a balding man with facial hair wearing a dark suit and tie plays bagpipes as a young blonde woman stands next to him in a blue shirt and skirt sticking her tongue out.,0,entailment,0.9894185662269592,0.9894185662269592,0.00718291150406003,0.003398529253900051,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
27,14934,Man riding a yellow machine on a dirt field at an event,a man is driving a piece of equipment on the grounds of a venue.,0,entailment,0.9978760480880737,0.9978760480880737,0.001889170496724546,0.00023483936092816293,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
28,16601,A lot of motorcycles lined up in Asia.,The vehicles are parked.,1,entailment,0.0920761227607727,0.8998029232025146,0.0920761227607727,0.00812093261629343,False,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
29,17575,A football player lands on his head.,The football player damaged his neck.,1,neutral,0.996729850769043,0.0009340301039628685,0.996729850769043,0.0023360655177384615,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
30,18456,A person plays with a mega joule contraption consisting of wire tracks and colored balls.,The peson has a strange life with jouls and contraptions.,1,neutral,0.9564386606216431,0.035277996212244034,0.9564386606216431,0.008283334784209728,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
31,18505,A man in jeans is lying on a wooden floor.,A man and woman is holding hands.,2,contradiction,0.6059726476669312,0.00047665685997344553,0.3935506343841553,0.6059726476669312,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
32,18686,A girl in pink is holding onto a young boy wearing red.,A sister is holding onto her brother in all black.,2,contradiction,0.999019980430603,0.0001898931514006108,0.0007901198696345091,0.999019980430603,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
33,18790,A squirrel jumps in the snow.,A squirrel is attacking a small child.,2,neutral,0.08828672021627426,0.0004629952891264111,0.9112503528594971,0.08828672021627426,False,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
34,19294,A shirtless man with sunglasses looks at the camera during a beach party.,the man is a model,1,neutral,0.9983038902282715,0.0003442075976636261,0.9983038902282715,0.0013518821215257049,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
35,19844,A young blond boy looking at a white robot on a green table.,A young blond person looking at a white robot on a green table.,0,entailment,0.9864567518234253,0.9864567518234253,0.011618180200457573,0.0019251498160883784,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
36,22740,A man wearing an orange vest is standing on the street with a bulldozer behind him.,Guy in front of a bulldozer.,0,contradiction,0.1826387196779251,0.1826387196779251,0.01658380776643753,0.8007774949073792,False,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
37,26244,A boy in a swimsuit sitting on top of a circular fountain.,A funny person sitting,1,neutral,0.9370047450065613,0.060641270130872726,0.9370047450065613,0.0023539585527032614,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
38,27041,A man wearing a flannel shirt picking oranges in a farmer's market.,The man is near some oranges.,0,entailment,0.9932605624198914,0.9932605624198914,0.005249026231467724,0.0014904001727700233,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
39,27080,"A man wearing a gray hooded sweatshirt, blue jeans, and white and gray socks is putting his foot on top of his head.",A man moves his foot,0,entailment,0.9898721575737,0.9898721575737,0.008802102878689766,0.001325760968029499,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
40,28431,"A young man performs yoga, inspired by a beautiful day on the beach.",A karate battle in the woods,2,contradiction,0.9995118379592896,4.265347888576798e-05,0.00044545813580043614,0.9995118379592896,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
41,28875,Boys in Africa are outside playing soccer and enjoying themselves.,The kids play baseball.,2,contradiction,0.9995566010475159,0.00010698893311200663,0.0003363798023201525,0.9995566010475159,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
42,29218,A man lying down with a maroon cloth over his eyes and someone standing over him wearing flip-flops.,The man is lying down.,0,entailment,0.9970688223838806,0.9970688223838806,0.002258558291941881,0.0006726784049533308,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
43,29415,"A man is operating a weed eater behind a building, and there is a red van nearby.",A man is working inside.,2,contradiction,0.9534854888916016,0.024138139560818672,0.022376319393515587,0.9534854888916016,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
44,29765,A man on a bicycle rides up the side of a tree.,A man on a skateboard.,2,contradiction,0.9991926550865173,0.00011486090807011351,0.0006925281486473978,0.9991926550865173,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
45,30056,A man with glasses and a white shirt playing a red guitar.,Billy decided to wear his white shirt with his new glasses for his guitar recital.,1,neutral,0.9971179962158203,0.0014145760796964169,0.9971179962158203,0.0014673913829028606,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
46,32175,A child shows other kids his still packaged toy.,A child has a Buzz Lightyear doll.,1,neutral,0.9993520379066467,0.0003084497293457389,0.9993520379066467,0.00033956015249714255,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
47,32579,"Two musicians are carrying speakers, guitars, and musical equipment.",The musicians are going to band practice.,1,neutral,0.9976015686988831,0.0004057292826473713,0.9976015686988831,0.0019927318207919598,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
48,32673,A man sits in the floor slapping something while another woman watches and one stands in the kitchen talking.,Noone is watching the man.,2,contradiction,0.9993467926979065,0.00019109650747850537,0.0004621604166459292,0.9993467926979065,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
49,34221,Two men fix a bicycle on a trail.,Two men are out in the mountains.,1,neutral,0.9715840220451355,0.02519683726131916,0.9715840220451355,0.0032190969213843346,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
50,34858,Wolf-like dog chasing white wiffle ball through a green field.,The dog is in the field.,1,entailment,0.014200634323060513,0.9813302159309387,0.014200634323060513,0.004469139501452446,False,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
51,37727,"A person holding up a red, yellow and purple striped flag on a street.",The person holds the flag of their home country.,1,neutral,0.999016284942627,0.0005999712739139795,0.999016284942627,0.0003836754185613245,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
52,38085,"Two young girls are playing on swings, and one is holding the other girls swing ""still.""",A girl is telling her friend it is her turn to swing.,1,contradiction,0.4574742615222931,0.003701641457155347,0.4574742615222931,0.5388240814208984,False,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
53,38101,A girl running through uneven sand with some withered grass.,The girl is not wearing shoes.,1,neutral,0.9979598522186279,0.0016329371137544513,0.9979598522186279,0.0004072603478562087,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
54,38352,A baby that is smiling big.,A kid is crying.,2,contradiction,0.999405026435852,0.00015560281462967396,0.00043932863627560437,0.999405026435852,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
55,40045,Former First Lady Laura Bush wearing a peach colored dress speaks at a conference.,Laura Bush reads a newspaper while eating an orange.,2,contradiction,0.9992152452468872,4.659642218030058e-05,0.0007381707546301186,0.9992152452468872,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
56,40130,A man sitting on a rock in a grass field talking on his cellphone.,The man is outside talking on his cellphone.,0,entailment,0.9957807064056396,0.9957807064056396,0.0037336789537221193,0.00048564429744146764,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
57,40441,"two men, one in a red shirt, running towards a Frisbee.",Two guys trying to catch the same Frisbee,1,neutral,0.9077663421630859,0.09104789793491364,0.9077663421630859,0.0011856559431180358,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
58,41993,A man wearing glasses sitting at a desk with a large pile of papers.,The office worker is thinking.,1,neutral,0.9612749218940735,0.038018614053726196,0.9612749218940735,0.0007065168465487659,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
59,42372,Young asian boy sits down and reads a book at a book fair as a female looks on.,The boy is Asian.,0,entailment,0.991329550743103,0.991329550743103,0.008149031549692154,0.000521391280926764,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
60,43495,A man with black gloves sits on someone's shoulders to take a picture.,The man is short.,1,neutral,0.9977750182151794,0.0005582249141298234,0.9977750182151794,0.0016667171148583293,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
61,43588,Two women are wearing sunglasses and eating food.,Two men are playing baseball.,2,contradiction,0.9984758496284485,4.57439455203712e-05,0.001478406018577516,0.9984758496284485,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
62,43604,Two women eating food with sunglasses on.,Two women are working on a puzzle.,2,contradiction,0.9991143345832825,5.279356992105022e-05,0.0008329180418513715,0.9991143345832825,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
63,44726,A boy is checking a system on the computer.,A boy is using a computer.,0,entailment,0.9923093318939209,0.9923093318939209,0.006791130639612675,0.0008995035896077752,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
64,45940,A dog runs while holding an object in its mouth.,The dog brings the ball back to his owner.,1,neutral,0.9955845475196838,0.00045467016752809286,0.9955845475196838,0.003960777074098587,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
65,46018,Two boys in yellow shirts walk in a field.,The boys are wearing soccer jerseys.,1,neutral,0.9923380017280579,0.0008022651309147477,0.9923380017280579,0.00685978215187788,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
66,46166,Lovers kiss before they part.,lovers are kissing,0,entailment,0.9831985831260681,0.9831985831260681,0.014656546525657177,0.0021448852494359016,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
