source_index,original_source_index,candidate_id,gold_label,augmented_field,old_accepted,old_reasons,source_nli_status,original_nli_predicted_label,original_nli_gold_probability,semantic_min,candidate_nli_predicted_label,candidate_nli_gold_probability,nli_gold_probability_delta,old_hard_cue_changes,v2_accepted,v2_reasons,decision_change,normalization_category,original_premise,original_hypothesis,augmented_premise,augmented_hypothesis,original_sentence,back_translated_sentence,semantic_forward_entailment,semantic_backward_entailment,soft_cue_changes,change_ratio
0,21,0:hypothesis:fra_Latn,neutral,hypothesis,True,[],RELIABLE_GOLD,neutral,0.9951857924461365,0.9976881742477417,neutral,0.9938858151435852,-0.0012999773025512695,[],True,[],KEEP_ACCEPTED,other cue,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A blond man getting a drink of water from a fountain in the park.,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",Blonde man drinking water from a fountain in the park.,A blond man getting a drink of water from a fountain in the park.,Blonde man drinking water from a fountain in the park.,0.9981529116630554,0.9976881742477417,[],0.15966386554621848
0,21,0:premise:fra_Latn,neutral,premise,True,[],RELIABLE_GOLD,neutral,0.9951857924461365,0.9952712655067444,neutral,0.995555579662323,0.00036978721618652344,[],True,[],KEEP_ACCEPTED,other cue,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A blond man getting a drink of water from a fountain in the park.,A man with blond hair and a brown shirt drinking from a public water fountain.,A blond man getting a drink of water from a fountain in the park.,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A man with blond hair and a brown shirt drinking from a public water fountain.,0.995466947555542,0.9952712655067444,[],0.0691823899371069
1,90,1:hypothesis:fra_Latn,contradiction,hypothesis,False,"[""hard_cue_changed""]",RELIABLE_GOLD,contradiction,0.9988769888877869,0.9970947504043579,contradiction,0.9993472695350647,0.00047028064727783203,"[{""group"":""negation"",""original"":{""nobody"":1},""candidate"":{""no"":1},""field"":""hypothesis""},{""group"":""number"",""original"":{},""candidate"":{""one"":1},""field"":""hypothesis""}]",True,[],NEWLY_ACCEPTED,negation normalization,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",Nobody has food.,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",No one has food.,Nobody has food.,No one has food.,0.9970947504043579,0.9971195459365845,[],0.1875
1,90,1:premise:fra_Latn,contradiction,premise,True,[],RELIABLE_GOLD,contradiction,0.9988769888877869,0.9937716126441956,contradiction,0.9983671307563782,-0.0005098581314086914,[],True,[],KEEP_ACCEPTED,other cue,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",Nobody has food.,"A woman crosses the street eating a banana, while a man follows with his suitcase.",Nobody has food.,"A woman is walking across the street eating a banana, while a man is following with his briefcase.","A woman crosses the street eating a banana, while a man follows with his suitcase.",0.9955536723136902,0.9937716126441956,[],0.15555555555555556
2,707,2:hypothesis:fra_Latn,entailment,hypothesis,False,"[""semantic_drift""]",RELIABLE_GOLD,entailment,0.993026852607727,0.1023419201374054,entailment,0.9366301894187927,-0.056396663188934326,[],False,"[""semantic_drift""]",KEEP_REJECTED,other cue,a motorcyclist does a nose wheelie.,A motorcyclist doing a wheelie,a motorcyclist does a nose wheelie.,A motorcyclist making a wheel,A motorcyclist doing a wheelie,A motorcyclist making a wheel,0.9826411604881287,0.1023419201374054,[],0.11864406779661019
2,707,2:premise:fra_Latn,entailment,premise,False,"[""semantic_drift"",""label_flip""]",RELIABLE_GOLD,entailment,0.993026852607727,0.697882354259491,neutral,0.06052945554256439,-0.9324973970651627,[],False,"[""semantic_drift"",""label_flip""]",KEEP_REJECTED,other cue,a motorcyclist does a nose wheelie.,A motorcyclist doing a wheelie,A motorcyclist makes a nose roll.,A motorcyclist doing a wheelie,a motorcyclist does a nose wheelie.,A motorcyclist makes a nose roll.,0.8517272472381592,0.697882354259491,[],0.20588235294117652
3,760,3:hypothesis:fra_Latn,neutral,hypothesis,False,"[""semantic_drift"",""label_flip""]",GOLD_LOW_CONFIDENCE,neutral,0.5028151869773865,0.11255697160959244,entailment,0.05056066811084747,-0.452254518866539,[],False,"[""source_nli_low_confidence""]",KEEP_REJECTED,other cue,A soccer game played by a blue team and a red team on a perfectly manicured field at dusk.,People are playing soccer for a competition.,A soccer game played by a blue team and a red team on a perfectly manicured field at dusk.,People play football for a competition.,People are playing soccer for a competition.,People play football for a competition.,0.11255697160959244,0.8818953633308411,[],0.22891566265060237
3,760,3:premise:fra_Latn,neutral,premise,False,"[""label_flip""]",GOLD_LOW_CONFIDENCE,neutral,0.5028151869773865,0.9048389196395874,entailment,0.15461501479148865,-0.3482001721858978,[],False,"[""source_nli_low_confidence""]",KEEP_REJECTED,other cue,A soccer game played by a blue team and a red team on a perfectly manicured field at dusk.,People are playing soccer for a competition.,A football game played by a blue team and a red team on a perfectly tidy field at dusk.,People are playing soccer for a competition.,A soccer game played by a blue team and a red team on a perfectly manicured field at dusk.,A football game played by a blue team and a red team on a perfectly tidy field at dusk.,0.9048389196395874,0.9821614027023315,[],0.11864406779661019
4,941,4:hypothesis:fra_Latn,contradiction,hypothesis,True,[],RELIABLE_GOLD,contradiction,0.9978331923484802,0.9932776093482971,contradiction,0.9990010857582092,0.001167893409729004,[],True,[],KEEP_ACCEPTED,other cue,A woman talks to two other women and a man with notepads in an office building with large windows.,a man talks to ducks in a pond,A woman talks to two other women and a man with notepads in an office building with large windows.,A man is talking to ducks in a pond,a man talks to ducks in a pond,A man is talking to ducks in a pond,0.9932776093482971,0.9962608218193054,[],0.10769230769230764
4,941,4:premise:fra_Latn,contradiction,premise,True,[],RELIABLE_GOLD,contradiction,0.9978331923484802,0.993462324142456,contradiction,0.9987118244171143,0.0008786320686340332,[],True,[],KEEP_ACCEPTED,other cue,A woman talks to two other women and a man with notepads in an office building with large windows.,a man talks to ducks in a pond,A woman is talking to two other women and a man with notebooks in an office building with large windows.,a man talks to ducks in a pond,A woman talks to two other women and a man with notepads in an office building with large windows.,A woman is talking to two other women and a man with notebooks in an office building with large windows.,0.9940477609634399,0.993462324142456,[],0.06930693069306926
