audit_id,gold_label,gold_label_name,augmented_field,original_premise,original_hypothesis,augmented_premise,augmented_hypothesis,original_sentence,back_translated_sentence,review_semantic_equivalent,review_label_preserved,review_useful_augmentation,review_severity,review_error_types,review_notes
A0121,2,contradiction,premise,A person in a dark wetsuit is surfing.,A person in a white wetsuit surfing,A person in a black suit surfing.,A person in a white wetsuit surfing,A person in a dark wetsuit is surfing.,A person in a black suit surfing.,,,,,,
A0122,0,entailment,hypothesis,A runner is leaping over hurdles.,a runner leaps,A runner is leaping over hurdles.,a runner jumps,a runner leaps,a runner jumps,,,,,,
A0123,1,neutral,hypothesis,A child shows other kids his still packaged toy.,A child has a Buzz Lightyear doll.,A child shows other kids his still packaged toy.,A kid has a Buzz Lightyear doll.,A child has a Buzz Lightyear doll.,A kid has a Buzz Lightyear doll.,,,,,,
A0124,0,entailment,hypothesis,A man tends to his laptop in what appears to be a slideshow of sorts.,A man runs a slideshow.,A man tends to his laptop in what appears to be a slideshow of sorts.,There's a man running a slide show.,A man runs a slideshow.,There's a man running a slide show.,,,,,,
A0125,1,neutral,premise,A little girl smiling and holding a small object.,A girl is proud of her object.,A little girl smiling and holding a little object.,A girl is proud of her object.,A little girl smiling and holding a small object.,A little girl smiling and holding a little object.,,,,,,
A0126,2,contradiction,premise,Blond child in red shirt standing on a plastic wreathed Christmas sleigh.,Child wearing nothing at all standing on a sleigh.,A blonde child in a red shirt standing on a crowned plastic Christmas sled.,Child wearing nothing at all standing on a sleigh.,Blond child in red shirt standing on a plastic wreathed Christmas sleigh.,A blonde child in a red shirt standing on a crowned plastic Christmas sled.,,,,,,
A0127,2,contradiction,hypothesis,"A man riding a four-wheel ATV in the dessert, kicking up sand in his wake.",The man is riding his atv on the city road.,"A man riding a four-wheel ATV in the dessert, kicking up sand in his wake.",The man is driving his ATV on the city road.,The man is riding his atv on the city road.,The man is driving his ATV on the city road.,,,,,,
A0128,0,entailment,hypothesis,"Several people sitting, relaxing in the snow.",The people are outdoors.,"Several people sitting, relaxing in the snow.",People are out there.,The people are outdoors.,People are out there.,,,,,,
A0129,0,entailment,hypothesis,"A security guard stands by a metal, lighted sculpture.",A person guards a sculpture.,"A security guard stands by a metal, lighted sculpture.",A person keeps a sculpture.,A person guards a sculpture.,A person keeps a sculpture.,,,,,,
A0130,2,contradiction,hypothesis,a woman holding a small ball chasing after a small boy.,The woman is sleeping in bed.,a woman holding a small ball chasing after a small boy.,The woman is sleeping in the bed.,The woman is sleeping in bed.,The woman is sleeping in the bed.,,,,,,
A0131,1,neutral,premise,Three guys riding on an elephant with a house-like structures and trees in the background.,The elephants sometimes fight their trainers.,Three guys riding an elephant with structures like a house and trees in the background.,The elephants sometimes fight their trainers.,Three guys riding on an elephant with a house-like structures and trees in the background.,Three guys riding an elephant with structures like a house and trees in the background.,,,,,,
A0132,0,entailment,premise,A multicolor cat fighting with a black and brown dog in a red collar.,A cat and dog are fighting.,A multicolored cat is fighting a black and brown dog with a red collar.,A cat and dog are fighting.,A multicolor cat fighting with a black and brown dog in a red collar.,A multicolored cat is fighting a black and brown dog with a red collar.,,,,,,
A0133,2,contradiction,premise,A woman wearing a black stands in front of a counter while she holds a piece of meat.,The woman is naked while holding a salad.,A woman in black is standing in front of a counter holding a piece of meat.,The woman is naked while holding a salad.,A woman wearing a black stands in front of a counter while she holds a piece of meat.,A woman in black is standing in front of a counter holding a piece of meat.,,,,,,
A0134,0,entailment,hypothesis,A single man sits on the ground with a cup in front of him.,The man is all alone on the ground.,A single man sits on the ground with a cup in front of him.,The man is alone on the floor.,The man is all alone on the ground.,The man is alone on the floor.,,,,,,
A0135,0,entailment,premise,A woman in a red dress and a man in a white suite are engaging in a ballet performance on a purple lit stage.,A man and woman are dancing.,A woman in a red dress and a man in a white suite perform a ballet on a purple-lit stage.,A man and woman are dancing.,A woman in a red dress and a man in a white suite are engaging in a ballet performance on a purple lit stage.,A woman in a red dress and a man in a white suite perform a ballet on a purple-lit stage.,,,,,,
A0136,2,contradiction,hypothesis,A baby that is smiling big.,A kid is crying.,A baby that is smiling big.,A child is crying.,A kid is crying.,A child is crying.,,,,,,
A0137,2,contradiction,hypothesis,A man and woman reenact a scene of a statue.,A man and woman eat at a restaurant.,A man and woman reenact a scene of a statue.,A man and a woman are eating in a restaurant.,A man and woman eat at a restaurant.,A man and a woman are eating in a restaurant.,,,,,,
A0138,1,neutral,hypothesis,A blond singer is performing as people dance behind her.,Gwen Stefani sings while fans dance.,A blond singer is performing as people dance behind her.,Gwen Stefani sings while the fans dance.,Gwen Stefani sings while fans dance.,Gwen Stefani sings while the fans dance.,,,,,,
A0139,1,neutral,premise,Two young girls have fun in an ice skating rink.,The girls are wearing tights.,Two young girls are having fun in a skating rink.,The girls are wearing tights.,Two young girls have fun in an ice skating rink.,Two young girls are having fun in a skating rink.,,,,,,
A0140,0,entailment,hypothesis,There is a child wearing an orange shirt and hold an orange book.,There is a child wearing a shirt and holding a book.,There is a child wearing an orange shirt and hold an orange book.,There's a kid wearing a shirt and holding a book.,There is a child wearing a shirt and holding a book.,There's a kid wearing a shirt and holding a book.,,,,,,
A0141,0,entailment,hypothesis,group of people by the ocean holding a net,A group of people are near the ocean.,group of people by the ocean holding a net,There's a group of people near the ocean.,A group of people are near the ocean.,There's a group of people near the ocean.,,,,,,
