source_index,original_source_index,candidate_id,augmented_field,gold_label,original_premise,original_hypothesis,augmented_premise,augmented_hypothesis,original_sentence,back_translated_sentence,semantic_forward,semantic_backward,semantic_min,original_nli_predicted_label,original_nli_gold_probability,candidate_nli_predicted_label,candidate_nli_gold_probability,nli_gold_probability_delta,nli_transition,confidence_drop,hard_cue_changes,soft_cue_changes,change_ratio,length_ratio,accepted,reasons,review_categories,number_before_raw,number_after_raw,number_change_type,review_semantic_equivalent,review_label_preserved,review_useful_augmentation,review_verdict,review_notes
146,95485,146:hypothesis:fra_Latn,hypothesis,entailment,"A woman holding a girl, who wears an apple themed coat.",Woman holds a girl wearing a coat.,"A woman holding a girl, who wears an apple themed coat.",A woman holds a girl in a coat.,Woman holds a girl wearing a coat.,A woman holds a girl in a coat.,0.9959427714347839,0.9971097111701965,0.9959427714347839,entailment,0.9975709319114685,entailment,0.9963545799255371,-0.0012163519859313965,STABLE_GOLD,False,[],"[{""group"":""space"",""original"":{},""candidate"":{""in"":1},""field"":""hypothesis""}]",0.10769230769230764,0.9117647058823529,True,[],,,,,,,,,
25,13559,25:hypothesis:fra_Latn,hypothesis,entailment,"Two teams, one wearing blue and white, the other in red and white, are playing football.",There are people playing a game.,"Two teams, one wearing blue and white, the other in red and white, are playing football.",There are people who play a game.,There are people playing a game.,There are people who play a game.,0.997711181640625,0.9970611929893494,0.9970611929893494,entailment,0.9929476976394653,entailment,0.9927611351013184,-0.00018656253814697266,STABLE_GOLD,False,[],[],0.10769230769230764,1.03125,True,[],,,,,,,,,
358,243896,358:hypothesis:fra_Latn,hypothesis,entailment,A woman on a cellphone is sitting in a chair.,A woman on a phone is sitting in a chair.,A woman on a cellphone is sitting in a chair.,There's a woman on the phone sitting in a chair.,A woman on a phone is sitting in a chair.,There's a woman on the phone sitting in a chair.,0.9975772500038147,0.9976847171783447,0.9975772500038147,entailment,0.9922958612442017,entailment,0.99595046043396,0.0036545991897583008,STABLE_GOLD,False,[],[],0.1685393258426966,1.170731707317073,True,[],,,,,,,,,
323,219803,323:premise:fra_Latn,premise,entailment,"A young man is having his picture taken in front of a picture of an Asian sports team, while a child walks in a ball cap walks in front of the picture.",A young man gets his photo taken.,"A young man is photographed in front of a photo of an Asian sports team, while a child in a ball cap is walking in front of the photo.",A young man gets his photo taken.,"A young man is having his picture taken in front of a picture of an Asian sports team, while a child walks in a ball cap walks in front of the picture.","A young man is photographed in front of a photo of an Asian sports team, while a child in a ball cap is walking in front of the photo.",0.9948893785476685,0.9946927428245544,0.9946927428245544,entailment,0.9969111084938049,entailment,0.9977287650108337,0.0008176565170288086,STABLE_GOLD,False,[],[],0.19999999999999996,0.8874172185430463,True,[],,,,,,,,,
297,204719,297:hypothesis:fra_Latn,hypothesis,contradiction,The men are waving as they are standing in snow.,A group of men are enjoying a day at the pool.,The men are waving as they are standing in snow.,A group of men enjoying a day at the pool.,A group of men are enjoying a day at the pool.,A group of men enjoying a day at the pool.,0.9959398508071899,0.995609700679779,0.995609700679779,contradiction,0.9994925260543823,contradiction,0.9994074106216431,-8.511543273925781e-05,STABLE_GOLD,False,[],[],0.045454545454545414,0.9130434782608695,True,[],,,,,,,,,
189,124930,189:premise:fra_Latn,premise,neutral,A woman standing in front of a building as others go about their day.,I women waiting on friends outside a building.,A woman standing in front of a building while others spend their day.,I women waiting on friends outside a building.,A woman standing in front of a building as others go about their day.,A woman standing in front of a building while others spend their day.,0.9953017234802246,0.9964246153831482,0.9953017234802246,neutral,0.9968034029006958,neutral,0.9920949339866638,-0.004708468914031982,STABLE_GOLD,False,[],[],0.14492753623188404,1.0,True,[],,,,,,,,,
134,84582,134:hypothesis:fra_Latn,hypothesis,entailment,A man smiling while shining another man's shoes.,A human smiling,A man smiling while shining another man's shoes.,A human smile,A human smiling,A human smile,0.9916871190071106,0.9781470894813538,0.9781470894813538,entailment,0.989769697189331,entailment,0.9757924675941467,-0.013977229595184326,STABLE_GOLD,False,[],[],0.1428571428571429,0.8666666666666667,True,[],,,,,,,,,
714,487685,714:hypothesis:fra_Latn,hypothesis,neutral,There are three people sitting on a bench outside a building and one man standing next to it looking at a newspaper.,The people are talking.,There are three people sitting on a bench outside a building and one man standing next to it looking at a newspaper.,People are talking.,The people are talking.,People are talking.,0.9953835606575012,0.9916812777519226,0.9916812777519226,neutral,0.9925249814987183,neutral,0.9757763743400574,-0.01674860715866089,STABLE_GOLD,False,[],[],0.09523809523809523,0.8260869565217391,True,[],,,,,,,,,
118,73554,118:hypothesis:fra_Latn,hypothesis,entailment,"A man in a neon shirt, khakis, and an orange hard hat walks by a mulch machine.",A man is walking.,"A man in a neon shirt, khakis, and an orange hard hat walks by a mulch machine.",There's a man walking.,A man is walking.,There's a man walking.,0.9980700612068176,0.9979954957962036,0.9979954957962036,entailment,0.9978938698768616,entailment,0.9971684813499451,-0.0007253885269165039,STABLE_GOLD,False,[],[],0.28205128205128205,1.2941176470588236,True,[],,,,,,,,,
774,527833,774:hypothesis:fra_Latn,hypothesis,entailment,These two people are eating.,Two humans are having a meal.,These two people are eating.,Two humans are eating.,Two humans are having a meal.,Two humans are eating.,0.9966002106666565,0.9967319965362549,0.9966002106666565,entailment,0.9979883432388306,entailment,0.9966503977775574,-0.0013379454612731934,STABLE_GOLD,False,[],[],0.21568627450980393,0.7586206896551724,True,[],,,,,,,,,
