source_index,candidate_id,augmented_field,pivot_lang,gold_label,original_premise,original_hypothesis,augmented_premise,augmented_hypothesis,original_sentence,back_translated_sentence,accepted,reasons,semantic_forward_entailment,semantic_backward_entailment,semantic_min,nli_predicted_label,nli_gold_probability,hard_cue_changes,soft_cue_changes,number_cues_before,number_cues_after,change_ratio,length_ratio,source_to_pivot_over_limit,source_to_pivot_truncated,pivot_to_source_over_limit,pivot_to_source_truncated,was_truncated,translation_model,translation_model_revision,verifier_model,verifier_model_revision,risk_score,human_semantic_equivalent,human_label_preserved,human_useful_augmentation,human_notes
0,0:hypothesis:fra_Latn,hypothesis,fra_Latn,neutral,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A blond man getting a drink of water from a fountain in the park.,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",Blonde man drinking water from a fountain in the park.,A blond man getting a drink of water from a fountain in the park.,Blonde man drinking water from a fountain in the park.,True,[],0.9981529116630554,0.9976881742477417,0.9976881742477417,1,0.9938858151435852,[],[],,,0.15966386554621848,0.8307692307692308,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.00842601,,,,
0,0:premise:fra_Latn,premise,fra_Latn,neutral,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A blond man getting a drink of water from a fountain in the park.,A man with blond hair and a brown shirt drinking from a public water fountain.,A blond man getting a drink of water from a fountain in the park.,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A man with blond hair and a brown shirt drinking from a public water fountain.,True,[],0.995466947555542,0.9952712655067444,0.9952712655067444,1,0.995555579662323,[],[],,,0.0691823899371069,0.9629629629629629,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.00917315,,,,
1,1:hypothesis:fra_Latn,hypothesis,fra_Latn,contradiction,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",Nobody has food.,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",No one has food.,Nobody has food.,No one has food.,False,"[""hard_cue_changed""]",0.9970947504043579,0.9971195459365845,0.9970947504043579,2,0.9993472695350647,"[{""group"":""negation"",""original"":{""nobody"":1},""candidate"":{""no"":1},""field"":""hypothesis""},{""group"":""number"",""original"":{},""candidate"":{""one"":1},""field"":""hypothesis""}]",[],{},"{""one"":1}",0.1875,1.0,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.00355798,,,,
1,1:premise:fra_Latn,premise,fra_Latn,contradiction,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",Nobody has food.,"A woman crosses the street eating a banana, while a man follows with his suitcase.",Nobody has food.,"A woman is walking across the street eating a banana, while a man is following with his briefcase.","A woman crosses the street eating a banana, while a man follows with his suitcase.",True,[],0.9955536723136902,0.9937716126441956,0.9937716126441956,2,0.9983671307563782,[],[],,,0.15555555555555556,0.8367346938775511,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.00786126,,,,
2,2:hypothesis:fra_Latn,hypothesis,fra_Latn,entailment,a motorcyclist does a nose wheelie.,A motorcyclist doing a wheelie,a motorcyclist does a nose wheelie.,A motorcyclist making a wheel,A motorcyclist doing a wheelie,A motorcyclist making a wheel,False,"[""semantic_drift""]",0.9826411604881287,0.1023419201374054,0.1023419201374054,0,0.9366301894187927,[],[],,,0.11864406779661019,0.9666666666666667,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.96102789,,,,
2,2:premise:fra_Latn,premise,fra_Latn,entailment,a motorcyclist does a nose wheelie.,A motorcyclist doing a wheelie,A motorcyclist makes a nose roll.,A motorcyclist doing a wheelie,a motorcyclist does a nose wheelie.,A motorcyclist makes a nose roll.,False,"[""semantic_drift"",""label_flip""]",0.8517272472381592,0.697882354259491,0.697882354259491,1,0.06052945554256439,[],[],,,0.20588235294117652,0.9428571428571428,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,1.24158819,,,,
3,3:hypothesis:fra_Latn,hypothesis,fra_Latn,neutral,A soccer game played by a blue team and a red team on a perfectly manicured field at dusk.,People are playing soccer for a competition.,A soccer game played by a blue team and a red team on a perfectly manicured field at dusk.,People play football for a competition.,People are playing soccer for a competition.,People play football for a competition.,False,"[""semantic_drift"",""label_flip""]",0.11255697160959244,0.8818953633308411,0.11255697160959244,0,0.05056066811084747,[],[],,,0.22891566265060237,0.8863636363636364,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,1.83688236,,,,
3,3:premise:fra_Latn,premise,fra_Latn,neutral,A soccer game played by a blue team and a red team on a perfectly manicured field at dusk.,People are playing soccer for a competition.,A football game played by a blue team and a red team on a perfectly tidy field at dusk.,People are playing soccer for a competition.,A soccer game played by a blue team and a red team on a perfectly manicured field at dusk.,A football game played by a blue team and a red team on a perfectly tidy field at dusk.,False,"[""label_flip""]",0.9048389196395874,0.9821614027023315,0.9048389196395874,0,0.15461501479148865,[],[],,,0.11864406779661019,0.9666666666666667,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.94054607,,,,
4,4:hypothesis:fra_Latn,hypothesis,fra_Latn,contradiction,A woman talks to two other women and a man with notepads in an office building with large windows.,a man talks to ducks in a pond,A woman talks to two other women and a man with notepads in an office building with large windows.,A man is talking to ducks in a pond,a man talks to ducks in a pond,A man is talking to ducks in a pond,True,[],0.9932776093482971,0.9962608218193054,0.9932776093482971,2,0.9990010857582092,[],[],,,0.10769230769230764,1.1666666666666667,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.0077213,,,,
4,4:premise:fra_Latn,premise,fra_Latn,contradiction,A woman talks to two other women and a man with notepads in an office building with large windows.,a man talks to ducks in a pond,A woman is talking to two other women and a man with notebooks in an office building with large windows.,a man talks to ducks in a pond,A woman talks to two other women and a man with notepads in an office building with large windows.,A woman is talking to two other women and a man with notebooks in an office building with large windows.,True,[],0.9940477609634399,0.993462324142456,0.993462324142456,2,0.9987118244171143,[],[],,,0.06930693069306926,1.0612244897959184,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.00782585,,,,
5,5:hypothesis:fra_Latn,hypothesis,fra_Latn,neutral,A woman is holding a bird while sitting in a flowering tree.,a woman puts her bird ina a tree,A woman is holding a bird while sitting in a flowering tree.,A woman puts her bird in a tree,a woman puts her bird ina a tree,A woman puts her bird in a tree,False,"[""trivial_copy"",""label_flip""]",0.9961535334587097,0.9946637153625488,0.9946637153625488,0,0.09445426613092422,[],"[{""group"":""space"",""original"":{},""candidate"":{""in"":1},""field"":""hypothesis""}]",,,0.015873015873015928,0.96875,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,1.01088202,,,,
5,5:premise:fra_Latn,premise,fra_Latn,neutral,A woman is holding a bird while sitting in a flowering tree.,a woman puts her bird ina a tree,A woman holds a bird while sitting in a flowering tree.,a woman puts her bird ina a tree,A woman is holding a bird while sitting in a flowering tree.,A woman holds a bird while sitting in a flowering tree.,False,"[""label_flip""]",0.9973118305206299,0.9962062835693359,0.9962062835693359,0,0.03431759029626846,[],[],,,0.060869565217391286,0.9166666666666666,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.96947613,,,,
6,6:hypothesis:fra_Latn,hypothesis,fra_Latn,neutral,Two people are planting small bushes near a grassy area.,Two people are planting bushes for charity.,Two people are planting small bushes near a grassy area.,Two people planting bushes for charity.,Two people are planting bushes for charity.,Two people planting bushes for charity.,True,[],0.9966105818748474,0.993664026260376,0.993664026260376,1,0.9989591836929321,[],[],,,0.04878048780487809,0.9069767441860465,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.00737679,,,,
6,6:premise:fra_Latn,premise,fra_Latn,neutral,Two people are planting small bushes near a grassy area.,Two people are planting bushes for charity.,Two people are planting little bushes near a grassy area.,Two people are planting bushes for charity.,Two people are planting small bushes near a grassy area.,Two people are planting little bushes near a grassy area.,True,[],0.9979504942893982,0.9974109530448914,0.9974109530448914,1,0.9988778233528137,[],[],,,0.06194690265486724,1.0178571428571428,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.00371122,,,,
7,7:hypothesis:fra_Latn,hypothesis,fra_Latn,entailment,A boat captain steering a large green wheel.,A guy is at the green helm of a boat.,A boat captain steering a large green wheel.,There's a guy on the green deck of a boat.,A guy is at the green helm of a boat.,There's a guy on the green deck of a boat.,False,"[""semantic_drift""]",0.5665518641471863,0.006149317603558302,0.006149317603558302,0,0.8376345634460449,[],"[{""group"":""space"",""original"":{},""candidate"":{""on"":1},""field"":""hypothesis""}]",,,0.26582278481012656,1.135135135135135,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,1.25621612,,,,
7,7:premise:fra_Latn,premise,fra_Latn,entailment,A boat captain steering a large green wheel.,A guy is at the green helm of a boat.,A ship captain driving a big green wheel.,A guy is at the green helm of a boat.,A boat captain steering a large green wheel.,A ship captain driving a big green wheel.,True,[],0.9961495399475098,0.997067391872406,0.9961495399475098,0,0.9822490215301514,[],[],,,0.24705882352941178,0.9318181818181818,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.02160144,,,,
8,8:hypothesis:fra_Latn,hypothesis,fra_Latn,contradiction,Band playing in front of a small crowd outside.,There are thousands of people watching them perform.,Band playing in front of a small crowd outside.,Thousands of people watch them play.,There are thousands of people watching them perform.,Thousands of people watch them play.,True,[],0.9955645799636841,0.9959243535995483,0.9955645799636841,2,0.9844326972961426,[],[],,,0.25,0.6923076923076923,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.02000272,,,,
