source_index,candidate_id,augmented_field,pivot_lang,gold_label,original_premise,original_hypothesis,augmented_premise,augmented_hypothesis,original_sentence,back_translated_sentence,accepted,reasons,semantic_forward_entailment,semantic_backward_entailment,semantic_min,nli_predicted_label,nli_gold_probability,hard_cue_changes,soft_cue_changes,number_cues_before,number_cues_after,change_ratio,length_ratio,source_to_pivot_over_limit,source_to_pivot_truncated,pivot_to_source_over_limit,pivot_to_source_truncated,was_truncated,translation_model,translation_model_revision,verifier_model,verifier_model_revision,risk_score,human_semantic_equivalent,human_label_preserved,human_useful_augmentation,human_notes
730,730:hypothesis:fra_Latn,hypothesis,fra_Latn,contradiction,The horse on the left has a white mane.,The horse is solid black.,The horse on the left has a white mane.,The horse is black.,The horse is solid black.,The horse is black.,False,"[""semantic_drift""]",0.9944779872894287,0.24622277915477753,0.24622277915477753,2,0.998672366142273,[],[],,,0.13636363636363635,0.76,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.75510485,,,,
128,128:premise:fra_Latn,premise,fra_Latn,contradiction,"Two people sit in handicapped seats, one touching her ear while the other touches her eyes.",two individuals run around with guns,"Two people are sitting in wheelchairs, one touching her ear and the other touching her eyes.",two individuals run around with guns,"Two people sit in handicapped seats, one touching her ear while the other touches her eyes.","Two people are sitting in wheelchairs, one touching her ear and the other touching her eyes.",False,"[""semantic_drift""]",0.24612775444984436,0.988093912601471,0.24612775444984436,2,0.999591052532196,[],[],,,0.22404371584699456,1.010989010989011,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.75428119,,,,
26,26:premise:fra_Latn,premise,fra_Latn,entailment,"A balding man in a dark suit and maroon tie, with a mustache and beard, plays bagpipes, as a young blond woman standing next to him in a light blue crop top and skirt listens and sticks her tongue out.",a balding man with facial hair wearing a dark suit and tie plays bagpipes as a young blonde woman stands next to him in a blue shirt and skirt sticking her tongue out.,"A white-headed man in a black suit and a brown tie, with a moustache and a beard, plays pipes, while a young blonde woman stands beside him in a light blue top and a skirt listens and",a balding man with facial hair wearing a dark suit and tie plays bagpipes as a young blonde woman stands next to him in a blue shirt and skirt sticking her tongue out.,"A balding man in a dark suit and maroon tie, with a mustache and beard, plays bagpipes, as a young blond woman standing next to him in a light blue crop top and skirt listens and sticks her tongue out.","A white-headed man in a black suit and a brown tie, with a moustache and a beard, plays pipes, while a young blonde woman stands beside him in a light blue top and a skirt listens and",False,"[""semantic_drift"",""label_flip""]",0.9312997460365295,0.001005774480290711,0.001005774480290711,1,0.08289541304111481,[],"[{""group"":""space"",""original"":{""in"":2},""candidate"":{""beside"":1,""in"":2},""field"":""premise""}]",,,0.21875,0.9104477611940298,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,2.01609881,,,,
307,307:hypothesis:fra_Latn,hypothesis,fra_Latn,entailment,Two women in military uniform are standing with other soldiers in formation.,Two women in military uniform are standing with others in formation,Two women in military uniform are standing with other soldiers in formation.,Two women in military uniform stand with others in training.,Two women in military uniform are standing with others in formation,Two women in military uniform stand with others in training.,False,"[""semantic_drift""]",0.7830868363380432,0.7258549332618713,0.7258549332618713,0,0.8016545176506042,[],[],,,0.13385826771653542,0.8955223880597015,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.47249055,,,,
263,263:hypothesis:fra_Latn,hypothesis,fra_Latn,entailment,A little boy with a green shirt is running on a rock ledge.,A child is running.,A little boy with a green shirt is running on a rock ledge.,A short child.,A child is running.,A short child.,False,"[""semantic_drift"",""label_flip""]",0.0018705717520788312,0.0015809726901352406,0.0015809726901352406,1,0.24805648624897003,[],[],,,0.5151515151515151,0.7368421052631579,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,1.75036254,,,,
243,243:premise:fra_Latn,premise,fra_Latn,entailment,"Four women, two with id badges.",Two women have badges.,"Four women, two with badges.",Two women have badges.,"Four women, two with id badges.","Four women, two with badges.",False,"[""semantic_drift""]",0.9911150932312012,0.007208652328699827,0.007208652328699827,0,0.9881977438926697,[],[],,,0.05084745762711862,0.9032258064516129,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,1.0045936,,,,
161,161:premise:fra_Latn,premise,fra_Latn,contradiction,A gloved man palms forward in front of arranged clothes.,A man jumps forward in front of dogs.,A man with handcuffs palms in front of a row of clothes.,A man jumps forward in front of dogs.,A gloved man palms forward in front of arranged clothes.,A man with handcuffs palms in front of a row of clothes.,False,"[""semantic_drift""]",0.006967732682824135,0.1349162757396698,0.006967732682824135,2,0.9980649352073669,[],[],,,0.375,1.0,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.99496733,,,,
118,118:premise:fra_Latn,premise,fra_Latn,entailment,"A man in a neon shirt, khakis, and an orange hard hat walks by a mulch machine.",A man is walking.,"A man in a neon shirt, khakis, and a hard orange hat passes by a flying machine.",A man is walking.,"A man in a neon shirt, khakis, and an orange hard hat walks by a mulch machine.","A man in a neon shirt, khakis, and a hard orange hat passes by a flying machine.",False,"[""semantic_drift"",""label_flip""]",0.002918058540672064,0.0032231558579951525,0.002918058540672064,2,0.005114428699016571,[],[],,,0.16981132075471694,1.0126582278481013,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,1.99196751,,,,
753,753:premise:fra_Latn,premise,fra_Latn,entailment,"Three women in white mini dresses, carrying white umbrellas and drinks, walking in an unknown desert location.",Three women are waiting in the desert while wearing short dresses.,"Three women in white mini-clothes, wearing white umbrellas and drinks, walking in an unknown desert.",Three women are waiting in the desert while wearing short dresses.,"Three women in white mini dresses, carrying white umbrellas and drinks, walking in an unknown desert location.","Three women in white mini-clothes, wearing white umbrellas and drinks, walking in an unknown desert.",False,"[""semantic_drift"",""label_flip""]",0.5176159739494324,0.7017638087272644,0.5176159739494324,2,0.009773902595043182,[],[],,,0.12380952380952381,0.9090909090909091,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,1.47261012,,,,
641,641:hypothesis:fra_Latn,hypothesis,fra_Latn,contradiction,"A man dressed in a red t-shirt and blue jeans eats food he's holding in his hand, as he walks along a busy sidewalk, with an antique-style sign advertising wedding rings on the right-hand side of the picture.",A man in a suit holds a briefcase as he walks along an empty sidewalk.,"A man dressed in a red t-shirt and blue jeans eats food he's holding in his hand, as he walks along a busy sidewalk, with an antique-style sign advertising wedding rings on the right-hand side of the picture.",A man in a suitcase is walking down an empty sidewalk.,A man in a suit holds a briefcase as he walks along an empty sidewalk.,A man in a suitcase is walking down an empty sidewalk.,False,"[""semantic_drift""]",0.05186861753463745,0.3623475134372711,0.05186861753463745,2,0.9996750354766846,[],[],,,0.24193548387096775,0.7714285714285715,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.94845635,,,,
