source_index,candidate_id,augmented_field,pivot_lang,gold_label,original_premise,original_hypothesis,augmented_premise,augmented_hypothesis,original_sentence,back_translated_sentence,accepted,reasons,semantic_forward_entailment,semantic_backward_entailment,semantic_min,nli_predicted_label,nli_gold_probability,hard_cue_changes,soft_cue_changes,number_cues_before,number_cues_after,change_ratio,length_ratio,source_to_pivot_over_limit,source_to_pivot_truncated,pivot_to_source_over_limit,pivot_to_source_truncated,was_truncated,translation_model,translation_model_revision,verifier_model,verifier_model_revision,risk_score,human_semantic_equivalent,human_label_preserved,human_useful_augmentation,human_notes
758,758:premise:fra_Latn,premise,fra_Latn,entailment,Older female walking with cane next to flower wreaths.,An older woman is walking with a cane.,An older female walks with a cane next to flower crowns.,An older woman is walking with a cane.,Older female walking with cane next to flower wreaths.,An older female walks with a cane next to flower crowns.,True,[],0.9931578040122986,0.9706286787986755,0.9706286787986755,0,0.9977967739105225,[],[],,,0.1636363636363637,1.037037037037037,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.03157455,,,,
134,134:hypothesis:fra_Latn,hypothesis,fra_Latn,entailment,A man smiling while shining another man's shoes.,A human smiling,A man smiling while shining another man's shoes.,A human smile,A human smiling,A human smile,True,[],0.9916871190071106,0.9781470894813538,0.9781470894813538,0,0.9757924675941467,[],[],,,0.1428571428571429,0.8666666666666667,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.04606044,,,,
24,24:hypothesis:fra_Latn,hypothesis,fra_Latn,contradiction,A woman wearing a black stands in front of a counter while she holds a piece of meat.,The woman is naked while holding a salad.,A woman wearing a black stands in front of a counter while she holds a piece of meat.,The woman is naked holding a salad.,The woman is naked while holding a salad.,The woman is naked holding a salad.,True,[],0.9969432950019836,0.9966807961463928,0.9966807961463928,2,0.9996335506439209,[],[],,,0.07894736842105265,0.8536585365853658,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.00368565,,,,
329,329:premise:fra_Latn,premise,fra_Latn,neutral,Shoppers look for Christmas gifts at Harrod's department store.,The shoppers are finding good deals.,Shoppers are looking for Christmas gifts at Harrod's department store.,The shoppers are finding good deals.,Shoppers look for Christmas gifts at Harrod's department store.,Shoppers are looking for Christmas gifts at Harrod's department store.,True,[],0.9946885108947754,0.9976359605789185,0.9946885108947754,1,0.9990618824958801,[],[],,,0.052631578947368474,1.1111111111111112,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.00624961,,,,
302,302:hypothesis:fra_Latn,hypothesis,fra_Latn,neutral,A man surfing on big waves with a watch on.,He is in a surfing tournament.,A man surfing on big waves with a watch on.,He's at a surfing tournament.,He is in a surfing tournament.,He's at a surfing tournament.,True,[],0.9938219785690308,0.9936670660972595,0.9936670660972595,1,0.9978724718093872,[],"[{""group"":""space"",""original"":{""in"":1},""candidate"":{},""field"":""hypothesis""}]",,,0.11864406779661019,0.9666666666666667,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.10846046,,,,
280,280:premise:fra_Latn,premise,fra_Latn,entailment,A man with an olive green shirt and messy hair plays a colorful drum set.,A man plays the drums.,A man in an olive green shirt and disordered hair plays a set of colorful drums.,A man plays the drums.,A man with an olive green shirt and messy hair plays a colorful drum set.,A man in an olive green shirt and disordered hair plays a set of colorful drums.,True,[],0.9851164221763611,0.9966318011283875,0.9851164221763611,0,0.9971488118171692,[],"[{""group"":""space"",""original"":{},""candidate"":{""in"":1},""field"":""premise""}]",,,0.17647058823529416,1.095890410958904,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.11773477,,,,
177,177:hypothesis:fra_Latn,hypothesis,fra_Latn,entailment,A man in a green parks looks over his shoulder at a policeman who is helping an injured bicyclist lying in the street.,man looks at policeman,A man in a green parks looks over his shoulder at a policeman who is helping an injured bicyclist lying in the street.,A man looks at a policeman,man looks at policeman,A man looks at a policeman,True,[],0.9919899106025696,0.9938517808914185,0.9919899106025696,0,0.99339359998703,[],[],,,0.08333333333333337,1.1818181818181819,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.01461649,,,,
126,126:hypothesis:fra_Latn,hypothesis,fra_Latn,contradiction,Two children work on a project with woman.,The woman is with her friends.,Two children work on a project with woman.,The woman's with her friends.,The woman is with her friends.,The woman's with her friends.,True,[],0.9972797632217407,0.9967783093452454,0.9967783093452454,2,0.9963229894638062,[],[],,,0.05084745762711862,0.9666666666666667,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.0068987,,,,
631,631:premise:fra_Latn,premise,fra_Latn,contradiction,Two women observing a fountain in a park.,two women dig up their yard for a garden,Two women watching a fountain in a park.,two women dig up their yard for a garden,Two women observing a fountain in a park.,Two women watching a fountain in a park.,True,[],0.9964615702629089,0.9933991432189941,0.9933991432189941,2,0.9980903267860413,[],[],,,0.13580246913580252,0.975609756097561,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.00851053,,,,
104,104:premise:fra_Latn,premise,fra_Latn,neutral,A man playing a guitar on stage while a man plays drums in the background.,"Two men play on stage, hoping to get discovered by someone in the crowd.",A man plays guitar on stage while a man plays drums in the background.,"Two men play on stage, hoping to get discovered by someone in the crowd.",A man playing a guitar on stage while a man plays drums in the background.,A man plays guitar on stage while a man plays drums in the background.,True,[],0.9961976408958435,0.9939934611320496,0.9939934611320496,1,0.9982454776763916,[],[],,,0.04166666666666663,0.9459459459459459,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.00776106,,,,
