source_index,candidate_id,augmented_field,pivot_lang,gold_label,original_premise,original_hypothesis,augmented_premise,augmented_hypothesis,original_sentence,back_translated_sentence,accepted,reasons,semantic_forward_entailment,semantic_backward_entailment,semantic_min,nli_predicted_label,nli_gold_probability,hard_cue_changes,soft_cue_changes,number_cues_before,number_cues_after,change_ratio,length_ratio,source_to_pivot_over_limit,source_to_pivot_truncated,pivot_to_source_over_limit,pivot_to_source_truncated,was_truncated,translation_model,translation_model_revision,verifier_model,verifier_model_revision,risk_score,human_semantic_equivalent,human_label_preserved,human_useful_augmentation,human_notes
1,1:hypothesis:fra_Latn,hypothesis,fra_Latn,contradiction,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",Nobody has food.,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",No one has food.,Nobody has food.,No one has food.,False,"[""hard_cue_changed""]",0.9970947504043579,0.9971195459365845,0.9970947504043579,2,0.9993472695350647,"[{""group"":""negation"",""original"":{""nobody"":1},""candidate"":{""no"":1},""field"":""hypothesis""},{""group"":""number"",""original"":{},""candidate"":{""one"":1},""field"":""hypothesis""}]",[],{},"{""one"":1}",0.1875,1.0,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.00355798,,,,
20,20:hypothesis:fra_Latn,hypothesis,fra_Latn,neutral,A woman in a white jacket is standing next to an older woman while reviewing a subway map.,Two two women are going to take the subway into town.,A woman in a white jacket is standing next to an older woman while reviewing a subway map.,Two women are taking the subway to the city.,Two two women are going to take the subway into town.,Two women are taking the subway to the city.,False,"[""hard_cue_changed""]",0.9939765930175781,0.9970983266830444,0.9939765930175781,1,0.970716655254364,"[{""group"":""number"",""original"":{""two"":2},""candidate"":{""two"":1},""field"":""hypothesis""}]",[],"{""two"":2}","{""two"":1}",0.2989690721649485,0.8301886792452831,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.03530675,,,,
21,21:hypothesis:fra_Latn,hypothesis,fra_Latn,contradiction,Two girls looking in microscopes.,the two girls are listening to music while in science class instead of doing their homework,Two girls looking in microscopes.,Both girls listen to music in science class instead of doing their homework.,the two girls are listening to music while in science class instead of doing their homework,Both girls listen to music in science class instead of doing their homework.,False,"[""hard_cue_changed""]",0.9962235689163208,0.995875895023346,0.995875895023346,2,0.9995075464248657,"[{""group"":""number"",""original"":{""two"":1},""candidate"":{},""field"":""hypothesis""}]",[],"{""two"":1}",{},0.12574850299401197,0.8351648351648352,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.00461656,,,,
23,23:hypothesis:fra_Latn,hypothesis,fra_Latn,contradiction,"Two men walk in the park, one with a shaggy dog on a leash and a device for cleaning up canine droppings.",The dog isn't shaggy,"Two men walk in the park, one with a shaggy dog on a leash and a device for cleaning up canine droppings.",The dog's not sexy.,The dog isn't shaggy,The dog's not sexy.,False,"[""hard_cue_changed"",""semantic_drift"",""label_flip""]",0.022726181894540787,0.0067181834019720554,0.0067181834019720554,1,0.006090196315199137,"[{""group"":""negation"",""original"":{""n't"":1},""candidate"":{""not"":1},""field"":""hypothesis""}]",[],,,0.33333333333333337,0.95,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,1.98719162,,,,
48,48:hypothesis:fra_Latn,hypothesis,fra_Latn,contradiction,A man sits in the floor slapping something while another woman watches and one stands in the kitchen talking.,Noone is watching the man.,A man sits in the floor slapping something while another woman watches and one stands in the kitchen talking.,No one's watching him.,Noone is watching the man.,No one's watching him.,False,"[""hard_cue_changed""]",0.9975220561027527,0.9966239929199219,0.9966239929199219,2,0.9994598031044006,"[{""group"":""negation"",""original"":{},""candidate"":{""no"":1},""field"":""hypothesis""}]",[],,,0.20833333333333337,0.8461538461538461,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.0039162,,,,
53,53:hypothesis:fra_Latn,hypothesis,fra_Latn,neutral,A girl running through uneven sand with some withered grass.,The girl is not wearing shoes.,A girl running through uneven sand with some withered grass.,The girl doesn't wear shoes.,The girl is not wearing shoes.,The girl doesn't wear shoes.,False,"[""hard_cue_changed""]",0.9978317618370056,0.9950405955314636,0.9950405955314636,1,0.9986128807067871,"[{""group"":""negation"",""original"":{""not"":1},""candidate"":{""n't"":1},""field"":""hypothesis""}]",[],,,0.1724137931034483,0.9333333333333333,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.00634652,,,,
68,68:premise:fra_Latn,premise,fra_Latn,entailment,Two children are sitting shirtless on a trampoline.,The children are outside.,Two kids sitting on a trampoline without a shirt.,The children are outside.,Two children are sitting shirtless on a trampoline.,Two kids sitting on a trampoline without a shirt.,False,"[""hard_cue_changed""]",0.9966893196105957,0.9968656897544861,0.9966893196105957,0,0.9804713726043701,"[{""group"":""negation"",""original"":{},""candidate"":{""without"":1},""field"":""premise""}]",[],,,0.38,0.9607843137254902,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.02283931,,,,
88,88:hypothesis:fra_Latn,hypothesis,fra_Latn,neutral,"A man washing his shirt, in a fountain in a park.",The man is living out of his car since losing his job 5 months ago.,"A man washing his shirt, in a fountain in a park.",The man's been living in his car since he lost his job five months ago.,The man is living out of his car since losing his job 5 months ago.,The man's been living in his car since he lost his job five months ago.,False,"[""hard_cue_changed"",""label_flip""]",0.9968830347061157,0.9939338564872742,0.9939338564872742,2,0.10957346111536026,"[{""group"":""number"",""original"":{""5"":1},""candidate"":{""five"":1},""field"":""hypothesis""}]","[{""group"":""space"",""original"":{},""candidate"":{""in"":1},""field"":""hypothesis""}]","{""5"":1}","{""five"":1}",0.2028985507246377,1.0597014925373134,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.99649268,,,,
108,108:premise:fra_Latn,premise,fra_Latn,entailment,A person is doing a back flip while other people and cars go by in the background.,The person knows how to do a flip.,One person makes a back turn while others and cars pass in the background.,The person knows how to do a flip.,A person is doing a back flip while other people and cars go by in the background.,One person makes a back turn while others and cars pass in the background.,False,"[""hard_cue_changed"",""semantic_drift"",""label_flip""]",0.9961516261100769,0.728767991065979,0.728767991065979,1,0.10014548152685165,"[{""group"":""number"",""original"":{},""candidate"":{""one"":1},""field"":""premise""}]",[],{},"{""one"":1}",0.2564102564102564,0.9024390243902439,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,1.17108653,,,,
129,129:premise:fra_Latn,premise,fra_Latn,neutral,A crowd of black people are gathered and one person has a backpack on.,A crowd of teenage black people are waiting for the school to open and one of them has a backpack.,There's a crowd of blacks gathered and a person is carrying a backpack.,A crowd of teenage black people are waiting for the school to open and one of them has a backpack.,A crowd of black people are gathered and one person has a backpack on.,There's a crowd of blacks gathered and a person is carrying a backpack.,False,"[""hard_cue_changed""]",0.9972732663154602,0.9975751042366028,0.9972732663154602,1,0.9988194108009338,"[{""group"":""number"",""original"":{""one"":1},""candidate"":{},""field"":""premise""}]","[{""group"":""space"",""original"":{""on"":1},""candidate"":{},""field"":""premise""}]","{""one"":1}",{},0.276595744680851,1.0142857142857142,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.10390732,,,,
