source_index,original_source_index,candidate_id,augmented_field,gold_label,original_premise,original_hypothesis,augmented_premise,augmented_hypothesis,original_sentence,back_translated_sentence,semantic_forward,semantic_backward,semantic_min,original_nli_predicted_label,original_nli_gold_probability,candidate_nli_predicted_label,candidate_nli_gold_probability,nli_gold_probability_delta,nli_transition,confidence_drop,hard_cue_changes,soft_cue_changes,change_ratio,length_ratio,accepted,reasons,review_categories,number_before_raw,number_after_raw,number_change_type,review_semantic_equivalent,review_label_preserved,review_useful_augmentation,review_verdict,review_notes
348,233997,348:hypothesis:fra_Latn,hypothesis,contradiction,Blond child in red shirt standing on a plastic wreathed Christmas sleigh.,Child wearing nothing at all standing on a sleigh.,Blond child in red shirt standing on a plastic wreathed Christmas sleigh.,A child who carries nothing standing on a sled.,Child wearing nothing at all standing on a sleigh.,A child who carries nothing standing on a sled.,0.9898304343223572,0.9826257228851318,0.9826257228851318,contradiction,0.9994896650314331,neutral,0.02450018934905529,-0.9749894756823778,TRUE_FLIP,False,[],"[{""group"":""quantifier"",""original"":{""all"":1},""candidate"":{},""field"":""hypothesis""}]",0.23711340206185572,0.94,False,"[""label_flip""]",,,,,,,,,
753,513720,753:premise:fra_Latn,premise,entailment,"Three women in white mini dresses, carrying white umbrellas and drinks, walking in an unknown desert location.",Three women are waiting in the desert while wearing short dresses.,"Three women in white mini-clothes, wearing white umbrellas and drinks, walking in an unknown desert.",Three women are waiting in the desert while wearing short dresses.,"Three women in white mini dresses, carrying white umbrellas and drinks, walking in an unknown desert location.","Three women in white mini-clothes, wearing white umbrellas and drinks, walking in an unknown desert.",0.5176159739494324,0.7017638087272644,0.5176159739494324,entailment,0.6185972690582275,contradiction,0.009773902595043182,-0.6088233664631844,TRUE_FLIP,False,[],[],0.12380952380952381,0.9090909090909091,False,"[""semantic_drift"",""label_flip""]",,,,,,,,,
22,11003,22:premise:fra_Latn,premise,neutral,Two men in suits laugh together.,The two guys in suits are talking and smiling.,Two men in suits laughing together.,The two guys in suits are talking and smiling.,Two men in suits laugh together.,Two men in suits laughing together.,0.9958398342132568,0.9967206120491028,0.9958398342132568,neutral,0.7599707841873169,entailment,0.45672398805618286,-0.30324679613113403,TRUE_FLIP,False,[],[],0.04477611940298509,1.09375,False,"[""label_flip""]",,,,,,,,,
23,12969,23:premise:fra_Latn,premise,contradiction,"Two men walk in the park, one with a shaggy dog on a leash and a device for cleaning up canine droppings.",The dog isn't shaggy,"Two men are walking in the park, one with a dog on a rope and a canine excrement cleaner.",The dog isn't shaggy,"Two men walk in the park, one with a shaggy dog on a leash and a device for cleaning up canine droppings.","Two men are walking in the park, one with a dog on a rope and a canine excrement cleaner.",0.9899842739105225,0.020289311185479164,0.020289311185479164,contradiction,0.9983012080192566,neutral,0.0018931339727714658,-0.9964080740464851,TRUE_FLIP,False,[],[],0.3402061855670103,0.8476190476190476,False,"[""semantic_drift"",""label_flip""]",,,,,,,,,
108,68719,108:premise:fra_Latn,premise,entailment,A person is doing a back flip while other people and cars go by in the background.,The person knows how to do a flip.,One person makes a back turn while others and cars pass in the background.,The person knows how to do a flip.,A person is doing a back flip while other people and cars go by in the background.,One person makes a back turn while others and cars pass in the background.,0.9961516261100769,0.728767991065979,0.728767991065979,entailment,0.6130655407905579,neutral,0.10014548152685165,-0.5129200592637062,TRUE_FLIP,False,"[{""group"":""number"",""original"":{},""candidate"":{""one"":1},""field"":""premise""}]",[],0.2564102564102564,0.9024390243902439,False,"[""hard_cue_changed"",""semantic_drift"",""label_flip""]",,{},"{""one"":1}",NUMBER_ADDED,,,,,
509,340830,509:premise:fra_Latn,premise,neutral,"Two individuals, in full fencing attire, with their masks on and the swords in their hands, fencing in the gym.","Two men, in full fencing attire, with their masks on and the swords in their hands, fencing in the gym.","Two individuals, dressed in full scaffolding, with their masks and swords in their hands, scaffolding in the gym.","Two men, in full fencing attire, with their masks on and the swords in their hands, fencing in the gym.","Two individuals, in full fencing attire, with their masks on and the swords in their hands, fencing in the gym.","Two individuals, dressed in full scaffolding, with their masks and swords in their hands, scaffolding in the gym.",0.0002952157228719443,0.002126586390659213,0.0002952157228719443,neutral,0.9497272968292236,contradiction,0.009770754724740982,-0.9399565421044827,TRUE_FLIP,False,[],"[{""group"":""space"",""original"":{""on"":1,""in"":3},""candidate"":{""in"":3},""field"":""premise""}]",0.1875,1.018018018018018,False,"[""semantic_drift"",""label_flip""]",,,,,,,,,
229,151152,229:hypothesis:fra_Latn,hypothesis,contradiction,Several men sit with their green nets in fishing boats.,The men are standing in the boats.,Several men sit with their green nets in fishing boats.,The men are in the boats.,The men are standing in the boats.,The men are in the boats.,0.9934495091438293,0.36061519384384155,0.36061519384384155,contradiction,0.9992468357086182,entailment,0.0011137762339785695,-0.9981330594746396,TRUE_FLIP,False,[],[],0.15254237288135597,0.7352941176470589,False,"[""semantic_drift"",""label_flip""]",,,,,,,,,
26,13833,26:premise:fra_Latn,premise,entailment,"A balding man in a dark suit and maroon tie, with a mustache and beard, plays bagpipes, as a young blond woman standing next to him in a light blue crop top and skirt listens and sticks her tongue out.",a balding man with facial hair wearing a dark suit and tie plays bagpipes as a young blonde woman stands next to him in a blue shirt and skirt sticking her tongue out.,"A white-headed man in a black suit and a brown tie, with a moustache and a beard, plays pipes, while a young blonde woman stands beside him in a light blue top and a skirt listens and",a balding man with facial hair wearing a dark suit and tie plays bagpipes as a young blonde woman stands next to him in a blue shirt and skirt sticking her tongue out.,"A balding man in a dark suit and maroon tie, with a mustache and beard, plays bagpipes, as a young blond woman standing next to him in a light blue crop top and skirt listens and sticks her tongue out.","A white-headed man in a black suit and a brown tie, with a moustache and a beard, plays pipes, while a young blonde woman stands beside him in a light blue top and a skirt listens and",0.9312997460365295,0.001005774480290711,0.001005774480290711,entailment,0.9894185662269592,neutral,0.08289541304111481,-0.9065231531858444,TRUE_FLIP,False,[],"[{""group"":""space"",""original"":{""in"":2},""candidate"":{""beside"":1,""in"":2},""field"":""premise""}]",0.21875,0.9104477611940298,False,"[""semantic_drift"",""label_flip""]",,,,,,,,,
565,374596,565:hypothesis:fra_Latn,hypothesis,neutral,A group of people sitting in white plastic chairs are having a picnic.,All arrived at the picnic on foot.,A group of people sitting in white plastic chairs are having a picnic.,Everyone walked to the picnic.,All arrived at the picnic on foot.,Everyone walked to the picnic.,0.9970443844795227,0.9960249662399292,0.9960249662399292,neutral,0.9979286193847656,contradiction,0.08286979049444199,-0.9150588288903236,TRUE_FLIP,False,[],"[{""group"":""quantifier"",""original"":{""all"":1},""candidate"":{},""field"":""hypothesis""},{""group"":""space"",""original"":{""on"":1},""candidate"":{},""field"":""hypothesis""}]",0.4375,0.8823529411764706,False,"[""label_flip""]",,,,,,,,,
754,513835,754:premise:fra_Latn,premise,contradiction,A man in a black hooded sweater stands behind a rich variety of fruits and vegetables.,A fruit salad on the rung from the cops.,A man in a black hoodie stands behind a rich variety of fruits and vegetables.,A fruit salad on the rung from the cops.,A man in a black hooded sweater stands behind a rich variety of fruits and vegetables.,A man in a black hoodie stands behind a rich variety of fruits and vegetables.,0.9851740002632141,0.9573166966438293,0.9573166966438293,contradiction,0.48422348499298096,neutral,0.3753882348537445,-0.10883525013923645,TRUE_FLIP,False,[],[],0.060975609756097615,0.9069767441860465,False,"[""label_flip""]",,,,,,,,,
