source_index,original_source_index,candidate_id,augmented_field,gold_label,original_premise,original_hypothesis,augmented_premise,augmented_hypothesis,original_sentence,back_translated_sentence,semantic_forward,semantic_backward,semantic_min,original_nli_predicted_label,original_nli_gold_probability,candidate_nli_predicted_label,candidate_nli_gold_probability,nli_gold_probability_delta,nli_transition,confidence_drop,hard_cue_changes,soft_cue_changes,change_ratio,length_ratio,accepted,reasons,review_categories,number_before_raw,number_after_raw,number_change_type,review_semantic_equivalent,review_label_preserved,review_useful_augmentation,review_verdict,review_notes
1,90,1:hypothesis:fra_Latn,hypothesis,contradiction,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",Nobody has food.,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",No one has food.,Nobody has food.,No one has food.,0.9970947504043579,0.9971195459365845,0.9970947504043579,contradiction,0.9988769888877869,contradiction,0.9993472695350647,0.00047028064727783203,STABLE_GOLD,False,"[{""group"":""negation"",""original"":{""nobody"":1},""candidate"":{""no"":1},""field"":""hypothesis""},{""group"":""number"",""original"":{},""candidate"":{""one"":1},""field"":""hypothesis""}]",[],0.1875,1.0,False,"[""hard_cue_changed""]",,{},"{""one"":1}",NUMBER_ADDED,,,,,
23,12969,23:hypothesis:fra_Latn,hypothesis,contradiction,"Two men walk in the park, one with a shaggy dog on a leash and a device for cleaning up canine droppings.",The dog isn't shaggy,"Two men walk in the park, one with a shaggy dog on a leash and a device for cleaning up canine droppings.",The dog's not sexy.,The dog isn't shaggy,The dog's not sexy.,0.022726181894540787,0.0067181834019720554,0.0067181834019720554,contradiction,0.9983012080192566,neutral,0.006090196315199137,-0.9922110117040575,TRUE_FLIP,False,"[{""group"":""negation"",""original"":{""n't"":1},""candidate"":{""not"":1},""field"":""hypothesis""}]",[],0.33333333333333337,0.95,False,"[""hard_cue_changed"",""semantic_drift"",""label_flip""]",,,,,,,,,
48,32673,48:hypothesis:fra_Latn,hypothesis,contradiction,A man sits in the floor slapping something while another woman watches and one stands in the kitchen talking.,Noone is watching the man.,A man sits in the floor slapping something while another woman watches and one stands in the kitchen talking.,No one's watching him.,Noone is watching the man.,No one's watching him.,0.9975220561027527,0.9966239929199219,0.9966239929199219,contradiction,0.9993467926979065,contradiction,0.9994598031044006,0.00011301040649414062,STABLE_GOLD,False,"[{""group"":""negation"",""original"":{},""candidate"":{""no"":1},""field"":""hypothesis""}]",[],0.20833333333333337,0.8461538461538461,False,"[""hard_cue_changed""]",,,,,,,,,
53,38101,53:hypothesis:fra_Latn,hypothesis,neutral,A girl running through uneven sand with some withered grass.,The girl is not wearing shoes.,A girl running through uneven sand with some withered grass.,The girl doesn't wear shoes.,The girl is not wearing shoes.,The girl doesn't wear shoes.,0.9978317618370056,0.9950405955314636,0.9950405955314636,neutral,0.9979598522186279,neutral,0.9986128807067871,0.0006530284881591797,STABLE_GOLD,False,"[{""group"":""negation"",""original"":{""not"":1},""candidate"":{""n't"":1},""field"":""hypothesis""}]",[],0.1724137931034483,0.9333333333333333,False,"[""hard_cue_changed""]",,,,,,,,,
68,48670,68:premise:fra_Latn,premise,entailment,Two children are sitting shirtless on a trampoline.,The children are outside.,Two kids sitting on a trampoline without a shirt.,The children are outside.,Two children are sitting shirtless on a trampoline.,Two kids sitting on a trampoline without a shirt.,0.9966893196105957,0.9968656897544861,0.9966893196105957,entailment,0.9531211256980896,entailment,0.9804713726043701,0.027350246906280518,STABLE_GOLD,False,"[{""group"":""negation"",""original"":{},""candidate"":{""without"":1},""field"":""premise""}]",[],0.38,0.9607843137254902,False,"[""hard_cue_changed""]",,,,,,,,,
141,89957,141:premise:fra_Latn,premise,entailment,Two men in sleeveless shirts and shorts getting a beverage.,two men are getting a drink,Two men in shirts with no sleeves and underwear having a drink.,two men are getting a drink,Two men in sleeveless shirts and shorts getting a beverage.,Two men in shirts with no sleeves and underwear having a drink.,0.7673213481903076,0.9730194807052612,0.7673213481903076,entailment,0.9965684413909912,entailment,0.9957232475280762,-0.0008451938629150391,STABLE_GOLD,False,"[{""group"":""negation"",""original"":{},""candidate"":{""no"":1},""field"":""premise""}]",[],0.4918032786885246,1.0677966101694916,False,"[""hard_cue_changed"",""semantic_drift""]",,,,,,,,,
436,295609,436:hypothesis:fra_Latn,hypothesis,contradiction,a beige dog running on the grass with a tennis ball in his mouth,Nobody is running,a beige dog running on the grass with a tennis ball in his mouth,No one 's running .,Nobody is running,No one 's running .,0.9956642985343933,0.9936521053314209,0.9936521053314209,contradiction,0.9993450045585632,contradiction,0.9948248863220215,-0.004520118236541748,STABLE_GOLD,False,"[{""group"":""negation"",""original"":{""nobody"":1},""candidate"":{""no"":1},""field"":""hypothesis""},{""group"":""number"",""original"":{},""candidate"":{""one"":1},""field"":""hypothesis""}]",[],0.2777777777777778,1.1176470588235294,False,"[""hard_cue_changed""]",,{},"{""one"":1}",NUMBER_ADDED,,,,,
673,458628,673:hypothesis:fra_Latn,hypothesis,contradiction,Two young girls one blond one brunette are puckering there lips and showing a peace sign with there fingers.,The girls have no fingers.,Two young girls one blond one brunette are puckering there lips and showing a peace sign with there fingers.,Girls don't have fingers.,The girls have no fingers.,Girls don't have fingers.,0.9971713423728943,0.9845578074455261,0.9845578074455261,contradiction,0.9996150732040405,contradiction,0.9995885491371155,-2.6524066925048828e-05,STABLE_GOLD,False,"[{""group"":""negation"",""original"":{""no"":1},""candidate"":{""n't"":1},""field"":""hypothesis""}]",[],0.2549019607843137,0.9615384615384616,False,"[""hard_cue_changed""]",,,,,,,,,
709,485598,709:premise:fra_Latn,premise,neutral,There are 2 shirtless boys jumping up from some water looking at a soccer ball.,Two boys are playing with a soccer ball in a pool.,There are two boys without a shirt jumping out of the water and looking at a football.,Two boys are playing with a soccer ball in a pool.,There are 2 shirtless boys jumping up from some water looking at a soccer ball.,There are two boys without a shirt jumping out of the water and looking at a football.,0.36919111013412476,0.902924656867981,0.36919111013412476,contradiction,0.253395140171051,contradiction,0.02597236819565296,-0.22742277197539806,VERIFIER_GOLD_DISAGREEMENT_STABLE,False,"[{""group"":""negation"",""original"":{},""candidate"":{""without"":1},""field"":""premise""},{""group"":""number"",""original"":{""2"":1},""candidate"":{""two"":1},""field"":""premise""}]","[{""group"":""quantifier"",""original"":{""some"":1},""candidate"":{},""field"":""premise""}]",0.32121212121212117,1.0886075949367089,False,"[""hard_cue_changed"",""semantic_drift"",""label_flip""]",,"{""2"":1}","{""two"":1}",LEXICAL_NORMALIZATION,,,,,
748,512053,748:hypothesis:fra_Latn,hypothesis,contradiction,"Man performing stunt, lady breaking block on his stomach with sludge hammer.",Nobody is performing.,"Man performing stunt, lady breaking block on his stomach with sludge hammer.",No one's playing.,Nobody is performing.,No one's playing.,0.9962934851646423,0.9958156943321228,0.9958156943321228,contradiction,0.9995456337928772,contradiction,0.9997307658195496,0.00018513202667236328,STABLE_GOLD,False,"[{""group"":""negation"",""original"":{""nobody"":1},""candidate"":{""no"":1},""field"":""hypothesis""}]",[],0.4736842105263158,0.8095238095238095,False,"[""hard_cue_changed""]",,,,,,,,,
764,520042,764:hypothesis:fra_Latn,hypothesis,contradiction,A Team USA player passing the ball to another player.,The people do not have a ball.,A Team USA player passing the ball to another player.,People don't have a ball.,The people do not have a ball.,People don't have a ball.,0.9963858127593994,0.9909985065460205,0.9909985065460205,contradiction,0.9994644522666931,contradiction,0.9993721842765808,-9.226799011230469e-05,STABLE_GOLD,False,"[{""group"":""negation"",""original"":{""not"":1},""candidate"":{""n't"":1},""field"":""hypothesis""}]",[],0.12727272727272732,0.8333333333333334,False,"[""hard_cue_changed""]",,,,,,,,,
