input_position,source_index,candidate_id,augmented_field,old_accepted,real_accepted,old_reasons,real_reasons,source_nli_status,semantic_min,candidate_nli_gold_probability,generation_truncated,decision_change,difference_category
0,21,21:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9952712655067444,0.995555579662323,False,MATCH,none
0,21,21:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9976881742477417,0.9938858151435852,False,MATCH,none
1,90,90:premise:fra_Latn,premise,False,True,"[""source_label_disagreement""]",[],RELIABLE_GOLD,0.9937716126441956,0.9983671307563782,False,REAL_NEWLY_ACCEPTED,source-gate difference
1,90,90:hypothesis:fra_Latn,hypothesis,False,True,"[""source_label_disagreement""]",[],RELIABLE_GOLD,0.9970947504043579,0.9993472695350647,False,REAL_NEWLY_ACCEPTED,source-gate difference
4,941,941:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.993462324142456,0.9987118244171143,False,MATCH,none
4,941,941:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9932776093482971,0.9990010857582092,False,MATCH,none
6,2194,2194:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9974109530448914,0.9988778233528137,False,MATCH,none
6,2194,2194:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.993664026260376,0.9989591836929321,False,MATCH,none
7,3208,3208:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9961495399475098,0.9822490215301514,False,MATCH,none
8,3931,3931:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9955717325210571,0.990672767162323,False,MATCH,none
8,3931,3931:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9955645799636841,0.9844326972961426,False,MATCH,none
9,4111,4111:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9921482801437378,0.9991587400436401,False,MATCH,none
9,4111,4111:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9915760159492493,0.9986774325370789,False,MATCH,none
10,4403,4403:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9796615839004517,0.989096999168396,False,MATCH,none
10,4403,4403:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9564880728721619,0.9702602028846741,False,MATCH,none
12,5321,5321:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9753323197364807,0.9962078332901001,False,MATCH,none
14,5560,5560:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9940946698188782,0.9955888986587524,False,MATCH,none
14,5560,5560:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9973689317703247,0.9986727237701416,False,MATCH,none
15,5704,5704:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9969237446784973,0.9906813502311707,False,MATCH,none
15,5704,5704:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9950972199440002,0.9957078695297241,False,MATCH,none
16,6279,6279:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9901705384254456,0.9950945377349854,False,MATCH,none
16,6279,6279:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9879569411277771,0.9935203194618225,False,MATCH,none
18,8269,8269:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9942838549613953,0.9910236597061157,False,MATCH,none
18,8269,8269:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9948099851608276,0.99335116147995,False,MATCH,none
20,9707,9707:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9870295524597168,0.9935508966445923,False,MATCH,none
21,10680,10680:premise:fra_Latn,premise,False,True,[],[],RELIABLE_GOLD,0.9540716409683228,0.9994245767593384,False,REAL_NEWLY_ACCEPTED,source-gate difference
21,10680,10680:hypothesis:fra_Latn,hypothesis,False,True,[],[],RELIABLE_GOLD,0.995875895023346,0.9995075464248657,False,REAL_NEWLY_ACCEPTED,source-gate difference
24,13229,13229:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9966766834259033,0.999494194984436,False,MATCH,none
24,13229,13229:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9966807961463928,0.9996335506439209,False,MATCH,none
25,13559,13559:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9894132018089294,0.9904975295066833,False,MATCH,none
25,13559,13559:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9970611929893494,0.9927611351013184,False,MATCH,none
27,14934,14934:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9830445051193237,0.996451735496521,False,MATCH,none
29,17575,17575:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9925656318664551,0.994096040725708,False,MATCH,none
34,19294,19294:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9925503730773926,0.9981221556663513,False,MATCH,none
34,19294,19294:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9912541508674622,0.9963966012001038,False,MATCH,none
35,19844,19844:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9938108325004578,0.9933235049247742,False,MATCH,none
37,26244,26244:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9678703546524048,0.9476723670959473,False,MATCH,none
38,27041,27041:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9964784979820251,0.9936000108718872,False,MATCH,none
39,27080,27080:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9251251220703125,0.9698268175125122,False,MATCH,none
40,28431,28431:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9943395256996155,0.9996035695075989,False,MATCH,none
40,28431,28431:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.980991542339325,0.9992276430130005,False,MATCH,none
41,28875,28875:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9945857524871826,0.999514102935791,False,MATCH,none
41,28875,28875:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.996364414691925,0.9995953440666199,False,MATCH,none
43,29415,29415:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9975304007530212,0.8651098608970642,False,MATCH,none
45,30056,30056:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9936698079109192,0.9966431856155396,False,MATCH,none
46,32175,32175:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9960088729858398,0.999428927898407,False,MATCH,none
46,32175,32175:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9971207976341248,0.9993636012077332,False,MATCH,none
47,32579,32579:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.993746280670166,0.9983035326004028,False,MATCH,none
48,32673,32673:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9966239929199219,0.9994598031044006,False,MATCH,none
49,34221,34221:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9931227564811707,0.9631985425949097,False,MATCH,none
