input_position,source_index,original_source_index,candidate_id,original_candidate_id,augmented_field,gold_label,original_premise,original_hypothesis,augmented_premise,augmented_hypothesis,original_sentence,back_translated_sentence,semantic_forward,semantic_backward,semantic_min,current_semantic_forward,current_semantic_backward,current_semantic_min,original_nli_predicted_label,original_nli_gold_probability,candidate_nli_predicted_label,candidate_nli_gold_probability,nli_gold_probability_delta,nli_transition,hard_cue_changes,soft_cue_changes,change_ratio,accepted,reasons,review_categories,review_semantic_equivalent,review_label_preserved,review_useful_augmentation,review_verdict,review_notes,secondary_sts_score,secondary_roberta_forward_entailment,secondary_roberta_backward_entailment,secondary_roberta_min_entailment,secondary_sts_large_score,secondary_bleurt_score,secondary_bart_forward_entailment,secondary_bart_backward_entailment,secondary_bart_min_entailment,expert_semantic_verdict,expert_useful_verdict,expert_notes,final_disagreement_reasons
364,251441,,251441:hypothesis:fra_Latn,,hypothesis,contradiction,,,,,A banna is nailed to the wall.,There's a banana nailed to the wall.,0.9968175888061523,0.9971311092376709,0.9968175888061523,0.9968175888061523,0.9971311092376709,0.9968175888061523,contradiction,0.9952608942985535,contradiction,0.990223228931427,,,[],[],0.18181818181818177,True,[],,,,,,,0.5558006167411804,0.614471435546875,0.7093197107315063,0.614471435546875,0.9625852704048157,-0.6687549352645874,,,,,,,sts_base_vs_large_disagreement|sts_base_below_0.85|bleurt_below_pass_p10
445,301270,,301270:hypothesis:fra_Latn,,hypothesis,entailment,,,,,The little girl is coloring on a white sheet.,The little girl paints on a white sheet.,0.9900699257850647,0.9924790859222412,0.9900699257850647,0.9900699257850647,0.9924790859222412,0.9900699257850647,entailment,0.9921446442604065,entailment,0.9971510767936707,,,[],[],0.15294117647058825,True,[],,,,,,,0.6178236603736877,0.9456209540367126,0.5624182224273682,0.5624182224273682,0.7667306065559387,0.19864478707313538,,,,,,,sts_base_vs_large_disagreement|sts_base_below_0.85|sts_large_below_0.85
301,207276,,207276:hypothesis:fra_Latn,,hypothesis,entailment,,,,,There is food in the dish.,There's food in the plate.,0.9836570620536804,0.995442271232605,0.9836570620536804,0.9836570620536804,0.995442271232605,0.9836570620536804,entailment,0.9787431359291077,entailment,0.95039302110672,,,[],[],0.23076923076923073,True,[],,,,,,,0.6381456255912781,0.9702529311180115,0.978377103805542,0.9702529311180115,0.8258653283119202,0.5311741828918457,,,,,,,sts_base_vs_large_disagreement|sts_base_below_0.85|sts_large_below_0.85
181,117651,,117651:hypothesis:fra_Latn,,hypothesis,entailment,,,,,A dog is pooping.,A dog does shit.,0.9926437735557556,0.96269690990448,0.96269690990448,0.9926437735557556,0.96269690990448,0.96269690990448,entailment,0.9940306544303894,entailment,0.9929770827293396,,,[],[],0.3939393939393939,True,[],,,,,,,0.6966562867164612,0.9932517409324646,0.97852623462677,0.97852623462677,0.7244896292686462,-0.6457722187042236,,,,,,,sts_base_below_0.85|sts_large_below_0.85|bleurt_below_pass_p10
400,277576,,277576:premise:fra_Latn,,premise,contradiction,,,,,A golfer wearing a striped red polo shirt and white pants watches his drive after swinging.,A golfer in a striped red polo and white pants looks at his car after swinging.,0.9948379397392273,0.9898780584335327,0.9898780584335327,0.9948379397392273,0.9898780584335327,0.9898780584335327,contradiction,0.9994262456893921,contradiction,0.9992571473121643,,,[],"[{""group"":""space"",""original"":{},""candidate"":{""in"":1},""field"":""premise""}]",0.16470588235294115,True,[],,,,,,,0.7429068684577942,0.7062471508979797,0.7219580411911011,0.7062471508979797,0.7731997966766357,0.631289005279541,,,,,,,sts_base_below_0.85|sts_large_below_0.85|known_risk_source
314,215221,,215221:premise:fra_Latn,,premise,neutral,,,,,A waveboarder skims through the surf at sunset.,A surfer crosses the wave at sunset.,0.995593249797821,0.9914189577102661,0.9914189577102661,0.995593249797821,0.9914189577102661,0.9914189577102661,neutral,0.9949972629547119,neutral,0.9941800832748413,,,[],"[{""group"":""space"",""original"":{""through"":1},""candidate"":{},""field"":""premise""}]",0.5903614457831325,True,[],,,,,,,0.7623723745346069,0.9630483984947205,0.7999269366264343,0.7999269366264343,0.8960965275764465,0.3403272032737732,,,,,,,sts_base_vs_large_disagreement|sts_base_below_0.85|known_risk_source
320,217803,,217803:premise:fra_Latn,,premise,entailment,,,,,Many people stand on an overpass looking over.,A lot of people stand on a bridge and watch.,0.9922266006469727,0.9866074323654175,0.9866074323654175,0.9922266006469727,0.9866074323654175,0.9866074323654175,entailment,0.9786309003829956,entailment,0.9831498265266418,,,[],"[{""group"":""quantifier"",""original"":{""many"":1},""candidate"":{},""field"":""premise""},{""group"":""space"",""original"":{""over"":1,""on"":1},""candidate"":{""on"":1},""field"":""premise""}]",0.48888888888888893,True,[],,,,,,,0.7696093320846558,0.984131395816803,0.9830458164215088,0.9830458164215088,0.6661557555198669,0.25706586241722107,,,,,,,sts_base_vs_large_disagreement|sts_base_below_0.85|sts_large_below_0.85
41,28875,,28875:premise:fra_Latn,,premise,contradiction,,,,,Boys in Africa are outside playing soccer and enjoying themselves.,African boys are out playing football and having fun.,0.9945857524871826,0.9966717958450317,0.9945857524871826,0.9945857524871826,0.9966717958450317,0.9945857524871826,contradiction,0.9995566010475159,contradiction,0.999514102935791,,,[],"[{""group"":""space"",""original"":{""outside"":1,""in"":1},""candidate"":{},""field"":""premise""}]",0.4285714285714286,True,[],,,,,,,0.7795453667640686,0.028881462290883064,0.12960878014564514,0.028881462290883064,0.6554422974586487,0.286056786775589,,,,,,,sts_base_vs_large_disagreement|sts_base_below_0.85|sts_large_below_0.85
225,148356,,148356:hypothesis:fra_Latn,,hypothesis,contradiction,,,,,A red-haired rides a go-cart.,There's a red one in a go-kart.,0.9921894073486328,0.9404593706130981,0.9404593706130981,0.9921894073486328,0.9404593706130981,0.9404593706130981,contradiction,0.9984992742538452,contradiction,0.9992294311523438,,,[],"[{""group"":""number"",""original"":{},""candidate"":{""1"":1},""field"":""hypothesis""},{""group"":""space"",""original"":{},""candidate"":{""in"":1},""field"":""hypothesis""}]",0.4666666666666667,True,[],,,,,,,0.8051077723503113,0.9883949756622314,0.9818136692047119,0.9818136692047119,0.7982110977172852,-0.7591378092765808,,,,,,,sts_base_below_0.85|sts_large_below_0.85|bleurt_below_pass_p10
48,32673,,32673:hypothesis:fra_Latn,,hypothesis,contradiction,,,,,Noone is watching the man.,No one's watching him.,0.9975220561027527,0.9966239929199219,0.9966239929199219,0.9975220561027527,0.9966239929199219,0.9966239929199219,contradiction,0.9993467926979065,contradiction,0.9994598031044006,,,[],"[{""group"":""negation"",""original"":{""nobody"":1},""candidate"":{""no"":1},""field"":""hypothesis""}]",0.20833333333333337,True,[],,,,,,,0.8283897638320923,0.9918696880340576,0.9915674328804016,0.9915674328804016,0.9408746361732483,-0.8902280926704407,,,,,,,sts_base_vs_large_disagreement|sts_base_below_0.85|bleurt_below_pass_p10
