source_index,original_source_index,candidate_id,augmented_field,gold_label,original_premise,original_hypothesis,augmented_premise,augmented_hypothesis,original_sentence,back_translated_sentence,semantic_forward,semantic_backward,semantic_min,original_nli_predicted_label,original_nli_gold_probability,candidate_nli_predicted_label,candidate_nli_gold_probability,nli_gold_probability_delta,nli_transition,confidence_drop,hard_cue_changes,soft_cue_changes,change_ratio,length_ratio,accepted,reasons,review_categories,number_before_raw,number_after_raw,number_change_type,review_semantic_equivalent,review_label_preserved,review_useful_augmentation,review_verdict,review_notes
171,109896,171:premise:fra_Latn,premise,neutral,"A young Asian man wearing a conical straw hat holding straw goods, and another person in the back to the left holding straw goods.",Two young Asian men are selling their wares at a market in China.,"A young Asian wearing a conical straw hat holding straw goods, and another person in the back on the left holding straw goods.",Two young Asian men are selling their wares at a market in China.,"A young Asian man wearing a conical straw hat holding straw goods, and another person in the back to the left holding straw goods.","A young Asian wearing a conical straw hat holding straw goods, and another person in the back on the left holding straw goods.",0.990884006023407,0.10102381557226181,0.10102381557226181,neutral,0.9976940751075745,neutral,0.9972310662269592,-0.0004630088806152344,STABLE_GOLD,False,[],"[{""group"":""space"",""original"":{""in"":1,""left"":1},""candidate"":{""on"":1,""in"":1,""left"":1},""field"":""premise""}]",0.0234375,0.9692307692307692,False,"[""trivial_copy"",""semantic_drift""]",,,,,,,,,
30,18456,30:premise:fra_Latn,premise,neutral,A person plays with a mega joule contraption consisting of wire tracks and colored balls.,The peson has a strange life with jouls and contraptions.,A person plays with a mega jug made up of traces of wire and colored bullets.,The peson has a strange life with jouls and contraptions.,A person plays with a mega joule contraption consisting of wire tracks and colored balls.,A person plays with a mega jug made up of traces of wire and colored bullets.,0.007596254348754883,0.6033747792243958,0.007596254348754883,neutral,0.9564386606216431,neutral,0.9554361701011658,-0.001002490520477295,STABLE_GOLD,False,[],[],0.24096385542168675,0.8651685393258427,False,"[""semantic_drift""]",,,,,,,,,
418,287124,418:premise:fra_Latn,premise,neutral,Two female rollerskaters competing.,The women are great skaters.,Two skaters competing.,The women are great skaters.,Two female rollerskaters competing.,Two skaters competing.,0.9962598085403442,0.0003776468802243471,0.0003776468802243471,neutral,0.9989724159240723,neutral,0.9989675283432007,-4.887580871582031e-06,STABLE_GOLD,False,[],[],0.22807017543859653,0.6285714285714286,False,"[""semantic_drift""]",,,,,,,,,
365,252089,365:premise:fra_Latn,premise,entailment,"A woman sitting at a desk labeled Programmes and Ice Cream, the stand appears to be out of ice cream.","A female is sitting at a table with two labels, and item described in one of the labels is not at the table.","A woman sitting at a desk labeled ""Programmes and Ice Cream"", the stand seems to be running out of ice.","A female is sitting at a table with two labels, and item described in one of the labels is not at the table.","A woman sitting at a desk labeled Programmes and Ice Cream, the stand appears to be out of ice cream.","A woman sitting at a desk labeled ""Programmes and Ice Cream"", the stand seems to be running out of ice.",0.007073413580656052,0.10910206288099289,0.007073413580656052,entailment,0.9895414710044861,entailment,0.9423853158950806,-0.04715615510940552,STABLE_GOLD,False,[],[],0.11764705882352944,1.0198019801980198,False,"[""semantic_drift""]",,,,,,,,,
326,223038,326:premise:fra_Latn,premise,neutral,A boy in a blue life jacket jumps into the water.,There is a boy jumping into the water to play.,A boy in a blue vest jumps into the water.,There is a boy jumping into the water to play.,A boy in a blue life jacket jumps into the water.,A boy in a blue vest jumps into the water.,0.3479253053665161,0.048541124910116196,0.048541124910116196,neutral,0.9921446442604065,neutral,0.9942084550857544,0.0020638108253479004,STABLE_GOLD,False,[],[],0.1208791208791209,0.8571428571428571,False,"[""semantic_drift""]",,,,,,,,,
204,136271,204:premise:fra_Latn,premise,contradiction,People riding motorbikes down the street.,People are rowing a boat on a river,People riding bicycles on the street.,People are rowing a boat on a river,People riding motorbikes down the street.,People riding bicycles on the street.,0.0010050480486825109,0.00023300055181607604,0.00023300055181607604,contradiction,0.999618649482727,contradiction,0.9995806813240051,-3.796815872192383e-05,STABLE_GOLD,False,[],"[{""group"":""space"",""original"":{},""candidate"":{""on"":1},""field"":""premise""}]",0.15384615384615385,0.9024390243902439,False,"[""semantic_drift""]",,,,,,,,,
161,104123,161:premise:fra_Latn,premise,contradiction,A gloved man palms forward in front of arranged clothes.,A man jumps forward in front of dogs.,A man with handcuffs palms in front of a row of clothes.,A man jumps forward in front of dogs.,A gloved man palms forward in front of arranged clothes.,A man with handcuffs palms in front of a row of clothes.,0.006967732682824135,0.1349162757396698,0.006967732682824135,contradiction,0.9959993362426758,contradiction,0.9980649352073669,0.002065598964691162,STABLE_GOLD,False,[],[],0.375,1.0,False,"[""semantic_drift""]",,,,,,,,,
133,83167,133:hypothesis:fra_Latn,hypothesis,contradiction,A man with long black hair wearing a black shirt and multi-color tie is using a electronic board with lights on it.,His hair is a different color than his shirt.,A man with long black hair wearing a black shirt and multi-color tie is using a electronic board with lights on it.,Her hair is a different color than her shirt.,His hair is a different color than his shirt.,Her hair is a different color than her shirt.,0.001380933914333582,0.0023670722730457783,0.001380933914333582,contradiction,0.6768379807472229,contradiction,0.9383025765419006,0.26146459579467773,STABLE_GOLD,False,[],[],0.0888888888888889,1.0,False,"[""semantic_drift""]",,,,,,,,,
660,450767,660:hypothesis:fra_Latn,hypothesis,contradiction,A young woman dances to the delight of a group of children.,A woman is holding 3 children.,A young woman dances to the delight of a group of children.,A woman has three children.,A woman is holding 3 children.,A woman has three children.,0.9453848600387573,0.02171463891863823,0.02171463891863823,neutral,0.04492338374257088,neutral,0.003009438281878829,-0.04191394546069205,VERIFIER_GOLD_DISAGREEMENT_STABLE,False,"[{""group"":""number"",""original"":{""3"":1},""candidate"":{""three"":1},""field"":""hypothesis""}]",[],0.26315789473684215,0.9,False,"[""hard_cue_changed"",""semantic_drift"",""label_flip""]",,"{""3"":1}","{""three"":1}",LEXICAL_NORMALIZATION,,,,,
47,32579,47:hypothesis:fra_Latn,hypothesis,neutral,"Two musicians are carrying speakers, guitars, and musical equipment.",The musicians are going to band practice.,"Two musicians are carrying speakers, guitars, and musical equipment.",The musicians are going to practice.,The musicians are going to band practice.,The musicians are going to practice.,0.9972842931747437,0.001451247837394476,0.001451247837394476,neutral,0.9976015686988831,neutral,0.9968186616897583,-0.0007829070091247559,STABLE_GOLD,False,[],[],0.06493506493506496,0.8780487804878049,False,"[""semantic_drift""]",,,,,,,,,
