source_index,candidate_id,augmented_field,pivot_lang,gold_label,original_premise,original_hypothesis,augmented_premise,augmented_hypothesis,original_sentence,back_translated_sentence,accepted,reasons,semantic_forward_entailment,semantic_backward_entailment,semantic_min,nli_predicted_label,nli_gold_probability,hard_cue_changes,soft_cue_changes,number_cues_before,number_cues_after,change_ratio,length_ratio,source_to_pivot_over_limit,source_to_pivot_truncated,pivot_to_source_over_limit,pivot_to_source_truncated,was_truncated,translation_model,translation_model_revision,verifier_model,verifier_model_revision,risk_score,human_semantic_equivalent,human_label_preserved,human_useful_augmentation,human_notes
154,154:premise:fra_Latn,premise,fra_Latn,neutral,"Runners, some in costume, in a St Paddy's day Marathon run in the streets as people watch.",The runners are almost finished with the St. Patrick's Day race.,"Runners, some dressed up, in a St. Paddy's marathon run through the streets as people watch.",The runners are almost finished with the St. Patrick's Day race.,"Runners, some in costume, in a St Paddy's day Marathon run in the streets as people watch.","Runners, some dressed up, in a St. Paddy's marathon run through the streets as people watch.",True,[],0.9941065311431885,0.8422937393188477,0.8422937393188477,1,0.9254449605941772,[],"[{""group"":""space"",""original"":{""in"":3},""candidate"":{""in"":1,""through"":1},""field"":""premise""}]",,,0.1648351648351648,1.0222222222222221,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.3322613,,,,
408,408:premise:fra_Latn,premise,fra_Latn,contradiction,Men are working on scaffolding outside of a building while other men watch.,Men are working indoors.,Some men are working on scaffolding in front of a building while others are watching.,Men are working indoors.,Men are working on scaffolding outside of a building while other men watch.,Some men are working on scaffolding in front of a building while others are watching.,True,[],0.9882823824882507,0.8928003907203674,0.8928003907203674,2,0.9993184804916382,[],"[{""group"":""quantifier"",""original"":{},""candidate"":{""some"":1},""field"":""premise""},{""group"":""space"",""original"":{""on"":1,""outside"":1},""candidate"":{""on"":1,""front"":1,""in"":1},""field"":""premise""}]",,,0.15000000000000002,1.1333333333333333,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.30788113,,,,
221,221:hypothesis:fra_Latn,hypothesis,fra_Latn,neutral,Several people walk by a rickshaw containing a sleeping cat.,People walking as a group in a tour,Several people walk by a rickshaw containing a sleeping cat.,People walk in groups on tour.,People walking as a group in a tour,People walk in groups on tour.,True,[],0.9960556030273438,0.9968529343605042,0.9960556030273438,1,0.8181596994400024,[],"[{""group"":""space"",""original"":{""in"":1},""candidate"":{""on"":1,""in"":1},""field"":""hypothesis""}]",,,0.19999999999999996,0.8571428571428571,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.2857847,,,,
268,268:premise:fra_Latn,premise,fra_Latn,neutral,A man is snowboarding over a structure on a snowy hill.,The snowboard has stripes.,A man is snowboarding on a structure on a snowy hill.,The snowboard has stripes.,A man is snowboarding over a structure on a snowy hill.,A man is snowboarding on a structure on a snowy hill.,True,[],0.9850395917892456,0.8205209970474243,0.8205209970474243,1,0.9991570711135864,[],"[{""group"":""space"",""original"":{""on"":1,""over"":1},""candidate"":{""on"":2},""field"":""premise""}]",,,0.03703703703703709,0.9636363636363636,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.28032193,,,,
164,164:premise:fra_Latn,premise,fra_Latn,neutral,Many people ride their bikes down a bike path in a city.,A group of bike riders racing.,A lot of people ride their bikes on a bike path in a city.,A group of bike riders racing.,Many people ride their bikes down a bike path in a city.,A lot of people ride their bikes on a bike path in a city.,True,[],0.9974910020828247,0.9930758476257324,0.9930758476257324,1,0.9388521313667297,[],"[{""group"":""quantifier"",""original"":{""many"":1},""candidate"":{},""field"":""premise""},{""group"":""space"",""original"":{""in"":1},""candidate"":{""on"":1,""in"":1},""field"":""premise""}]",,,0.10526315789473684,1.0357142857142858,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.26807202,,,,
84,84:premise:fra_Latn,premise,fra_Latn,entailment,A man dressed in all green with his face covered by a bandanna is working outdoors with heavy machinery.,A man with a bandanna is outside.,A man dressed in green clothes and covered in bandanas works outside with heavy machinery.,A man with a bandanna is outside.,A man dressed in all green with his face covered by a bandanna is working outdoors with heavy machinery.,A man dressed in green clothes and covered in bandanas works outside with heavy machinery.,True,[],0.9646048545837402,0.9633802175521851,0.9633802175521851,0,0.9876981377601624,[],"[{""group"":""quantifier"",""original"":{""all"":1},""candidate"":{},""field"":""premise""},{""group"":""space"",""original"":{""in"":1},""candidate"":{""in"":2,""outside"":1},""field"":""premise""}]",,,0.19587628865979378,0.8653846153846154,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.24892164,,,,
696,696:premise:fra_Latn,premise,fra_Latn,neutral,A guy snowboarding down a pole that is on top of a blue vehicle into the snow.,A man performs snowboard stunts in a scored event.,A guy who's snowboarding on a pole that's on a blue vehicle in the snow.,A man performs snowboard stunts in a scored event.,A guy snowboarding down a pole that is on top of a blue vehicle into the snow.,A guy who's snowboarding on a pole that's on a blue vehicle in the snow.,True,[],0.99379962682724,0.9225995540618896,0.9225995540618896,1,0.9310047626495361,[],"[{""group"":""space"",""original"":{""on"":1},""candidate"":{""on"":2,""in"":1},""field"":""premise""}]",,,0.1333333333333333,0.9230769230769231,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.24639568,,,,
754,754:hypothesis:fra_Latn,hypothesis,fra_Latn,contradiction,A man in a black hooded sweater stands behind a rich variety of fruits and vegetables.,A fruit salad on the rung from the cops.,A man in a black hooded sweater stands behind a rich variety of fruits and vegetables.,A fruit salad on the police stairs.,A fruit salad on the rung from the cops.,A fruit salad on the police stairs.,True,[],0.9477350115776062,0.9682194590568542,0.9477350115776062,2,0.8064451813697815,[],[],,,0.30666666666666664,0.875,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.24581981,,,,
300,300:premise:fra_Latn,premise,fra_Latn,neutral,There is a man with a red hat on his hand.,There is a sad man with a red hat on his hand.,There's a man with a red hat in his hand.,There is a sad man with a red hat on his hand.,There is a man with a red hat on his hand.,There's a man with a red hat in his hand.,True,[],0.9452794194221497,0.86262047290802,0.86262047290802,1,0.9984686970710754,[],"[{""group"":""space"",""original"":{""on"":1},""candidate"":{""in"":1},""field"":""premise""}]",,,0.06024096385542166,0.9761904761904762,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.23891083,,,,
236,236:premise:fra_Latn,premise,fra_Latn,entailment,A male is leaping above white water.,A male leaps.,A male jumps on white water.,A male leaps.,A male is leaping above white water.,A male jumps on white water.,True,[],0.9839247465133667,0.8681672811508179,0.8681672811508179,0,0.9943576455116272,[],"[{""group"":""space"",""original"":{},""candidate"":{""on"":1},""field"":""premise""}]",,,0.28125,0.7777777777777778,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.23747507,,,,
