source_index,candidate_id,augmented_field,pivot_lang,gold_label,original_premise,original_hypothesis,augmented_premise,augmented_hypothesis,original_sentence,back_translated_sentence,accepted,reasons,semantic_forward_entailment,semantic_backward_entailment,semantic_min,nli_predicted_label,nli_gold_probability,hard_cue_changes,soft_cue_changes,number_cues_before,number_cues_after,change_ratio,length_ratio,source_to_pivot_over_limit,source_to_pivot_truncated,pivot_to_source_over_limit,pivot_to_source_truncated,was_truncated,translation_model,translation_model_revision,verifier_model,verifier_model_revision,risk_score,human_semantic_equivalent,human_label_preserved,human_useful_augmentation,human_notes
149,149:hypothesis:fra_Latn,hypothesis,fra_Latn,entailment,An elderly middle-eastern woman is about to smoke a pack of cigarettes.,A woman is about to harm her body.,An elderly middle-eastern woman is about to smoke a pack of cigarettes.,A woman is about to hurt her own body.,A woman is about to harm her body.,A woman is about to hurt her own body.,False,"[""label_flip""]",0.9880897402763367,0.9965435862541199,0.9880897402763367,1,0.07115985453128815,[],[],,,0.11111111111111116,1.1176470588235294,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.94075041,,,,
23,23:hypothesis:fra_Latn,hypothesis,fra_Latn,contradiction,"Two men walk in the park, one with a shaggy dog on a leash and a device for cleaning up canine droppings.",The dog isn't shaggy,"Two men walk in the park, one with a shaggy dog on a leash and a device for cleaning up canine droppings.",The dog's not sexy.,The dog isn't shaggy,The dog's not sexy.,False,"[""hard_cue_changed"",""semantic_drift"",""label_flip""]",0.022726181894540787,0.0067181834019720554,0.0067181834019720554,1,0.006090196315199137,"[{""group"":""negation"",""original"":{""n't"":1},""candidate"":{""not"":1},""field"":""hypothesis""}]",[],,,0.33333333333333337,0.95,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,1.98719162,,,,
410,410:premise:fra_Latn,premise,fra_Latn,contradiction,"A young boy, dressed in a karate gee and wearing a yellow belt, stands ready to defend himself inside a gym.",A young boy is ready to defend himself from a flying spaghetti monster.,"A young boy, dressed in a karate suit and wearing a yellow belt, stands ready to defend himself inside a gym.",A young boy is ready to defend himself from a flying spaghetti monster.,"A young boy, dressed in a karate gee and wearing a yellow belt, stands ready to defend himself inside a gym.","A young boy, dressed in a karate suit and wearing a yellow belt, stands ready to defend himself inside a gym.",False,"[""label_flip""]",0.963702380657196,0.9563705325126648,0.9563705325126648,1,0.00959824863821268,[],[],,,0.032258064516129004,1.0092592592592593,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,1.03403122,,,,
378,378:premise:fra_Latn,premise,fra_Latn,entailment,A woman is walking by a building labeled Fisher's Popcorn.,A woman is walking by a popcorn stand,A woman walks through a building called Fisher's Popcorn.,A woman is walking by a popcorn stand,A woman is walking by a building labeled Fisher's Popcorn.,A woman walks through a building called Fisher's Popcorn.,False,"[""semantic_drift"",""label_flip""]",0.001408447977155447,0.147200345993042,0.001408447977155447,2,0.04688134044408798,[],"[{""group"":""space"",""original"":{},""candidate"":{""through"":1},""field"":""premise""}]",,,0.18260869565217386,0.9827586206896551,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,2.05171021,,,,
330,330:premise:fra_Latn,premise,fra_Latn,contradiction,Little girl holding a karate trophy.,A little girl is,A little girl holding a karate trophy.,A little girl is,Little girl holding a karate trophy.,A little girl holding a karate trophy.,False,"[""trivial_copy"",""label_flip""]",0.9944355487823486,0.9949837923049927,0.9944355487823486,0,0.0031353961676359177,[],[],,,0.027027027027026973,1.0555555555555556,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,1.00242906,,,,
183,183:hypothesis:fra_Latn,hypothesis,fra_Latn,contradiction,"A group of African boys of different ages tending to their cattle, with bushes in the background and small wagon in the center of the picture.",The boys are slopping the hogs.,"A group of African boys of different ages tending to their cattle, with bushes in the background and small wagon in the center of the picture.",The boys are doing some damage.,The boys are slopping the hogs.,The boys are doing some damage.,False,"[""semantic_drift"",""label_flip""]",0.9093137979507446,0.012981646694242954,0.012981646694242954,1,0.004248559940606356,[],"[{""group"":""quantifier"",""original"":{},""candidate"":{""some"":1},""field"":""hypothesis""}]",,,0.29032258064516125,1.0,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,2.08276979,,,,
138,138:hypothesis:fra_Latn,hypothesis,fra_Latn,entailment,"A man with a white hard hat with a black logo in the front of the hat holding part of a sign with numbers on it, while standing on a balcony.",The balcony is fully built.,"A man with a white hard hat with a black logo in the front of the hat holding part of a sign with numbers on it, while standing on a balcony.",The balcony is completely built.,The balcony is fully built.,The balcony is completely built.,False,"[""label_flip""]",0.9968286156654358,0.9970279335975647,0.9968286156654358,1,0.0016066888347268105,[],[],,,0.15254237288135597,1.1851851851851851,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,1.0015647,,,,
108,108:hypothesis:fra_Latn,hypothesis,fra_Latn,entailment,A person is doing a back flip while other people and cars go by in the background.,The person knows how to do a flip.,A person is doing a back flip while other people and cars go by in the background.,The person knows how to make a detour.,The person knows how to do a flip.,The person knows how to make a detour.,False,"[""semantic_drift"",""label_flip""]",0.3043976128101349,0.003254221985116601,0.003254221985116601,1,0.3910382390022278,[],[],,,0.2222222222222222,1.1176470588235294,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,1.60570754,,,,
654,654:premise:fra_Latn,premise,fra_Latn,neutral,There is a husband and wife outside of a small shop taking pictures of a baby camel.,The baby camel is inside of the shop.,There's a husband and wife outside a small shop taking pictures of a camel baby.,The baby camel is inside of the shop.,There is a husband and wife outside of a small shop taking pictures of a baby camel.,There's a husband and wife outside a small shop taking pictures of a camel baby.,False,"[""label_flip""]",0.993065595626831,0.9920502305030823,0.9920502305030823,2,0.0011273958953097463,[],[],,,0.09756097560975607,0.9523809523809523,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,1.00682237,,,,
28,28:premise:fra_Latn,premise,fra_Latn,neutral,A lot of motorcycles lined up in Asia.,The vehicles are parked.,A lot of motorcycles have parked in Asia.,The vehicles are parked.,A lot of motorcycles lined up in Asia.,A lot of motorcycles have parked in Asia.,False,"[""label_flip""]",0.9794517159461975,0.9800048470497131,0.9794517159461975,0,0.04760682210326195,[],[],,,0.189873417721519,1.0789473684210527,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.97294146,,,,
