audit_id,source_index,input_position,candidate_id,gold_label,augmented_field,semantic_forward,semantic_backward,semantic_min,candidate_nli_predicted_label,candidate_nli_gold_probability,source_nli_status,original_nli_gold_probability,change_ratio,hard_cue_changes,soft_cue_changes,secondary_sts_score,secondary_sts_large_score,secondary_bleurt_score,secondary_roberta_min_entailment,reasons,stratum_population_size
A0001,547621,795,547621:hypothesis:fra_Latn,entailment,hypothesis,0.9955347776412964,0.9970852732658386,0.9955347776412964,entailment,0.9892866015434265,RELIABLE_GOLD,0.9940324425697327,0.23404255319148937,[],[],0.9967136383056641,0.9646679759025574,0.6041018962860107,0.9910284876823425,[],154
A0002,512053,748,512053:hypothesis:fra_Latn,contradiction,hypothesis,0.9962934851646423,0.9958156943321228,0.9958156943321228,contradiction,0.9997307658195496,RELIABLE_GOLD,0.9995456337928772,0.4736842105263158,[],"[{""group"":""negation"",""original"":{""nobody"":1},""candidate"":{""no"":1},""field"":""hypothesis""}]",0.5978107452392578,0.513242781162262,0.3049830496311188,0.9814233183860779,[],129
A0003,347590,522,347590:hypothesis:fra_Latn,contradiction,hypothesis,0.9970961809158325,0.9939472675323486,0.9939472675323486,contradiction,0.9992684721946716,RELIABLE_GOLD,0.9992235898971558,0.05882352941176472,[],[],0.9967834949493408,0.9720808863639832,0.9349201321601868,0.9938169121742249,[],129
A0004,178078,266,178078:premise:fra_Latn,contradiction,premise,0.9975300431251526,0.9972448348999023,0.9972448348999023,contradiction,0.9990754127502441,RELIABLE_GOLD,0.999232292175293,0.1685393258426966,[],[],0.9254476428031921,0.9481878280639648,0.6125441789627075,0.9922139048576355,[],132
A0005,233782,346,233782:hypothesis:fra_Latn,contradiction,hypothesis,0.9985478520393372,0.9980437755584717,0.9980437755584717,contradiction,0.9995841383934021,RELIABLE_GOLD,0.9995765089988708,0.21126760563380287,[],[],0.9017396569252014,0.9617909789085388,0.7789936065673828,0.9907341003417969,[],129
A0006,126619,192,126619:hypothesis:fra_Latn,entailment,hypothesis,0.9960594177246094,0.9959639310836792,0.9959639310836792,entailment,0.9937113523483276,RELIABLE_GOLD,0.9909670948982239,0.24444444444444446,[],"[{""group"":""space"",""original"":{},""candidate"":{""in"":1},""field"":""hypothesis""}]",0.9780457019805908,0.9626262187957764,0.68096923828125,0.9921350479125977,[],154
A0007,204719,297,204719:hypothesis:fra_Latn,contradiction,hypothesis,0.9959398508071899,0.995609700679779,0.995609700679779,contradiction,0.9994074106216431,RELIABLE_GOLD,0.9994925260543823,0.045454545454545414,[],[],0.9960805773735046,0.9683615565299988,0.4960108995437622,0.9935209155082703,[],129
A0008,403976,603,403976:premise:fra_Latn,contradiction,premise,0.996148943901062,0.9968329071998596,0.996148943901062,contradiction,0.9997496008872986,RELIABLE_GOLD,0.9997472167015076,0.039215686274509776,[],"[{""group"":""space"",""original"":{""under"":1},""candidate"":{""under"":1,""in"":1},""field"":""premise""}]",0.9967585206031799,0.9690268635749817,0.9791767597198486,0.989032506942749,[],132
A0009,450897,661,450897:hypothesis:fra_Latn,contradiction,hypothesis,0.9977641105651855,0.9981822967529297,0.9977641105651855,contradiction,0.9989845156669617,RELIABLE_GOLD,0.9969047904014587,0.06329113924050633,[],[],0.9963797926902771,0.9707301259040833,0.8357915878295898,0.9925549626350403,[],129
A0010,169975,250,169975:premise:fra_Latn,neutral,premise,0.9931996464729309,0.9899052977561951,0.9899052977561951,neutral,0.9977734684944153,RELIABLE_GOLD,0.9970142841339111,0.10666666666666669,[],[],0.995016872882843,0.9044045209884644,0.835953414440155,0.9859390258789062,[],118
