input_position,source_index,premise,hypothesis
0,21,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A blond man getting a drink of water from a fountain in the park.
1,90,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",Nobody has food.
2,707,a motorcyclist does a nose wheelie.,A motorcyclist doing a wheelie
3,760,A soccer game played by a blue team and a red team on a perfectly manicured field at dusk.,People are playing soccer for a competition.
4,941,A woman talks to two other women and a man with notepads in an office building with large windows.,a man talks to ducks in a pond
5,2169,A woman is holding a bird while sitting in a flowering tree.,a woman puts her bird ina a tree
6,2194,Two people are planting small bushes near a grassy area.,Two people are planting bushes for charity.
7,3208,A boat captain steering a large green wheel.,A guy is at the green helm of a boat.
8,3931,Band playing in front of a small crowd outside.,There are thousands of people watching them perform.
9,4111,Tattooed man getting a tattoo.,A tattooed man is getting a tattoo of a Chinese character.
10,4403,A man in a unique costume is playing the bagpipes while some people stare at him.,A man in a unique costume is playing the bagpipes  for monetary gain.
11,4548,"Four musicians playing reed instruments with one playing a clarinet and three playing saxophones, being watched by a young child on a bicycle.",some musicians sleep
12,5321,"Two young adults at a rodeo, one is helping the other to fix an injury to his arm after a brief ride.",Two young adults are at a rodeo.
13,5450,A heavyset man is standing next to a building.,The man works in the building.
14,5560,A group of young students are hanging out together in a university.,Students sit together by the Student Union building.
15,5704,A blond singer is performing as people dance behind her.,Gwen Stefani sings while fans dance.
16,6279,"A man in sunglasses, a red striped sweater, and a leather jacket smiles and points his finger.",A black man in sunglasses and a leather jacket is smiling while pointing a finger
17,7321,A person picking garbanzo beans with her bear hands.,A person picks garbanzo beans with bear paws for hands.
18,8269,A dog running fast with ears flying.,The dog is running fast.
19,8435,A young boy sit alone in a wagon and holds on tightly to two cattle as they follow his mother's wagon down a dusty dirt road.,A boy and his mother are moving.
20,9707,A woman in a white jacket is standing next to an older woman while reviewing a subway map.,Two two women are going to take the subway into town.
21,10680,Two girls looking in microscopes.,the two girls are listening to music while in science class instead of doing their homework
22,11003,Two men in suits laugh together.,The two guys in suits are talking and smiling.
23,12969,"Two men walk in the park, one with a shaggy dog on a leash and a device for cleaning up canine droppings.",The dog isn't shaggy
24,13229,A woman wearing a black stands in front of a counter while she holds a piece of meat.,The woman is naked while holding a salad.
25,13559,"Two teams, one wearing blue and white, the other in red and white, are playing football.",There are people playing a game.
26,13833,"A balding man in a dark suit and maroon tie, with a mustache and beard, plays bagpipes, as a young blond woman standing next to him in a light blue crop top and skirt listens and sticks her tongue out.",a balding man with facial hair wearing a dark suit and tie plays bagpipes as a young blonde woman stands next to him in a blue shirt and skirt sticking her tongue out.
27,14934,Man riding a yellow machine on a dirt field at an event,a man is driving a piece of equipment on the grounds of a venue.
28,16601,A lot of motorcycles lined up in Asia.,The vehicles are parked.
29,17575,A football player lands on his head.,The football player damaged his neck.
30,18456,A person plays with a mega joule contraption consisting of wire tracks and colored balls.,The peson has a strange life with jouls and contraptions.
31,18505,A man in jeans is lying on a wooden floor.,A man and woman is holding hands.
32,18686,A girl in pink is holding onto a young boy wearing red.,A sister is holding onto her brother in all black.
33,18790,A squirrel jumps in the snow.,A squirrel is attacking a small child.
34,19294,A shirtless man with sunglasses looks at the camera during a beach party.,the man is a model
35,19844,A young blond boy looking at a white robot on a green table.,A young blond person looking at a white robot on a green table.
36,22740,A man wearing an orange vest is standing on the street with a bulldozer behind him.,Guy in front of a bulldozer.
37,26244,A boy in a swimsuit sitting on top of a circular fountain.,A funny person sitting
38,27041,A man wearing a flannel shirt picking oranges in a farmer's market.,The man is near some oranges.
39,27080,"A man wearing a gray hooded sweatshirt, blue jeans, and white and gray socks is putting his foot on top of his head.",A man moves his foot
40,28431,"A young man performs yoga, inspired by a beautiful day on the beach.",A karate battle in the woods
41,28875,Boys in Africa are outside playing soccer and enjoying themselves.,The kids play baseball.
42,29218,A man lying down with a maroon cloth over his eyes and someone standing over him wearing flip-flops.,The man is lying down.
