input_position,source_index,original_source_index,candidate_id,original_candidate_id,augmented_field,gold_label,original_premise,original_hypothesis,augmented_premise,augmented_hypothesis,original_sentence,back_translated_sentence,semantic_forward,semantic_backward,semantic_min,current_semantic_forward,current_semantic_backward,current_semantic_min,original_nli_predicted_label,original_nli_gold_probability,candidate_nli_predicted_label,candidate_nli_gold_probability,nli_gold_probability_delta,nli_transition,hard_cue_changes,soft_cue_changes,change_ratio,accepted,reasons,review_categories,review_semantic_equivalent,review_label_preserved,review_useful_augmentation,review_verdict,review_notes,secondary_sts_score,secondary_roberta_forward_entailment,secondary_roberta_backward_entailment,secondary_roberta_min_entailment,secondary_bart_forward_entailment,secondary_bart_backward_entailment,secondary_bart_min_entailment
729,499937,,499937:hypothesis:fra_Latn,,hypothesis,contradiction,,,,,The trumpeters are playing fiddles.,The trumpets play violins.,0.9897913932800293,0.9909977912902832,0.9897913932800293,,,,contradiction,0.9990154504776001,contradiction,0.9890896677970886,,,[],[],0.3114754098360656,True,[],,,,,,,0.4778638184070587,0.009784749709069729,0.017667163163423538,0.009784749709069729,,,
265,178067,,178067:premise:fra_Latn,,premise,entailment,,,,,A man with a red hat looking at something in a glass counter and starfish on top in a metal container.,A man in a red hat looking at something in a glass counter and sea stars up in a metal container.,0.9908041954040527,0.9903861284255981,0.9903861284255981,,,,entailment,0.9927378296852112,entailment,0.9930031895637512,,,[],"[{""group"":""space"",""original"":{""in"":2,""on"":1},""candidate"":{""in"":3},""field"":""premise""}]",0.085427135678392,True,[],,,,,,,0.7896513938903809,0.024981455877423286,0.03298318386077881,0.024981455877423286,,,
41,28875,,28875:premise:fra_Latn,,premise,contradiction,,,,,Boys in Africa are outside playing soccer and enjoying themselves.,African boys are out playing football and having fun.,0.9945857524871826,0.9966717958450317,0.9945857524871826,,,,contradiction,0.9995566010475159,contradiction,0.999514102935791,,,[],"[{""group"":""space"",""original"":{""outside"":1,""in"":1},""candidate"":{},""field"":""premise""}]",0.4285714285714286,True,[],,,,,,,0.7795453667640686,0.028881462290883064,0.12960878014564514,0.028881462290883064,,,
355,238582,,238582:hypothesis:fra_Latn,,hypothesis,neutral,,,,,He is wearing swim goggles.,He wears swimming glasses.,0.9919208288192749,0.9890852570533752,0.9890852570533752,,,,neutral,0.9994496703147888,neutral,0.9987026453018188,,,[],[],0.3207547169811321,True,[],,,,,,,0.9259651303291321,0.5490845441818237,0.0927901342511177,0.0927901342511177,,,
416,285462,,285462:premise:fra_Latn,,premise,contradiction,,,,,A person in a dark wetsuit is surfing.,A person in a black suit surfing.,0.984784722328186,0.9858232736587524,0.984784722328186,,,,contradiction,0.9990559220314026,contradiction,0.9990963935852051,,,[],[],0.15492957746478875,True,[],,,,,,,0.8721159100532532,0.8166790008544922,0.15961822867393494,0.15961822867393494,,,
289,197235,,197235:premise:fra_Latn,,premise,entailment,,,,,A man is fishing on an inlet in the ocean.,A man fishing on a bay in the ocean.,0.9743945002555847,0.9864971041679382,0.9743945002555847,,,,entailment,0.9972240924835205,entailment,0.9966287016868591,,,[],[],0.15384615384615385,True,[],,,,,,,0.9126413464546204,0.20688800513744354,0.7901731133460999,0.20688800513744354,,,
140,88539,,88539:premise:fra_Latn,,premise,neutral,,,,,A group of adults viewing a presentation in a school gymnasium.,A group of adults watching a presentation in a school gym.,0.9963627457618713,0.9948281645774841,0.9948281645774841,,,,neutral,0.9424294829368591,neutral,0.9253979921340942,,,[],[],0.1074380165289256,True,[],,,,,,,0.996087908744812,0.976581871509552,0.23202845454216003,0.23202845454216003,,,
216,142281,,142281:premise:fra_Latn,,premise,entailment,,,,,Men wearing black and white striped shirts and red scarves carry a shrine on their shoulders.,Men wearing black and white striped shirts and scarlet scarves were carrying a shrine on their shoulders.,0.9800553321838379,0.9897345304489136,0.9800553321838379,,,,entailment,0.9963710308074951,entailment,0.994147777557373,,,[],[],0.07070707070707072,True,[],,,,,,,0.8431555032730103,0.2740873396396637,0.5146816372871399,0.2740873396396637,,,
758,517858,,517858:premise:fra_Latn,,premise,entailment,,,,,Older female walking with cane next to flower wreaths.,An older female walks with a cane next to flower crowns.,0.9931578040122986,0.9706286787986755,0.9706286787986755,,,,entailment,0.9981517195701599,entailment,0.9977967739105225,,,[],[],0.1636363636363637,True,[],,,,,,,0.9476796388626099,0.2863321006298065,0.3356037437915802,0.2863321006298065,,,
571,377799,,377799:premise:fra_Latn,,premise,contradiction,,,,,Older gentleman putting a powdery substance in a swimming pool.,An older man puts a powdered substance in a pool.,0.9963585734367371,0.9746116399765015,0.9746116399765015,,,,contradiction,0.9964756369590759,contradiction,0.9984670281410217,,,[],[],0.2321428571428571,True,[],,,,,,,0.97084641456604,0.993003785610199,0.3213670551776886,0.3213670551776886,,,
