input_position,source_index,candidate_id,augmented_field,gold_label,source_nli_status,original_nli_predicted_label,original_nli_gold_probability,translation_performed,original_sentence,back_translated_sentence,semantic_forward,semantic_backward,semantic_min,candidate_nli_predicted_label,candidate_nli_gold_probability,generation_truncated,source_to_pivot_generation_truncated,pivot_to_source_generation_truncated,logical_cue_changes,hard_cue_changes,soft_cue_changes,change_ratio,accepted,reasons,translation_model,translation_model_revision,verifier_model,verifier_model_revision
0,21,21:premise:fra_Latn,premise,neutral,RELIABLE_GOLD,neutral,0.9951857924461365,True,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A man with blond hair and a brown shirt drinking from a public water fountain.,0.995466947555542,0.9952712655067444,0.9952712655067444,neutral,0.995555579662323,False,False,False,[],[],[],0.0691823899371069,True,[],facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
0,21,21:hypothesis:fra_Latn,hypothesis,neutral,RELIABLE_GOLD,neutral,0.9951857924461365,True,A blond man getting a drink of water from a fountain in the park.,Blonde man drinking water from a fountain in the park.,0.9981529116630554,0.9976881742477417,0.9976881742477417,neutral,0.9938858151435852,False,False,False,[],[],[],0.15966386554621848,True,[],facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
1,90,90:premise:fra_Latn,premise,contradiction,RELIABLE_GOLD,contradiction,0.9988769888877869,True,"A woman is walking across the street eating a banana, while a man is following with his briefcase.","A woman crosses the street eating a banana, while a man follows with his suitcase.",0.9955536723136902,0.9937716126441956,0.9937716126441956,contradiction,0.9983671307563782,False,False,False,[],[],[],0.15555555555555556,True,[],facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
1,90,90:hypothesis:fra_Latn,hypothesis,contradiction,RELIABLE_GOLD,contradiction,0.9988769888877869,True,Nobody has food.,No one has food.,0.9970947504043579,0.9971195459365845,0.9970947504043579,contradiction,0.9993472695350647,False,False,False,[],[],[],0.1875,True,[],facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
4,941,941:premise:fra_Latn,premise,contradiction,RELIABLE_GOLD,contradiction,0.9978331923484802,True,A woman talks to two other women and a man with notepads in an office building with large windows.,A woman is talking to two other women and a man with notebooks in an office building with large windows.,0.9940477609634399,0.993462324142456,0.993462324142456,contradiction,0.9987118244171143,False,False,False,[],[],[],0.06930693069306926,True,[],facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
4,941,941:hypothesis:fra_Latn,hypothesis,contradiction,RELIABLE_GOLD,contradiction,0.9978331923484802,True,a man talks to ducks in a pond,A man is talking to ducks in a pond,0.9932776093482971,0.9962608218193054,0.9932776093482971,contradiction,0.9990010857582092,False,False,False,[],[],[],0.10769230769230764,True,[],facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
6,2194,2194:premise:fra_Latn,premise,neutral,RELIABLE_GOLD,neutral,0.9989271759986877,True,Two people are planting small bushes near a grassy area.,Two people are planting little bushes near a grassy area.,0.9979504942893982,0.9974109530448914,0.9974109530448914,neutral,0.9988778233528137,False,False,False,[],[],[],0.06194690265486724,True,[],facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
6,2194,2194:hypothesis:fra_Latn,hypothesis,neutral,RELIABLE_GOLD,neutral,0.9989271759986877,True,Two people are planting bushes for charity.,Two people planting bushes for charity.,0.9966105818748474,0.993664026260376,0.993664026260376,neutral,0.9989591836929321,False,False,False,[],[],[],0.04878048780487809,True,[],facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
7,3208,3208:premise:fra_Latn,premise,entailment,RELIABLE_GOLD,entailment,0.9686083197593689,True,A boat captain steering a large green wheel.,A ship captain driving a big green wheel.,0.9961495399475098,0.997067391872406,0.9961495399475098,entailment,0.9822490215301514,False,False,False,[],[],[],0.24705882352941178,True,[],facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
8,3931,3931:premise:fra_Latn,premise,contradiction,RELIABLE_GOLD,contradiction,0.9816632270812988,True,Band playing in front of a small crowd outside.,The band plays in front of a small crowd outside.,0.9955717325210571,0.9971604347229004,0.9955717325210571,contradiction,0.990672767162323,False,False,False,[],[],[],0.08333333333333337,True,[],facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
8,3931,3931:hypothesis:fra_Latn,hypothesis,contradiction,RELIABLE_GOLD,contradiction,0.9816632270812988,True,There are thousands of people watching them perform.,Thousands of people watch them play.,0.9955645799636841,0.9959243535995483,0.9955645799636841,contradiction,0.9844326972961426,False,False,False,[],[],[],0.25,True,[],facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
9,4111,4111:premise:fra_Latn,premise,neutral,RELIABLE_GOLD,neutral,0.9993659853935242,True,Tattooed man getting a tattoo.,A man with a tattoo gets a tattoo.,0.997239351272583,0.9921482801437378,0.9921482801437378,neutral,0.9991587400436401,False,False,False,[],[],[],0.375,True,[],facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
9,4111,4111:hypothesis:fra_Latn,hypothesis,neutral,RELIABLE_GOLD,neutral,0.9993659853935242,True,A tattooed man is getting a tattoo of a Chinese character.,A tattooed man gets a Chinese character tattooed.,0.9970977306365967,0.9915760159492493,0.9915760159492493,neutral,0.9986774325370789,False,False,False,[],[],[],0.2710280373831776,True,[],facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
10,4403,4403:premise:fra_Latn,premise,neutral,RELIABLE_GOLD,neutral,0.9945354461669922,True,A man in a unique costume is playing the bagpipes while some people stare at him.,A man in a unique suit plays a pipe while people watch him.,0.9796615839004517,0.9840208888053894,0.9796615839004517,neutral,0.989096999168396,False,False,False,"[{""group"":""quantifier"",""original"":{""some"":1},""candidate"":{},""field"":""premise""}]",[],"[{""group"":""quantifier"",""original"":{""some"":1},""candidate"":{},""field"":""premise""}]",0.2571428571428571,True,[],facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
10,4403,4403:hypothesis:fra_Latn,hypothesis,neutral,RELIABLE_GOLD,neutral,0.9945354461669922,True,A man in a unique costume is playing the bagpipes  for monetary gain.,A man in a unique suit plays the bagpipes to make money.,0.9564880728721619,0.9799052476882935,0.9564880728721619,neutral,0.9702602028846741,False,False,False,[],[],[],0.24193548387096775,True,[],facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
12,5321,5321:hypothesis:fra_Latn,hypothesis,entailment,RELIABLE_GOLD,entailment,0.9977225661277771,True,Two young adults are at a rodeo.,Two young adults are in a rodeo.,0.9753323197364807,0.9936805963516235,0.9753323197364807,entailment,0.9962078332901001,False,False,False,"[{""group"":""space"",""original"":{},""candidate"":{""in"":1},""field"":""hypothesis""}]",[],"[{""group"":""space"",""original"":{},""candidate"":{""in"":1},""field"":""hypothesis""}]",0.0625,True,[],facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
14,5560,5560:premise:fra_Latn,premise,neutral,RELIABLE_GOLD,neutral,0.9966065883636475,True,A group of young students are hanging out together in a university.,A group of young students hanging out together at a university.,0.9953858256340027,0.9940946698188782,0.9940946698188782,neutral,0.9955888986587524,False,False,False,"[{""group"":""space"",""original"":{""in"":1},""candidate"":{},""field"":""premise""}]",[],"[{""group"":""space"",""original"":{""in"":1},""candidate"":{},""field"":""premise""}]",0.06153846153846154,True,[],facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
14,5560,5560:hypothesis:fra_Latn,hypothesis,neutral,RELIABLE_GOLD,neutral,0.9966065883636475,True,Students sit together by the Student Union building.,The students are sitting together near the Student Union building.,0.9978126287460327,0.9973689317703247,0.9973689317703247,neutral,0.9986727237701416,False,False,False,"[{""group"":""space"",""original"":{},""candidate"":{""near"":1},""field"":""hypothesis""}]",[],"[{""group"":""space"",""original"":{},""candidate"":{""near"":1},""field"":""hypothesis""}]",0.15254237288135597,True,[],facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
15,5704,5704:premise:fra_Latn,premise,neutral,RELIABLE_GOLD,neutral,0.9921020865440369,True,A blond singer is performing as people dance behind her.,A blonde singer performs as people dance behind her.,0.9974015951156616,0.9969237446784973,0.9969237446784973,neutral,0.9906813502311707,False,False,False,[],[],[],0.07407407407407407,True,[],facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
15,5704,5704:hypothesis:fra_Latn,hypothesis,neutral,RELIABLE_GOLD,neutral,0.9921020865440369,True,Gwen Stefani sings while fans dance.,Gwen Stefani sings while the fans dance.,0.9950972199440002,0.9968830943107605,0.9950972199440002,neutral,0.9957078695297241,False,False,False,[],[],[],0.052631578947368474,True,[],facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
16,6279,6279:premise:fra_Latn,premise,neutral,RELIABLE_GOLD,neutral,0.995549201965332,True,"A man in sunglasses, a red striped sweater, and a leather jacket smiles and points his finger.","A man with sunglasses, a striped red sweater and a leather jacket smiles and points his finger.",0.9901705384254456,0.9924111366271973,0.9901705384254456,neutral,0.9950945377349854,False,False,False,"[{""group"":""space"",""original"":{""in"":1},""candidate"":{},""field"":""premise""}]",[],"[{""group"":""space"",""original"":{""in"":1},""candidate"":{},""field"":""premise""}]",0.06878306878306883,True,[],facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
16,6279,6279:hypothesis:fra_Latn,hypothesis,neutral,RELIABLE_GOLD,neutral,0.995549201965332,True,A black man in sunglasses and a leather jacket is smiling while pointing a finger,A black man with sunglasses and a leather jacket smiles pointing a finger.,0.9879569411277771,0.9907644987106323,0.9879569411277771,neutral,0.9935203194618225,False,False,False,"[{""group"":""space"",""original"":{""in"":1},""candidate"":{},""field"":""hypothesis""}]",[],"[{""group"":""space"",""original"":{""in"":1},""candidate"":{},""field"":""hypothesis""}]",0.10967741935483866,True,[],facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
18,8269,8269:premise:fra_Latn,premise,entailment,RELIABLE_GOLD,entailment,0.9953662157058716,True,A dog running fast with ears flying.,A dog that runs fast with flying ears.,0.9957169890403748,0.9942838549613953,0.9942838549613953,entailment,0.9910236597061157,False,False,False,[],[],[],0.2702702702702703,True,[],facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
18,8269,8269:hypothesis:fra_Latn,hypothesis,entailment,RELIABLE_GOLD,entailment,0.9953662157058716,True,The dog is running fast.,The dog runs fast.,0.9975548386573792,0.9948099851608276,0.9948099851608276,entailment,0.99335116147995,False,False,False,[],[],[],0.19047619047619047,True,[],facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
20,9707,9707:premise:fra_Latn,premise,neutral,RELIABLE_GOLD,neutral,0.9943884015083313,True,A woman in a white jacket is standing next to an older woman while reviewing a subway map.,A woman in a white jacket is standing next to an elderly woman looking at a map of the subway.,0.9870295524597168,0.9974886178970337,0.9870295524597168,neutral,0.9935508966445923,False,False,False,[],[],[],0.19565217391304346,True,[],facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
