source_index,original_source_index,candidate_id,augmented_field,gold_label,original_premise,original_hypothesis,augmented_premise,augmented_hypothesis,original_sentence,back_translated_sentence,semantic_forward,semantic_backward,semantic_min,original_nli_predicted_label,original_nli_gold_probability,candidate_nli_predicted_label,candidate_nli_gold_probability,nli_gold_probability_delta,nli_transition,confidence_drop,hard_cue_changes,soft_cue_changes,change_ratio,length_ratio,accepted,reasons,review_categories,number_before_raw,number_after_raw,number_change_type,review_semantic_equivalent,review_label_preserved,review_useful_augmentation,review_verdict,review_notes
754,513835,754:hypothesis:fra_Latn,hypothesis,contradiction,A man in a black hooded sweater stands behind a rich variety of fruits and vegetables.,A fruit salad on the rung from the cops.,A man in a black hooded sweater stands behind a rich variety of fruits and vegetables.,A fruit salad on the police stairs.,A fruit salad on the rung from the cops.,A fruit salad on the police stairs.,0.9477350115776062,0.9682194590568542,0.9477350115776062,contradiction,0.48422348499298096,contradiction,0.8064451813697815,0.32222169637680054,STABLE_GOLD,False,[],[],0.30666666666666664,0.875,True,[],,,,,,,,,
602,403554,602:hypothesis:fra_Latn,hypothesis,neutral,A man in checkered pants rides a unicycle down the street while juggling for a crowd.,A man in clown make-up performs stunts for a crowd.,A man in checkered pants rides a unicycle down the street while juggling for a crowd.,A man in clown make-up makes stunts for a crowd.,A man in clown make-up performs stunts for a crowd.,A man in clown make-up makes stunts for a crowd.,0.9969485402107239,0.9883297681808472,0.9883297681808472,neutral,0.9148843288421631,neutral,0.8087426424026489,-0.10614168643951416,STABLE_GOLD,False,[],[],0.09090909090909094,0.9411764705882353,True,[],,,,,,,,,
52,38085,52:hypothesis:fra_Latn,hypothesis,neutral,"Two young girls are playing on swings, and one is holding the other girls swing ""still.""",A girl is telling her friend it is her turn to swing.,"Two young girls are playing on swings, and one is holding the other girls swing ""still.""",A girl tells her friend it's her turn to swing.,A girl is telling her friend it is her turn to swing.,A girl tells her friend it's her turn to swing.,0.9971810579299927,0.9958284497261047,0.9958284497261047,contradiction,0.4574742615222931,neutral,0.8137177228927612,0.35624346137046814,RECOVERED_TO_GOLD,False,[],[],0.09999999999999998,0.8867924528301887,True,[],,,,,,,,,
160,103393,160:hypothesis:fra_Latn,hypothesis,neutral,Three children look through a telescope in the forest.,Children are looking at the stars.,Three children look through a telescope in the forest.,The kids are looking at the stars.,Children are looking at the stars.,The kids are looking at the stars.,0.995561957359314,0.9965581297874451,0.995561957359314,entailment,0.1866908222436905,neutral,0.8153704404830933,0.6286796182394028,RECOVERED_TO_GOLD,False,[],[],0.1470588235294118,1.0,True,[],,,,,,,,,
559,371632,559:hypothesis:fra_Latn,hypothesis,entailment,A group of five people have picture taken while jumping in the air.,The people jump in the air when the picture is taken.,A group of five people have picture taken while jumping in the air.,People jump in the air when the photo is taken.,The people jump in the air when the picture is taken.,People jump in the air when the photo is taken.,0.9908002018928528,0.9870651960372925,0.9870651960372925,entailment,0.6213229298591614,entailment,0.8156472444534302,0.1943243145942688,STABLE_GOLD,False,[],[],0.12,0.8867924528301887,True,[],,,,,,,,,
221,146160,221:hypothesis:fra_Latn,hypothesis,neutral,Several people walk by a rickshaw containing a sleeping cat.,People walking as a group in a tour,Several people walk by a rickshaw containing a sleeping cat.,People walk in groups on tour.,People walking as a group in a tour,People walk in groups on tour.,0.9960556030273438,0.9968529343605042,0.9960556030273438,neutral,0.8836509585380554,neutral,0.8181596994400024,-0.06549125909805298,STABLE_GOLD,False,[],"[{""group"":""space"",""original"":{""in"":1},""candidate"":{""on"":1,""in"":1},""field"":""hypothesis""}]",0.19999999999999996,0.8571428571428571,True,[],,,,,,,,,
209,138332,209:premise:fra_Latn,premise,neutral,Two young boys wearing collared shirts and baseball caps have their blue-tinted tongues stuck out.,A couple of young baseball players at a park.,Two young boys wearing collared shirts and baseball caps have deep blue tongues.,A couple of young baseball players at a park.,Two young boys wearing collared shirts and baseball caps have their blue-tinted tongues stuck out.,Two young boys wearing collared shirts and baseball caps have deep blue tongues.,0.8197505474090576,0.8764408230781555,0.8197505474090576,neutral,0.9789368510246277,neutral,0.9845108985900879,0.005574047565460205,STABLE_GOLD,False,[],[],0.1348314606741573,0.8163265306122449,True,[],,,,,,,,,
268,182297,268:premise:fra_Latn,premise,neutral,A man is snowboarding over a structure on a snowy hill.,The snowboard has stripes.,A man is snowboarding on a structure on a snowy hill.,The snowboard has stripes.,A man is snowboarding over a structure on a snowy hill.,A man is snowboarding on a structure on a snowy hill.,0.9850395917892456,0.8205209970474243,0.8205209970474243,neutral,0.999229907989502,neutral,0.9991570711135864,-7.283687591552734e-05,STABLE_GOLD,False,[],"[{""group"":""space"",""original"":{""on"":1,""over"":1},""candidate"":{""on"":2},""field"":""premise""}]",0.03703703703703709,0.9636363636363636,True,[],,,,,,,,,
154,99704,154:hypothesis:fra_Latn,hypothesis,neutral,"Runners, some in costume, in a St Paddy's day Marathon run in the streets as people watch.",The runners are almost finished with the St. Patrick's Day race.,"Runners, some in costume, in a St Paddy's day Marathon run in the streets as people watch.",The runners almost finished the St. Patrick's race.,The runners are almost finished with the St. Patrick's Day race.,The runners almost finished the St. Patrick's race.,0.9957921504974365,0.8287786245346069,0.8287786245346069,neutral,0.9780031442642212,neutral,0.9966700673103333,0.01866692304611206,STABLE_GOLD,False,[],[],0.11304347826086958,0.796875,True,[],,,,,,,,,
73,50615,73:hypothesis:fra_Latn,hypothesis,contradiction,A ballet dancer poses at a photo shoot.,A football player taking a hit,A ballet dancer poses at a photo shoot.,A soccer player takes a hit,A football player taking a hit,A soccer player takes a hit,0.9802457690238953,0.834844172000885,0.834844172000885,contradiction,0.9993504881858826,contradiction,0.9992272853851318,-0.00012320280075073242,STABLE_GOLD,False,[],[],0.29824561403508776,0.9,True,[],,,,,,,,,
