source_index,candidate_id,augmented_field,pivot_lang,gold_label,original_premise,original_hypothesis,augmented_premise,augmented_hypothesis,original_sentence,back_translated_sentence,accepted,reasons,semantic_forward_entailment,semantic_backward_entailment,semantic_min,nli_predicted_label,nli_gold_probability,hard_cue_changes,soft_cue_changes,number_cues_before,number_cues_after,change_ratio,length_ratio,source_to_pivot_over_limit,source_to_pivot_truncated,pivot_to_source_over_limit,pivot_to_source_truncated,was_truncated,translation_model,translation_model_revision,verifier_model,verifier_model_revision,risk_score,human_semantic_equivalent,human_label_preserved,human_useful_augmentation,human_notes,original_nli_predicted_label,original_nli_gold_probability,original_entailment_probability,original_neutral_probability,original_contradiction_probability,candidate_nli_predicted_label,candidate_nli_gold_probability,original_matches_gold,candidate_matches_gold,nli_transition,nli_gold_probability_delta,confidence_drop,large_confidence_drop,large_confidence_increase,original_source_index
0,0:hypothesis:fra_Latn,hypothesis,fra_Latn,neutral,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A blond man getting a drink of water from a fountain in the park.,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",Blonde man drinking water from a fountain in the park.,A blond man getting a drink of water from a fountain in the park.,Blonde man drinking water from a fountain in the park.,True,[],0.9981529116630554,0.9976881742477417,0.9976881742477417,1,0.9938858151435852,[],[],,,0.15966386554621848,0.8307692307692308,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.00842601,,,,,neutral,0.9951857924461365,0.004551888443529606,0.9951857924461365,0.0002622702741064131,neutral,0.9938858151435852,True,True,STABLE_GOLD,-0.0012999773025512695,False,False,False,21
0,0:premise:fra_Latn,premise,fra_Latn,neutral,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A blond man getting a drink of water from a fountain in the park.,A man with blond hair and a brown shirt drinking from a public water fountain.,A blond man getting a drink of water from a fountain in the park.,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A man with blond hair and a brown shirt drinking from a public water fountain.,True,[],0.995466947555542,0.9952712655067444,0.9952712655067444,1,0.995555579662323,[],[],,,0.0691823899371069,0.9629629629629629,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.00917315,,,,,neutral,0.9951857924461365,0.004551888443529606,0.9951857924461365,0.0002622702741064131,neutral,0.995555579662323,True,True,STABLE_GOLD,0.00036978721618652344,False,False,False,21
1,1:hypothesis:fra_Latn,hypothesis,fra_Latn,contradiction,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",Nobody has food.,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",No one has food.,Nobody has food.,No one has food.,False,"[""hard_cue_changed""]",0.9970947504043579,0.9971195459365845,0.9970947504043579,2,0.9993472695350647,"[{""group"":""negation"",""original"":{""nobody"":1},""candidate"":{""no"":1},""field"":""hypothesis""},{""group"":""number"",""original"":{},""candidate"":{""one"":1},""field"":""hypothesis""}]",[],{},"{""one"":1}",0.1875,1.0,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.00355798,,,,,contradiction,0.9988769888877869,0.00023550327750854194,0.0008875180501490831,0.9988769888877869,contradiction,0.9993472695350647,True,True,STABLE_GOLD,0.00047028064727783203,False,False,False,90
1,1:premise:fra_Latn,premise,fra_Latn,contradiction,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",Nobody has food.,"A woman crosses the street eating a banana, while a man follows with his suitcase.",Nobody has food.,"A woman is walking across the street eating a banana, while a man is following with his briefcase.","A woman crosses the street eating a banana, while a man follows with his suitcase.",True,[],0.9955536723136902,0.9937716126441956,0.9937716126441956,2,0.9983671307563782,[],[],,,0.15555555555555556,0.8367346938775511,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.00786126,,,,,contradiction,0.9988769888877869,0.00023550327750854194,0.0008875180501490831,0.9988769888877869,contradiction,0.9983671307563782,True,True,STABLE_GOLD,-0.0005098581314086914,False,False,False,90
2,2:hypothesis:fra_Latn,hypothesis,fra_Latn,entailment,a motorcyclist does a nose wheelie.,A motorcyclist doing a wheelie,a motorcyclist does a nose wheelie.,A motorcyclist making a wheel,A motorcyclist doing a wheelie,A motorcyclist making a wheel,False,"[""semantic_drift""]",0.9826411604881287,0.1023419201374054,0.1023419201374054,0,0.9366301894187927,[],[],,,0.11864406779661019,0.9666666666666667,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.96102789,,,,,entailment,0.993026852607727,0.993026852607727,0.005777290556579828,0.001195860793814063,entailment,0.9366301894187927,True,True,STABLE_GOLD,-0.056396663188934326,False,False,False,707
2,2:premise:fra_Latn,premise,fra_Latn,entailment,a motorcyclist does a nose wheelie.,A motorcyclist doing a wheelie,A motorcyclist makes a nose roll.,A motorcyclist doing a wheelie,a motorcyclist does a nose wheelie.,A motorcyclist makes a nose roll.,False,"[""semantic_drift"",""label_flip""]",0.8517272472381592,0.697882354259491,0.697882354259491,1,0.06052945554256439,[],[],,,0.20588235294117652,0.9428571428571428,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,1.24158819,,,,,entailment,0.993026852607727,0.993026852607727,0.005777290556579828,0.001195860793814063,neutral,0.06052945554256439,True,False,TRUE_FLIP,-0.9324973970651627,False,True,False,707
3,3:hypothesis:fra_Latn,hypothesis,fra_Latn,neutral,A soccer game played by a blue team and a red team on a perfectly manicured field at dusk.,People are playing soccer for a competition.,A soccer game played by a blue team and a red team on a perfectly manicured field at dusk.,People play football for a competition.,People are playing soccer for a competition.,People play football for a competition.,False,"[""semantic_drift"",""label_flip""]",0.11255697160959244,0.8818953633308411,0.11255697160959244,0,0.05056066811084747,[],[],,,0.22891566265060237,0.8863636363636364,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,1.83688236,,,,,neutral,0.5028151869773865,0.4942902624607086,0.5028151869773865,0.002894597128033638,entailment,0.05056066811084747,True,False,TRUE_FLIP,-0.452254518866539,False,True,False,760
3,3:premise:fra_Latn,premise,fra_Latn,neutral,A soccer game played by a blue team and a red team on a perfectly manicured field at dusk.,People are playing soccer for a competition.,A football game played by a blue team and a red team on a perfectly tidy field at dusk.,People are playing soccer for a competition.,A soccer game played by a blue team and a red team on a perfectly manicured field at dusk.,A football game played by a blue team and a red team on a perfectly tidy field at dusk.,False,"[""label_flip""]",0.9048389196395874,0.9821614027023315,0.9048389196395874,0,0.15461501479148865,[],[],,,0.11864406779661019,0.9666666666666667,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.94054607,,,,,neutral,0.5028151869773865,0.4942902624607086,0.5028151869773865,0.002894597128033638,entailment,0.15461501479148865,True,False,TRUE_FLIP,-0.3482001721858978,False,True,False,760
4,4:hypothesis:fra_Latn,hypothesis,fra_Latn,contradiction,A woman talks to two other women and a man with notepads in an office building with large windows.,a man talks to ducks in a pond,A woman talks to two other women and a man with notepads in an office building with large windows.,A man is talking to ducks in a pond,a man talks to ducks in a pond,A man is talking to ducks in a pond,True,[],0.9932776093482971,0.9962608218193054,0.9932776093482971,2,0.9990010857582092,[],[],,,0.10769230769230764,1.1666666666666667,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.0077213,,,,,contradiction,0.9978331923484802,3.72241556760855e-05,0.0021296455524861813,0.9978331923484802,contradiction,0.9990010857582092,True,True,STABLE_GOLD,0.001167893409729004,False,False,False,941
4,4:premise:fra_Latn,premise,fra_Latn,contradiction,A woman talks to two other women and a man with notepads in an office building with large windows.,a man talks to ducks in a pond,A woman is talking to two other women and a man with notebooks in an office building with large windows.,a man talks to ducks in a pond,A woman talks to two other women and a man with notepads in an office building with large windows.,A woman is talking to two other women and a man with notebooks in an office building with large windows.,True,[],0.9940477609634399,0.993462324142456,0.993462324142456,2,0.9987118244171143,[],[],,,0.06930693069306926,1.0612244897959184,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.00782585,,,,,contradiction,0.9978331923484802,3.72241556760855e-05,0.0021296455524861813,0.9978331923484802,contradiction,0.9987118244171143,True,True,STABLE_GOLD,0.0008786320686340332,False,False,False,941
