source_index,original_source_index,candidate_id,augmented_field,gold_label,original_premise,original_hypothesis,augmented_premise,augmented_hypothesis,original_sentence,back_translated_sentence,semantic_forward,semantic_backward,semantic_min,original_nli_predicted_label,original_nli_gold_probability,candidate_nli_predicted_label,candidate_nli_gold_probability,nli_gold_probability_delta,nli_transition,confidence_drop,hard_cue_changes,soft_cue_changes,change_ratio,length_ratio,accepted,reasons,review_categories,number_before_raw,number_after_raw,number_change_type,review_semantic_equivalent,review_label_preserved,review_useful_augmentation,review_verdict,review_notes
1,90,1:hypothesis:fra_Latn,hypothesis,contradiction,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",Nobody has food.,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",No one has food.,Nobody has food.,No one has food.,0.9970947504043579,0.9971195459365845,0.9970947504043579,contradiction,0.9988769888877869,contradiction,0.9993472695350647,0.00047028064727783203,STABLE_GOLD,False,"[{""group"":""negation"",""original"":{""nobody"":1},""candidate"":{""no"":1},""field"":""hypothesis""},{""group"":""number"",""original"":{},""candidate"":{""one"":1},""field"":""hypothesis""}]",[],0.1875,1.0,False,"[""hard_cue_changed""]",,{},"{""one"":1}",NUMBER_ADDED,,,,,
20,9707,20:hypothesis:fra_Latn,hypothesis,neutral,A woman in a white jacket is standing next to an older woman while reviewing a subway map.,Two two women are going to take the subway into town.,A woman in a white jacket is standing next to an older woman while reviewing a subway map.,Two women are taking the subway to the city.,Two two women are going to take the subway into town.,Two women are taking the subway to the city.,0.9939765930175781,0.9970983266830444,0.9939765930175781,neutral,0.9943884015083313,neutral,0.970716655254364,-0.023671746253967285,STABLE_GOLD,False,"[{""group"":""number"",""original"":{""two"":2},""candidate"":{""two"":1},""field"":""hypothesis""}]",[],0.2989690721649485,0.8301886792452831,False,"[""hard_cue_changed""]",,"{""two"":2}","{""two"":1}",POSSIBLE_VALUE_CHANGE,,,,,
21,10680,21:hypothesis:fra_Latn,hypothesis,contradiction,Two girls looking in microscopes.,the two girls are listening to music while in science class instead of doing their homework,Two girls looking in microscopes.,Both girls listen to music in science class instead of doing their homework.,the two girls are listening to music while in science class instead of doing their homework,Both girls listen to music in science class instead of doing their homework.,0.9962235689163208,0.995875895023346,0.995875895023346,contradiction,0.9993793964385986,contradiction,0.9995075464248657,0.00012814998626708984,STABLE_GOLD,False,"[{""group"":""number"",""original"":{""two"":1},""candidate"":{},""field"":""hypothesis""}]",[],0.12574850299401197,0.8351648351648352,False,"[""hard_cue_changed""]",,"{""two"":1}",{},NUMBER_REMOVED,,,,,
88,58539,88:hypothesis:fra_Latn,hypothesis,neutral,"A man washing his shirt, in a fountain in a park.",The man is living out of his car since losing his job 5 months ago.,"A man washing his shirt, in a fountain in a park.",The man's been living in his car since he lost his job five months ago.,The man is living out of his car since losing his job 5 months ago.,The man's been living in his car since he lost his job five months ago.,0.9968830347061157,0.9939338564872742,0.9939338564872742,neutral,0.8265563249588013,contradiction,0.10957346111536026,-0.716982863843441,TRUE_FLIP,False,"[{""group"":""number"",""original"":{""5"":1},""candidate"":{""five"":1},""field"":""hypothesis""}]","[{""group"":""space"",""original"":{},""candidate"":{""in"":1},""field"":""hypothesis""}]",0.2028985507246377,1.0597014925373134,False,"[""hard_cue_changed"",""label_flip""]",,"{""5"":1}","{""five"":1}",LEXICAL_NORMALIZATION,,,,,
108,68719,108:premise:fra_Latn,premise,entailment,A person is doing a back flip while other people and cars go by in the background.,The person knows how to do a flip.,One person makes a back turn while others and cars pass in the background.,The person knows how to do a flip.,A person is doing a back flip while other people and cars go by in the background.,One person makes a back turn while others and cars pass in the background.,0.9961516261100769,0.728767991065979,0.728767991065979,entailment,0.6130655407905579,neutral,0.10014548152685165,-0.5129200592637062,TRUE_FLIP,False,"[{""group"":""number"",""original"":{},""candidate"":{""one"":1},""field"":""premise""}]",[],0.2564102564102564,0.9024390243902439,False,"[""hard_cue_changed"",""semantic_drift"",""label_flip""]",,{},"{""one"":1}",NUMBER_ADDED,,,,,
129,79799,129:premise:fra_Latn,premise,neutral,A crowd of black people are gathered and one person has a backpack on.,A crowd of teenage black people are waiting for the school to open and one of them has a backpack.,There's a crowd of blacks gathered and a person is carrying a backpack.,A crowd of teenage black people are waiting for the school to open and one of them has a backpack.,A crowd of black people are gathered and one person has a backpack on.,There's a crowd of blacks gathered and a person is carrying a backpack.,0.9972732663154602,0.9975751042366028,0.9972732663154602,neutral,0.9991055130958557,neutral,0.9988194108009338,-0.000286102294921875,STABLE_GOLD,False,"[{""group"":""number"",""original"":{""one"":1},""candidate"":{},""field"":""premise""}]","[{""group"":""space"",""original"":{""on"":1},""candidate"":{},""field"":""premise""}]",0.276595744680851,1.0142857142857142,False,"[""hard_cue_changed""]",,"{""one"":1}",{},NUMBER_REMOVED,,,,,
165,105872,165:hypothesis:fra_Latn,hypothesis,entailment,A man shovels snow off of a roof while another stands in the contraption that allowed them to reach the high place.,One man is on the roof,A man shovels snow off of a roof while another stands in the contraption that allowed them to reach the high place.,There's a man on the roof.,One man is on the roof,There's a man on the roof.,0.9971862435340881,0.9927672147750854,0.9927672147750854,entailment,0.9701388478279114,entailment,0.9646683931350708,-0.005470454692840576,STABLE_GOLD,False,"[{""group"":""number"",""original"":{""one"":1},""candidate"":{},""field"":""hypothesis""}]",[],0.29166666666666663,1.1818181818181819,False,"[""hard_cue_changed""]",,"{""one"":1}",{},NUMBER_REMOVED,,,,,
165,105872,165:premise:fra_Latn,premise,entailment,A man shovels snow off of a roof while another stands in the contraption that allowed them to reach the high place.,One man is on the roof,"One of them is lifting snow from the roof, while the other is standing in the machine that helped them reach the height.",One man is on the roof,A man shovels snow off of a roof while another stands in the contraption that allowed them to reach the high place.,"One of them is lifting snow from the roof, while the other is standing in the machine that helped them reach the height.",0.9982103109359741,0.987736701965332,0.987736701965332,entailment,0.9701388478279114,neutral,0.3405987024307251,-0.6295401453971863,TRUE_FLIP,False,"[{""group"":""number"",""original"":{},""candidate"":{""one"":1},""field"":""premise""}]",[],0.3702127659574468,1.0434782608695652,False,"[""hard_cue_changed"",""label_flip""]",,{},"{""one"":1}",NUMBER_ADDED,,,,,
225,148356,225:hypothesis:fra_Latn,hypothesis,contradiction,A man in a red shirt is interacting with a woman holding a shopping bag.,A red-haired rides a go-cart.,A man in a red shirt is interacting with a woman holding a shopping bag.,There's a red one in a go-kart.,A red-haired rides a go-cart.,There's a red one in a go-kart.,0.9921894073486328,0.9404593706130981,0.9404593706130981,contradiction,0.9984992742538452,contradiction,0.9992294311523438,0.0007301568984985352,STABLE_GOLD,False,"[{""group"":""number"",""original"":{},""candidate"":{""one"":1},""field"":""hypothesis""}]","[{""group"":""space"",""original"":{},""candidate"":{""in"":1},""field"":""hypothesis""}]",0.4666666666666667,1.0689655172413792,False,"[""hard_cue_changed""]",,{},"{""one"":1}",NUMBER_ADDED,,,,,
269,182307,269:premise:fra_Latn,premise,contradiction,"The child in white is on the monkey bars, while the one in brown stands below.",Kids walking home.,"The child in white is on the monkey bars, while the child in brown stands underneath.",Kids walking home.,"The child in white is on the monkey bars, while the one in brown stands below.","The child in white is on the monkey bars, while the child in brown stands underneath.",0.9968400001525879,0.9980705380439758,0.9968400001525879,contradiction,0.9987543821334839,contradiction,0.9987820982933044,2.771615982055664e-05,STABLE_GOLD,False,"[{""group"":""number"",""original"":{""one"":1},""candidate"":{},""field"":""premise""}]",[],0.1288343558282209,1.0897435897435896,False,"[""hard_cue_changed""]",,"{""one"":1}",{},NUMBER_REMOVED,,,,,
