source_index,original_source_index,candidate_id,augmented_field,gold_label,original_premise,original_hypothesis,augmented_premise,augmented_hypothesis,original_sentence,back_translated_sentence,semantic_forward,semantic_backward,semantic_min,original_nli_predicted_label,original_nli_gold_probability,candidate_nli_predicted_label,candidate_nli_gold_probability,nli_gold_probability_delta,nli_transition,confidence_drop,hard_cue_changes,soft_cue_changes,change_ratio,length_ratio,accepted,reasons,review_categories,number_before_raw,number_after_raw,number_change_type,review_semantic_equivalent,review_label_preserved,review_useful_augmentation,review_verdict,review_notes
1,90,1:hypothesis:fra_Latn,hypothesis,contradiction,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",Nobody has food.,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",No one has food.,Nobody has food.,No one has food.,0.9970947504043579,0.9971195459365845,0.9970947504043579,contradiction,0.9988769888877869,contradiction,0.9993472695350647,0.00047028064727783203,STABLE_GOLD,False,"[{""group"":""negation"",""original"":{""nobody"":1},""candidate"":{""no"":1},""field"":""hypothesis""},{""group"":""number"",""original"":{},""candidate"":{""one"":1},""field"":""hypothesis""}]",[],0.1875,1.0,False,"[""hard_cue_changed""]",NEGATION_CUE|NUMBER_CUE,{},"{""one"":1}",NUMBER_ADDED,,,,,
2,707,2:premise:fra_Latn,premise,entailment,a motorcyclist does a nose wheelie.,A motorcyclist doing a wheelie,A motorcyclist makes a nose roll.,A motorcyclist doing a wheelie,a motorcyclist does a nose wheelie.,A motorcyclist makes a nose roll.,0.8517272472381592,0.697882354259491,0.697882354259491,entailment,0.993026852607727,neutral,0.06052945554256439,-0.9324973970651627,TRUE_FLIP,False,[],[],0.20588235294117652,0.9428571428571428,False,"[""semantic_drift"",""label_flip""]",SEMANTIC_DRIFT|TRUE_FLIP,,,,,,,,
3,760,3:hypothesis:fra_Latn,hypothesis,neutral,A soccer game played by a blue team and a red team on a perfectly manicured field at dusk.,People are playing soccer for a competition.,A soccer game played by a blue team and a red team on a perfectly manicured field at dusk.,People play football for a competition.,People are playing soccer for a competition.,People play football for a competition.,0.11255697160959244,0.8818953633308411,0.11255697160959244,neutral,0.5028151869773865,entailment,0.05056066811084747,-0.452254518866539,TRUE_FLIP,False,[],[],0.22891566265060237,0.8863636363636364,False,"[""semantic_drift"",""label_flip""]",TRUE_FLIP,,,,,,,,
3,760,3:premise:fra_Latn,premise,neutral,A soccer game played by a blue team and a red team on a perfectly manicured field at dusk.,People are playing soccer for a competition.,A football game played by a blue team and a red team on a perfectly tidy field at dusk.,People are playing soccer for a competition.,A soccer game played by a blue team and a red team on a perfectly manicured field at dusk.,A football game played by a blue team and a red team on a perfectly tidy field at dusk.,0.9048389196395874,0.9821614027023315,0.9048389196395874,neutral,0.5028151869773865,entailment,0.15461501479148865,-0.3482001721858978,TRUE_FLIP,False,[],[],0.11864406779661019,0.9666666666666667,False,"[""label_flip""]",TRUE_FLIP,,,,,,,,
6,2194,6:premise:fra_Latn,premise,neutral,Two people are planting small bushes near a grassy area.,Two people are planting bushes for charity.,Two people are planting little bushes near a grassy area.,Two people are planting bushes for charity.,Two people are planting small bushes near a grassy area.,Two people are planting little bushes near a grassy area.,0.9979504942893982,0.9974109530448914,0.9974109530448914,neutral,0.9989271759986877,neutral,0.9988778233528137,-4.935264587402344e-05,STABLE_GOLD,False,[],[],0.06194690265486724,1.0178571428571428,True,[],ACCEPTED_HIGH_CONFIDENCE,,,,,,,,
11,4548,11:hypothesis:fra_Latn,hypothesis,contradiction,"Four musicians playing reed instruments with one playing a clarinet and three playing saxophones, being watched by a young child on a bicycle.",some musicians sleep,"Four musicians playing reed instruments with one playing a clarinet and three playing saxophones, being watched by a young child on a bicycle.",Some musicians are asleep.,some musicians sleep,Some musicians are asleep.,0.9937859773635864,0.9931911826133728,0.9931911826133728,neutral,0.01081023272126913,neutral,0.045716430991888046,0.034906198270618916,VERIFIER_GOLD_DISAGREEMENT_STABLE,False,[],[],0.13043478260869568,1.3,False,"[""label_flip""]",VERIFIER_GOLD_DISAGREEMENT,,,,,,,,
12,5321,12:premise:fra_Latn,premise,entailment,"Two young adults at a rodeo, one is helping the other to fix an injury to his arm after a brief ride.",Two young adults are at a rodeo.,"Two young adults on a rodeo, one helping the other to repair an arm injury after a short walk.",Two young adults are at a rodeo.,"Two young adults at a rodeo, one is helping the other to fix an injury to his arm after a brief ride.","Two young adults on a rodeo, one helping the other to repair an arm injury after a short walk.",0.0011723102070391178,0.012599664740264416,0.0011723102070391178,entailment,0.9977225661277771,entailment,0.996096670627594,-0.0016258955001831055,STABLE_GOLD,False,[],"[{""group"":""space"",""original"":{},""candidate"":{""on"":1},""field"":""premise""}]",0.23076923076923073,0.9306930693069307,False,"[""semantic_drift""]",SEMANTIC_DRIFT,,,,,,,,
17,7321,17:premise:fra_Latn,premise,neutral,A person picking garbanzo beans with her bear hands.,A person picks garbanzo beans with bear paws for hands.,A person who collects garbanzo beans with his bear hands.,A person picks garbanzo beans with bear paws for hands.,A person picking garbanzo beans with her bear hands.,A person who collects garbanzo beans with his bear hands.,0.06081399321556091,0.0049889544025063515,0.0049889544025063515,entailment,0.1327843815088272,entailment,0.015354876406490803,-0.1174295051023364,VERIFIER_GOLD_DISAGREEMENT_STABLE,False,[],[],0.19266055045871555,1.0961538461538463,False,"[""semantic_drift"",""label_flip""]",VERIFIER_GOLD_DISAGREEMENT,,,,,,,,
19,8435,19:hypothesis:fra_Latn,hypothesis,neutral,A young boy sit alone in a wagon and holds on tightly to two cattle as they follow his mother's wagon down a dusty dirt road.,A boy and his mother are moving.,A young boy sit alone in a wagon and holds on tightly to two cattle as they follow his mother's wagon down a dusty dirt road.,A boy and his mother are moving.,A boy and his mother are moving.,A boy and his mother are moving.,0.9970179796218872,0.9970179796218872,0.9970179796218872,entailment,0.014348148368299007,entailment,0.01434814091771841,-7.450580596923828e-09,VERIFIER_GOLD_DISAGREEMENT_STABLE,False,[],[],0.0,1.0,False,"[""trivial_copy"",""label_flip""]",VERIFIER_GOLD_DISAGREEMENT,,,,,,,,
19,8435,19:premise:fra_Latn,premise,neutral,A young boy sit alone in a wagon and holds on tightly to two cattle as they follow his mother's wagon down a dusty dirt road.,A boy and his mother are moving.,A young boy is sitting alone in a chariot and clinging tightly to two cattle that follow his mother's chariot on a dirt road.,A boy and his mother are moving.,A young boy sit alone in a wagon and holds on tightly to two cattle as they follow his mother's wagon down a dusty dirt road.,A young boy is sitting alone in a chariot and clinging tightly to two cattle that follow his mother's chariot on a dirt road.,0.34918639063835144,0.9048515558242798,0.34918639063835144,entailment,0.014348148368299007,entailment,0.05709698423743248,0.04274883586913347,VERIFIER_GOLD_DISAGREEMENT_STABLE,False,[],[],0.21599999999999997,1.0,False,"[""semantic_drift"",""label_flip""]",VERIFIER_GOLD_DISAGREEMENT,,,,,,,,
