source_index,candidate_id,augmented_field,pivot_lang,gold_label,original_premise,original_hypothesis,augmented_premise,augmented_hypothesis,original_sentence,back_translated_sentence,accepted,reasons,semantic_forward_entailment,semantic_backward_entailment,semantic_min,nli_predicted_label,nli_gold_probability,hard_cue_changes,soft_cue_changes,number_cues_before,number_cues_after,change_ratio,length_ratio,source_to_pivot_over_limit,source_to_pivot_truncated,pivot_to_source_over_limit,pivot_to_source_truncated,was_truncated,translation_model,translation_model_revision,verifier_model,verifier_model_revision,risk_score,human_semantic_equivalent,human_label_preserved,human_useful_augmentation,human_notes
13,13:premise:fra_Latn,premise,fra_Latn,neutral,A heavyset man is standing next to a building.,The man works in the building.,A tall man stands next to a building.,The man works in the building.,A heavyset man is standing next to a building.,A tall man stands next to a building.,False,"[""low_nli_confidence""]",0.9828923940658569,0.9488439559936523,0.9488439559936523,1,0.7582346796989441,[],[],,,0.20481927710843373,0.8043478260869565,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.29292136,,,,
22,22:hypothesis:fra_Latn,hypothesis,fra_Latn,neutral,Two men in suits laugh together.,The two guys in suits are talking and smiling.,Two men in suits laugh together.,The two guys in the suit are talking and smiling.,The two guys in suits are talking and smiling.,The two guys in the suit are talking and smiling.,False,"[""low_nli_confidence""]",0.9915891289710999,0.9807124137878418,0.9807124137878418,1,0.7142044305801392,[],[],,,0.052631578947368474,1.065217391304348,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.30508316,,,,
30,30:hypothesis:fra_Latn,hypothesis,fra_Latn,neutral,A person plays with a mega joule contraption consisting of wire tracks and colored balls.,The peson has a strange life with jouls and contraptions.,A person plays with a mega joule contraption consisting of wire tracks and colored balls.,The peson has a strange life with cheeks and appliances.,The peson has a strange life with jouls and contraptions.,The peson has a strange life with cheeks and appliances.,False,"[""low_nli_confidence""]",0.9409496188163757,0.9522989392280579,0.9409496188163757,1,0.7532821893692017,[],[],,,0.18584070796460173,0.9824561403508771,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.30576819,,,,
31,31:premise:fra_Latn,premise,fra_Latn,contradiction,A man in jeans is lying on a wooden floor.,A man and woman is holding hands.,A man in jeans is lying on a wooden floor.,A man and woman is holding hands.,A man in jeans is lying on a wooden floor.,A man in jeans is lying on a wooden floor.,False,"[""trivial_copy"",""low_nli_confidence""]",0.9971293807029724,0.9971293807029724,0.9971293807029724,2,0.6059726476669312,[],[],,,0.0,1.0,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.39689797,,,,
57,57:hypothesis:fra_Latn,hypothesis,fra_Latn,neutral,"two men, one in a red shirt, running towards a Frisbee.",Two guys trying to catch the same Frisbee,"two men, one in a red shirt, running towards a Frisbee.",Two guys trying to catch the same Frisbee.,Two guys trying to catch the same Frisbee,Two guys trying to catch the same Frisbee.,False,"[""trivial_copy"",""low_nli_confidence""]",0.9952865242958069,0.9929297566413879,0.9929297566413879,1,0.7785414457321167,[],[],,,0.012048192771084376,1.024390243902439,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.2285288,,,,
75,75:premise:fra_Latn,premise,fra_Latn,neutral,A street which is lined with many motorcycles.,There is a parade of motorcycles.,A street lined with motorcycles.,There is a parade of motorcycles.,A street which is lined with many motorcycles.,A street lined with motorcycles.,False,"[""low_nli_confidence""]",0.995540201663971,0.9194968938827515,0.9194968938827515,1,0.7908406257629395,[],"[{""group"":""quantifier"",""original"":{""many"":1},""candidate"":{},""field"":""premise""}]",,,0.17948717948717952,0.6956521739130435,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.38966248,,,,
124,124:premise:fra_Latn,premise,fra_Latn,neutral,An individual cutting up a vegetable in their kitchen with a knife.,A person making a dinner for his family.,An individual cuts a vegetable in his kitchen with a knife.,A person making a dinner for his family.,An individual cutting up a vegetable in their kitchen with a knife.,An individual cuts a vegetable in his kitchen with a knife.,False,"[""low_nli_confidence""]",0.9842994213104248,0.9671064615249634,0.9671064615249634,1,0.6316478848457336,[],[],,,0.09523809523809523,0.8805970149253731,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.40124565,,,,
132,132:premise:fra_Latn,premise,fra_Latn,neutral,A blond woman dressed in black and red is running.,"A young woman is working out at her local high-school's track, running laps.",A blonde dressed in black and red is short.,"A young woman is working out at her local high-school's track, running laps.",A blond woman dressed in black and red is running.,A blonde dressed in black and red is short.,False,"[""semantic_drift"",""low_nli_confidence""]",0.6418311595916748,0.01835421659052372,0.01835421659052372,1,0.7597095370292664,[],[],,,0.18279569892473113,0.86,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,1.22193625,,,,
133,133:premise:fra_Latn,premise,fra_Latn,contradiction,A man with long black hair wearing a black shirt and multi-color tie is using a electronic board with lights on it.,His hair is a different color than his shirt.,A man with long black hair wearing a black shirt and a multi-colored tie uses an electronic board with lights on it.,His hair is a different color than his shirt.,A man with long black hair wearing a black shirt and multi-color tie is using a electronic board with lights on it.,A man with long black hair wearing a black shirt and a multi-colored tie uses an electronic board with lights on it.,False,"[""low_nli_confidence""]",0.9904927611351013,0.9902610182762146,0.9902610182762146,2,0.7147009372711182,[],[],,,0.06493506493506496,1.008695652173913,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.29503804,,,,
143,143:hypothesis:fra_Latn,hypothesis,fra_Latn,contradiction,A man in a white shirt with a plate of food sits outside in folding chairs with a little girl who is writing.,The small girl is drawing a picture of the man sleeping next to her.,A man in a white shirt with a plate of food sits outside in folding chairs with a little girl who is writing.,The little girl draws a picture of the man lying next to her.,The small girl is drawing a picture of the man sleeping next to her.,The little girl draws a picture of the man lying next to her.,False,"[""semantic_drift"",""low_nli_confidence""]",0.9795575737953186,0.00813203677535057,0.00813203677535057,2,0.7799949049949646,[],[],,,0.1472868217054264,0.8970588235294118,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,1.21187306,,,,
145,145:hypothesis:fra_Latn,hypothesis,fra_Latn,contradiction,A man stands outside of a doorway on his cellphone.,A man with empty hands stands outside a doorway.,A man stands outside of a doorway on his cellphone.,A man with empty hands is standing at a door.,A man with empty hands stands outside a doorway.,A man with empty hands is standing at a door.,False,"[""low_nli_confidence""]",0.9935099482536316,0.9466667175292969,0.9466667175292969,2,0.7709656953811646,[],"[{""group"":""space"",""original"":{""outside"":1},""candidate"":{},""field"":""hypothesis""}]",,,0.18279569892473113,0.9375,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.38236759,,,,
169,169:premise:fra_Latn,premise,fra_Latn,entailment,"A man wearing white pants stretches out his arms as he stands on a podium, while two men and a woman are looking the other way.",A man is stretching by a podium.,"A man in a white trouser stretches his arms out on a podium, while two men and a woman look in opposite directions.",A man is stretching by a podium.,"A man wearing white pants stretches out his arms as he stands on a podium, while two men and a woman are looking the other way.","A man in a white trouser stretches his arms out on a podium, while two men and a woman look in opposite directions.",False,"[""low_nli_confidence""]",0.9937188625335693,0.9942238926887512,0.9937188625335693,0,0.5398774147033691,[],"[{""group"":""space"",""original"":{""on"":1},""candidate"":{""on"":1,""in"":2},""field"":""premise""}]",,,0.25619834710743805,0.905511811023622,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,0.56640372,,,,
205,205:hypothesis:fra_Latn,hypothesis,fra_Latn,entailment,A painter is standing on smaller silver ladder and there is another silver ladder close by.,A man is standing on a ladder painting.,A painter is standing on smaller silver ladder and there is another silver ladder close by.,A man is standing on a ladder.,A man is standing on a ladder painting.,A man is standing on a ladder.,False,"[""semantic_drift"",""low_nli_confidence""]",0.9921093583106995,0.0066604274325072765,0.0066604274325072765,0,0.7346289753913879,[],[],,,0.13043478260869568,0.7692307692307693,False,False,False,False,False,facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb,1.2587106,,,,
