source_index,original_source_index,candidate_id,augmented_field,gold_label,original_premise,original_hypothesis,augmented_premise,augmented_hypothesis,original_sentence,back_translated_sentence,semantic_forward,semantic_backward,semantic_min,original_nli_predicted_label,original_nli_gold_probability,candidate_nli_predicted_label,candidate_nli_gold_probability,nli_gold_probability_delta,nli_transition,confidence_drop,hard_cue_changes,soft_cue_changes,change_ratio,length_ratio,accepted,reasons,review_categories,number_before_raw,number_after_raw,number_change_type,review_semantic_equivalent,review_label_preserved,review_useful_augmentation,review_verdict,review_notes
330,224812,330:hypothesis:fra_Latn,hypothesis,contradiction,Little girl holding a karate trophy.,A little girl is,Little girl holding a karate trophy.,A little girl is,A little girl is,A little girl is,0.9903815388679504,0.9903815388679504,0.9903815388679504,entailment,0.0018691960722208023,entailment,0.0018691960722208023,0.0,VERIFIER_GOLD_DISAGREEMENT_STABLE,False,[],[],0.0,1.0,False,"[""trivial_copy"",""label_flip""]",,,,,,,,,
442,299206,442:premise:fra_Latn,premise,entailment,Two people are carrying a large bag filled with a red substance down a ally as a figure in red walks behind them.,Three people are walking down the alley.,Two people carrying a big bag full of a red substance on an ally like a red figure walking behind them.,Three people are walking down the alley.,Two people are carrying a large bag filled with a red substance down a ally as a figure in red walks behind them.,Two people carrying a big bag full of a red substance on an ally like a red figure walking behind them.,0.9787868857383728,0.9919519424438477,0.9787868857383728,contradiction,0.08436109870672226,contradiction,0.022699721157550812,-0.06166137754917145,VERIFIER_GOLD_DISAGREEMENT_STABLE,False,[],"[{""group"":""space"",""original"":{""in"":1,""behind"":1},""candidate"":{""on"":1,""behind"":1},""field"":""premise""}]",0.20370370370370372,0.911504424778761,False,"[""label_flip""]",,,,,,,,,
19,8435,19:premise:fra_Latn,premise,neutral,A young boy sit alone in a wagon and holds on tightly to two cattle as they follow his mother's wagon down a dusty dirt road.,A boy and his mother are moving.,A young boy is sitting alone in a chariot and clinging tightly to two cattle that follow his mother's chariot on a dirt road.,A boy and his mother are moving.,A young boy sit alone in a wagon and holds on tightly to two cattle as they follow his mother's wagon down a dusty dirt road.,A young boy is sitting alone in a chariot and clinging tightly to two cattle that follow his mother's chariot on a dirt road.,0.34918639063835144,0.9048515558242798,0.34918639063835144,entailment,0.014348148368299007,entailment,0.05709698423743248,0.04274883586913347,VERIFIER_GOLD_DISAGREEMENT_STABLE,False,[],[],0.21599999999999997,1.0,False,"[""semantic_drift"",""label_flip""]",,,,,,,,,
497,335668,497:premise:fra_Latn,premise,contradiction,A cloudy sky above a busy city street.,Cars are driving on clouds.,A cloudy sky over a busy city street.,Cars are driving on clouds.,A cloudy sky above a busy city street.,A cloudy sky over a busy city street.,0.9961073994636536,0.995646059513092,0.995646059513092,neutral,0.008738375268876553,neutral,0.006014927756041288,-0.002723447512835264,VERIFIER_GOLD_DISAGREEMENT_STABLE,False,[],"[{""group"":""space"",""original"":{},""candidate"":{""over"":1},""field"":""premise""}]",0.040000000000000036,0.9736842105263158,False,"[""label_flip""]",,,,,,,,,
584,389488,584:hypothesis:fra_Latn,hypothesis,entailment,three children in a field with white flowers,Three people sit in the grass.,three children in a field with white flowers,Three people are sitting in the grass.,Three people sit in the grass.,Three people are sitting in the grass.,0.9968938827514648,0.9975587129592896,0.9968938827514648,contradiction,0.018055835738778114,contradiction,0.016690997406840324,-0.00136483833193779,VERIFIER_GOLD_DISAGREEMENT_STABLE,False,[],[],0.11764705882352944,1.2666666666666666,False,"[""label_flip""]",,,,,,,,,
401,277858,401:premise:fra_Latn,premise,neutral,A guy sitting in a chair is getting a shave.,A guy is in a barbershop.,A guy sitting on a chair shaves.,A guy is in a barbershop.,A guy sitting in a chair is getting a shave.,A guy sitting on a chair shaves.,0.9771324992179871,0.9906015396118164,0.9771324992179871,entailment,0.2226981371641159,entailment,0.16678757965564728,-0.05591055750846863,VERIFIER_GOLD_DISAGREEMENT_STABLE,False,[],"[{""group"":""space"",""original"":{""in"":1},""candidate"":{""on"":1},""field"":""premise""}]",0.21052631578947367,0.7272727272727273,False,"[""label_flip""]",,,,,,,,,
760,518638,760:premise:fra_Latn,premise,contradiction,A man on a cellphone stands outside of a building with pictures of women in black shirts behind him.,The woman is late for her appointment,A man on a cell phone stands in front of a building with pictures of women in black shirts behind him.,The woman is late for her appointment,A man on a cellphone stands outside of a building with pictures of women in black shirts behind him.,A man on a cell phone stands in front of a building with pictures of women in black shirts behind him.,0.9947490096092224,0.9936699271202087,0.9936699271202087,neutral,0.018417591229081154,neutral,0.014051154255867004,-0.0043664369732141495,VERIFIER_GOLD_DISAGREEMENT_STABLE,False,[],"[{""group"":""space"",""original"":{""on"":1,""in"":1,""outside"":1,""behind"":1},""candidate"":{""on"":1,""front"":1,""in"":2,""behind"":1},""field"":""premise""}]",0.05940594059405946,1.02,False,"[""label_flip""]",,,,,,,,,
347,233919,347:hypothesis:fra_Latn,hypothesis,entailment,A man and a woman kissing while at a show.,A man is attracted to a woman.,A man and a woman kissing while at a show.,A man is attracted to a woman.,A man is attracted to a woman.,A man is attracted to a woman.,0.997497022151947,0.997497022151947,0.997497022151947,neutral,0.4634733200073242,neutral,0.4634733200073242,0.0,VERIFIER_GOLD_DISAGREEMENT_STABLE,False,[],[],0.0,1.0,False,"[""trivial_copy"",""label_flip""]",,,,,,,,,
160,103393,160:premise:fra_Latn,premise,neutral,Three children look through a telescope in the forest.,Children are looking at the stars.,Three children looking through a telescope in the forest.,Children are looking at the stars.,Three children look through a telescope in the forest.,Three children looking through a telescope in the forest.,0.9955547451972961,0.9962671399116516,0.9955547451972961,entailment,0.1866908222436905,entailment,0.14761409163475037,-0.039076730608940125,VERIFIER_GOLD_DISAGREEMENT_STABLE,False,[],[],0.027027027027026973,1.0555555555555556,False,"[""trivial_copy"",""label_flip""]",,,,,,,,,
705,482758,705:hypothesis:fra_Latn,hypothesis,contradiction,A man bundled up in a coat displaying with his arms a bunch of clothes.,The man was about to go outside,A man bundled up in a coat displaying with his arms a bunch of clothes.,The man was about to leave.,The man was about to go outside,The man was about to leave.,0.9931220412254333,0.1707870215177536,0.1707870215177536,neutral,0.0007495016325265169,neutral,0.0004578545340336859,-0.000291647098492831,VERIFIER_GOLD_DISAGREEMENT_STABLE,False,[],"[{""group"":""space"",""original"":{""outside"":1},""candidate"":{},""field"":""hypothesis""}]",0.24137931034482762,0.8709677419354839,False,"[""semantic_drift"",""label_flip""]",,,,,,,,,
36,22740,36:premise:fra_Latn,premise,entailment,A man wearing an orange vest is standing on the street with a bulldozer behind him.,Guy in front of a bulldozer.,A man in an orange vest stands in the street with a bulldozer behind him.,Guy in front of a bulldozer.,A man wearing an orange vest is standing on the street with a bulldozer behind him.,A man in an orange vest stands in the street with a bulldozer behind him.,0.996981680393219,0.9976748824119568,0.996981680393219,contradiction,0.1826387196779251,contradiction,0.27132388949394226,0.08868516981601715,VERIFIER_GOLD_DISAGREEMENT_STABLE,False,[],"[{""group"":""space"",""original"":{""on"":1,""behind"":1},""candidate"":{""in"":2,""behind"":1},""field"":""premise""}]",0.08974358974358976,0.8795180722891566,False,"[""label_flip""]",,,,,,,,,
