anchor_id,source_index,original_sentence,back_translated_sentence,expert_verdict,expert_reason,current_deberta_forward,current_deberta_backward,current_deberta_min,sts_score,roberta_forward,roberta_backward,roberta_min,secondary_sts_large_score,secondary_bleurt_score
F1,148356,A red-haired rides a go-cart.,There's a red one in a go-kart.,FAIL,red-haired/rides changed to red one/in a go-kart,0.9921875,0.9404296875,0.9404296875,0.8051077723503113,0.9883949756622314,0.9818136692047119,0.9818136692047119,0.7982110977172852,-0.7591378092765808
F2,227619,The two men have just been stuck in concrete boots and are drowning in the Hudson River.,Both men are trapped in concrete boots and drowned in the Hudson River.,FAIL,progressive drowning changed to completed drowned,0.98828125,0.9716796875,0.9716796875,0.9633954763412476,0.9939597845077515,0.9887322187423706,0.9887322187423706,0.9269264936447144,0.6399165987968445
F3,512053,Nobody is performing.,No one's playing.,FAIL,performing narrowed to playing,0.99609375,0.99560546875,0.99560546875,0.5978107452392578,0.9814233183860779,0.989316463470459,0.9814233183860779,0.513242781162262,0.3049829602241516
F4,355209,There is a girl dressed in light colored clothing frowning at a man.,There's a girl in brightly colored clothes who's rubbing a man.,FAIL,available calibration drift changes frowning to rubbing,0.0001817941665649414,0.00033354759216308594,0.0001817941665649414,0.3958658277988434,0.004094019997864962,0.0005981291178613901,0.0005981291178613901,0.42916637659072876,-0.5698796510696411
F5,,A worker finishes work and leaves the office.,A worker retires from work.,FAIL,finishes/leaves work changed to retires from work,0.1976318359375,0.86376953125,0.1976318359375,0.8459407091140747,0.9682340025901794,0.9831174612045288,0.9682340025901794,0.7425205707550049,0.4127765893936157
F6,,Two people are hugging.,Two people are kissing.,FAIL,hugging changed to kissing,0.0004794597625732422,0.0011358261108398438,0.0004794597625732422,0.21827539801597595,0.6745941638946533,0.9499971866607666,0.6745941638946533,0.3802531957626343,0.33020901679992676
F7,161674,A male is leaping above white water.,A male jumps on white water.,FAIL,leaping above white water changed to jumping on white water,0.98388671875,0.86865234375,0.86865234375,0.9119795560836792,0.8292924165725708,0.8930439352989197,0.8292924165725708,0.8959492444992065,0.5228309631347656
F8,138332,Two young boys wearing collared shirts and baseball caps have their blue-tinted tongues stuck out.,Two young boys wearing collared shirts and baseball caps have deep blue tongues.,FAIL,tongues stuck out changed to deep blue tongues,0.8193359375,0.876953125,0.8193359375,0.9914376139640808,0.9784810543060303,0.9036691784858704,0.9036691784858704,0.9432818293571472,0.5330696105957031
P1,90,Nobody has food.,No one has food.,PASS,nobody/no one normalization,0.9970703125,0.9970703125,0.9970703125,0.9966153502464294,0.9930799603462219,0.9932212829589844,0.9930799603462219,0.9633382558822632,1.0286519527435303
P2,,The girl is not wearing shoes.,The girl doesn't wear shoes.,PASS,not and n't are equivalent negation forms,0.998046875,0.9951171875,0.9951171875,0.9786160588264465,0.9940078258514404,0.9925745725631714,0.9925745725631714,0.9669901728630066,0.7560535669326782
P3,,Two girls are playing outside.,Both girls are playing outside.,PASS,two and both preserve the count in context,0.9931640625,0.99658203125,0.9931640625,0.9967299699783325,0.993241548538208,0.9932877421379089,0.993241548538208,0.9654228091239929,0.591213047504425
P4,,The box contains 5 apples.,The box contains five apples.,PASS,numeric lexical normalization,0.99658203125,0.99658203125,0.99658203125,0.9964082837104797,0.9936327338218689,0.9937885403633118,0.9936327338218689,0.9680079817771912,1.0403209924697876
P5,,One lone skier crosses the slope.,A single skier crosses the slope.,PASS,single explicit count normalization,0.998046875,0.9970703125,0.9970703125,0.9962437152862549,0.9933360815048218,0.9925300478935242,0.9925300478935242,0.9691234827041626,0.8036518692970276
