input_position,source_index,original_source_index,candidate_id,original_candidate_id,augmented_field,gold_label,original_premise,original_hypothesis,augmented_premise,augmented_hypothesis,original_sentence,back_translated_sentence,semantic_forward,semantic_backward,semantic_min,current_semantic_forward,current_semantic_backward,current_semantic_min,original_nli_predicted_label,original_nli_gold_probability,candidate_nli_predicted_label,candidate_nli_gold_probability,nli_gold_probability_delta,nli_transition,hard_cue_changes,soft_cue_changes,change_ratio,accepted,reasons,review_categories,review_semantic_equivalent,review_label_preserved,review_useful_augmentation,review_verdict,review_notes,secondary_sts_score,secondary_roberta_forward_entailment,secondary_roberta_backward_entailment,secondary_roberta_min_entailment,secondary_sts_large_score,secondary_bleurt_score,secondary_bart_forward_entailment,secondary_bart_backward_entailment,secondary_bart_min_entailment,expert_semantic_verdict,expert_useful_verdict,expert_notes,final_disagreement_reasons
0,21,,21:premise:fra_Latn,,premise,neutral,,,,,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A man with blond hair and a brown shirt drinking from a public water fountain.,0.995466947555542,0.9952712655067444,0.9952712655067444,0.995466947555542,0.9952712655067444,0.9952712655067444,neutral,0.9951857924461365,neutral,0.995555579662323,,,[],[],0.0691823899371069,True,[],,,,,,,0.9967820644378662,0.9933760762214661,0.9929384589195251,0.9929384589195251,0.9731533527374268,0.9375206828117371,,,,,,,
0,21,,21:hypothesis:fra_Latn,,hypothesis,neutral,,,,,A blond man getting a drink of water from a fountain in the park.,Blonde man drinking water from a fountain in the park.,0.9981529116630554,0.9976881742477417,0.9976881742477417,0.9981529116630554,0.9976881742477417,0.9976881742477417,neutral,0.9951857924461365,neutral,0.9938858151435852,,,[],[],0.15966386554621848,True,[],,,,,,,0.9964950680732727,0.9930303692817688,0.9928610920906067,0.9928610920906067,0.969692587852478,0.746500551700592,,,,,,,
1,90,,90:premise:fra_Latn,,premise,contradiction,,,,,"A woman is walking across the street eating a banana, while a man is following with his briefcase.","A woman crosses the street eating a banana, while a man follows with his suitcase.",0.9955536723136902,0.9937716126441956,0.9937716126441956,0.9955536723136902,0.9937716126441956,0.9937716126441956,contradiction,0.9988769888877869,contradiction,0.9983671307563782,,,[],[],0.15555555555555556,True,[],,,,,,,0.8894978761672974,0.9914265871047974,0.805368959903717,0.805368959903717,0.8933390974998474,0.7392272353172302,,,,,,,
1,90,,90:hypothesis:fra_Latn,,hypothesis,contradiction,,,,,Nobody has food.,No one has food.,0.9970947504043579,0.9971195459365845,0.9970947504043579,0.9970947504043579,0.9971195459365845,0.9970947504043579,contradiction,0.9988769888877869,contradiction,0.9993472695350647,,,[],[],0.1875,True,[],,,,,,,0.9966153502464294,0.9930799603462219,0.9932212829589844,0.9930799603462219,0.9633382558822632,1.0286519527435303,,,,,,,
4,941,,941:premise:fra_Latn,,premise,contradiction,,,,,A woman talks to two other women and a man with notepads in an office building with large windows.,A woman is talking to two other women and a man with notebooks in an office building with large windows.,0.9940477609634399,0.993462324142456,0.993462324142456,0.9940477609634399,0.993462324142456,0.993462324142456,contradiction,0.9978331923484802,contradiction,0.9987118244171143,,,[],[],0.06930693069306926,True,[],,,,,,,0.9684439301490784,0.9442853331565857,0.9061667919158936,0.9061667919158936,0.9628962874412537,0.7726330757141113,,,,,,,
4,941,,941:hypothesis:fra_Latn,,hypothesis,contradiction,,,,,a man talks to ducks in a pond,A man is talking to ducks in a pond,0.9932776093482971,0.9962608218193054,0.9932776093482971,0.9932776093482971,0.9962608218193054,0.9932776093482971,contradiction,0.9978331923484802,contradiction,0.9990010857582092,,,[],[],0.10769230769230764,True,[],,,,,,,0.9968749284744263,0.9848877191543579,0.9860484600067139,0.9848877191543579,0.969845175743103,0.8178694248199463,,,,,,,
6,2194,,2194:premise:fra_Latn,,premise,neutral,,,,,Two people are planting small bushes near a grassy area.,Two people are planting little bushes near a grassy area.,0.9979504942893982,0.9974109530448914,0.9974109530448914,0.9979504942893982,0.9974109530448914,0.9974109530448914,neutral,0.9989271759986877,neutral,0.9988778233528137,,,[],[],0.06194690265486724,True,[],,,,,,,0.9968307614326477,0.9940289258956909,0.9938775897026062,0.9938775897026062,0.9703202843666077,1.008978009223938,,,,,,,
6,2194,,2194:hypothesis:fra_Latn,,hypothesis,neutral,,,,,Two people are planting bushes for charity.,Two people planting bushes for charity.,0.9966105818748474,0.993664026260376,0.993664026260376,0.9966105818748474,0.993664026260376,0.993664026260376,neutral,0.9989271759986877,neutral,0.9989591836929321,,,[],[],0.04878048780487809,True,[],,,,,,,0.9967345595359802,0.9925313591957092,0.9914758205413818,0.9914758205413818,0.9673023223876953,0.5417882800102234,,,,,,,
7,3208,,3208:premise:fra_Latn,,premise,entailment,,,,,A boat captain steering a large green wheel.,A ship captain driving a big green wheel.,0.9961495399475098,0.997067391872406,0.9961495399475098,0.9961495399475098,0.997067391872406,0.9961495399475098,entailment,0.9686083197593689,entailment,0.9822490215301514,,,[],[],0.24705882352941178,True,[],,,,,,,0.8202070593833923,0.9850006103515625,0.9882751703262329,0.9850006103515625,0.884244441986084,0.7450531125068665,,,,,,,
8,3931,,3931:premise:fra_Latn,,premise,contradiction,,,,,Band playing in front of a small crowd outside.,The band plays in front of a small crowd outside.,0.9955717325210571,0.9971604347229004,0.9955717325210571,0.9955717325210571,0.9971604347229004,0.9955717325210571,contradiction,0.9816632270812988,contradiction,0.990672767162323,,,[],[],0.08333333333333337,True,[],,,,,,,0.9967337846755981,0.993386447429657,0.9937334656715393,0.993386447429657,0.9702745079994202,0.7394717335700989,,,,,,,
8,3931,,3931:hypothesis:fra_Latn,,hypothesis,contradiction,,,,,There are thousands of people watching them perform.,Thousands of people watch them play.,0.9955645799636841,0.9959243535995483,0.9955645799636841,0.9955645799636841,0.9959243535995483,0.9955645799636841,contradiction,0.9816632270812988,contradiction,0.9844326972961426,,,[],[],0.25,True,[],,,,,,,0.8040384650230408,0.9897245168685913,0.9938084483146667,0.9897245168685913,0.8567588329315186,0.585245668888092,,,,,,,
9,4111,,4111:premise:fra_Latn,,premise,neutral,,,,,Tattooed man getting a tattoo.,A man with a tattoo gets a tattoo.,0.997239351272583,0.9921482801437378,0.9921482801437378,0.997239351272583,0.9921482801437378,0.9921482801437378,neutral,0.9993659853935242,neutral,0.9991587400436401,,,[],[],0.375,True,[],,,,,,,0.9929712414741516,0.9838845133781433,0.9910077452659607,0.9838845133781433,0.9508324265480042,0.15538150072097778,,,,,,,
9,4111,,4111:hypothesis:fra_Latn,,hypothesis,neutral,,,,,A tattooed man is getting a tattoo of a Chinese character.,A tattooed man gets a Chinese character tattooed.,0.9970977306365967,0.9915760159492493,0.9915760159492493,0.9970977306365967,0.9915760159492493,0.9915760159492493,neutral,0.9993659853935242,neutral,0.9986774325370789,,,[],[],0.2710280373831776,True,[],,,,,,,0.9966499209403992,0.9935342073440552,0.9913195967674255,0.9913195967674255,0.9683007001876831,0.40484559535980225,,,,,,,
10,4403,,4403:premise:fra_Latn,,premise,neutral,,,,,A man in a unique costume is playing the bagpipes while some people stare at him.,A man in a unique suit plays a pipe while people watch him.,0.9796615839004517,0.9840208888053894,0.9796615839004517,0.9796615839004517,0.9840208888053894,0.9796615839004517,neutral,0.9945354461669922,neutral,0.989096999168396,,,[],"[{""group"":""quantifier"",""original"":{""some"":1},""candidate"":{},""field"":""premise""}]",0.2571428571428571,True,[],,,,,,,0.8310784101486206,0.9936133027076721,0.3984338045120239,0.3984338045120239,0.811390221118927,0.16842015087604523,,,,,,,
10,4403,,4403:hypothesis:fra_Latn,,hypothesis,neutral,,,,,A man in a unique costume is playing the bagpipes  for monetary gain.,A man in a unique suit plays the bagpipes to make money.,0.9564880728721619,0.9799052476882935,0.9564880728721619,0.9564880728721619,0.9799052476882935,0.9564880728721619,neutral,0.9945354461669922,neutral,0.9702602028846741,,,[],[],0.24193548387096775,True,[],,,,,,,0.9121253490447998,0.9941214919090271,0.9908785223960876,0.9908785223960876,0.9472091197967529,0.4437676668167114,,,,,,,
12,5321,,5321:hypothesis:fra_Latn,,hypothesis,entailment,,,,,Two young adults are at a rodeo.,Two young adults are in a rodeo.,0.9753323197364807,0.9936805963516235,0.9753323197364807,0.9753323197364807,0.9936805963516235,0.9753323197364807,entailment,0.9977225661277771,entailment,0.9962078332901001,,,[],"[{""group"":""space"",""original"":{},""candidate"":{""in"":1},""field"":""hypothesis""}]",0.0625,True,[],,,,,,,0.9968219995498657,0.9502769708633423,0.9532291293144226,0.9502769708633423,0.9629542231559753,0.9183776378631592,,,,,,,
